SampleID	Tissue	Genotype	Treatment	Replicate	paired	picked	r0	r1	r2
s09	root	B73		1	SE	N	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/B73_root_r1.fq.gz		
s10	root	B73		2	SE	N	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/B73_root_r2.fq.gz		
s11	root	B73		3	SE	N	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/B73_root_r3.fq.gz		
s12	shoot	B73		1	SE	Y	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/B73_shoot_r1.fq.gz		
s13	shoot	B73		2	SE	N	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/B73_shoot_r2.fq.gz		
s14	shoot	B73		3	SE	Y	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/B73_shoot_r3.fq.gz		
s15	shoot	B73		4	SE	Y	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/B73_shoot_r4.fq.gz		
s16	root	A632		1	SE	Y	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/Mo17_root_r1.fq.gz		
s17	root	A632		2	SE	Y	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/Mo17_root_r2.fq.gz		
s18	root	A632		3	SE	Y	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/Mo17_root_r3.fq.gz		
s19	shoot	A632		1	SE	Y	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/Mo17_shoot_r1.fq.gz		
s20	shoot	A632		2	SE	Y	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/Mo17_shoot_r2.fq.gz		
s21	shoot	A632		3	SE	Y	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/Mo17_shoot_r3.fq.gz		
s22	root	B73xA632		1	SE	N	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/B73Mo17_root_r1.fq.gz		
s23	root	B73xA632		2	SE	Y	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/B73Mo17_root_r2.fq.gz		
s24	root	B73xA632		3	SE	Y	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/B73Mo17_root_r3.fq.gz		
s25	root	B73xA632		4	SE	Y	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/B73Mo17_root_r4.fq.gz		
s26	shoot	B73xA632		1	SE	Y	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/B73Mo17_shoot_r1.fq.gz		
s27	shoot	B73xA632		2	SE	Y	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/B73Mo17_shoot_r2.fq.gz		
s28	shoot	B73xA632		3	SE	Y	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.cg20a/B73Mo17_shoot_r3.fq.gz		
