SampleID	Tissue	Genotype	Treatment	Replicate	paired	picked	r0	r1	r2
s01	root	B73	2015	1	SE	N	/datalus/weiyu/projects/s3/zhoup-barn/zm.cg20a/B73_root_SRR2078287.fq.gz		
s02	root	B73	2015	2	SE	N	/datalus/weiyu/projects/s3/zhoup-barn/zm.cg20a/B73_root_SRR2078288.fq.gz		
s03	shoot	B73	2015	1	SE	N	/datalus/weiyu/projects/s3/zhoup-barn/zm.cg20a/B73_shoot_SRR2078285.fq.gz		
s04	shoot	B73	2015	2	SE	N	/datalus/weiyu/projects/s3/zhoup-barn/zm.cg20a/B73_shoot_SRR2078286.fq.gz		
s05	root	A632	2015	1	SE	N	/datalus/weiyu/projects/s3/zhoup-barn/zm.cg20a/Mo17_root_SRR2078291.fq.gz		
s06	root	A632	2015	2	SE	N	/datalus/weiyu/projects/s3/zhoup-barn/zm.cg20a/Mo17_root_SRR2078292.fq.gz		
s07	shoot	A632	2015	1	SE	N	/datalus/weiyu/projects/s3/zhoup-barn/zm.cg20a/Mo17_shoot_SRR2078289.fq.gz		
s08	shoot	A632	2015	2	SE	N	/datalus/weiyu/projects/s3/zhoup-barn/zm.cg20a/Mo17_shoot_SRR2078290.fq.gz		
s09	root	B73		1	SE	N	/datalus/weiyu/projects/s3/zhoup-barn/zm.cg20a/B73_root_r1.fq.gz		
s10	root	B73		2	SE	N	/datalus/weiyu/projects/s3/zhoup-barn/zm.cg20a/B73_root_r2.fq.gz		
s11	root	B73		3	SE	N	/datalus/weiyu/projects/s3/zhoup-barn/zm.cg20a/B73_root_r3.fq.gz		
s12	shoot	B73		1	SE	Y	/datalus/weiyu/projects/s3/zhoup-barn/zm.cg20a/B73_shoot_r1.fq.gz		
s13	shoot	B73		2	SE	N	/datalus/weiyu/projects/s3/zhoup-barn/zm.cg20a/B73_shoot_r2.fq.gz		
s14	shoot	B73		3	SE	Y	/datalus/weiyu/projects/s3/zhoup-barn/zm.cg20a/B73_shoot_r3.fq.gz		
s15	shoot	B73		4	SE	Y	/datalus/weiyu/projects/s3/zhoup-barn/zm.cg20a/B73_shoot_r4.fq.gz		
s16	root	A632		1	SE	Y	/datalus/weiyu/projects/s3/zhoup-barn/zm.cg20a/Mo17_root_r1.fq.gz		
s17	root	A632		2	SE	Y	/datalus/weiyu/projects/s3/zhoup-barn/zm.cg20a/Mo17_root_r2.fq.gz		
