qchr	qpos	direction	id	gid	gchr	gbeg	gend	qchr.g	marker	qpos.g	qleft.g	qright.g	LOD	ADD	Rsqure	type	type2	mid
1	25771530	-1	28032	Zm00001d047679	9	139129905	139133566	1	249	235.2	232.7	236.3	7.63	-0.82	0.21	trans	trans	trans-eQTL-B.hs01
1	25771530	-1	12382	Zm00001d049800	4	45047883	45048929	1	249	235.2	233.2	236.3	5.98	-0.81	0.16	trans	trans	trans-eQTL-B.hs01
1	25771530	-1	13520	Zm00001d052072	4	178595993	178607864	1	249	235.2	233.2	236.3	6.09	-0.66	0.16	trans	trans	trans-eQTL-B.hs01
1	25873139	-1	23936	Zm00001d008597	8	13987467	13992282	1	252	235.3	233.2	236.3	7	-0.62	0.05	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	24132	Zm00001d008903	8	24556830	24558656	1	252	235.3	226.9	236.3	4.2	-0.17	0.09	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	25528	Zm00001d011454	8	150927227	150934087	1	252	236.3	235.2	249.6	5.76	-0.15	0.13	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	25691	Zm00001d011704	8	159242817	159245870	1	252	235.3	233.2	238.6	5.54	-2.23	0.16	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	25751	Zm00001d011796	8	161717957	161722781	1	252	235.3	232.3	236.3	4.66	-0.29	0.11	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	25849	Zm00001d011945	8	164894308	164898870	1	252	235.3	226.9	240.6	5.6	-0.36	0.16	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	15457	Zm00001d013494	5	12718250	12718810	1	252	235.3	226.9	240.6	5.77	-0.24	0.12	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	16150	Zm00001d014581	5	54179906	54180598	1	252	235.3	233.2	242.6	6.9	-0.74	0.19	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	16813	Zm00001d015627	5	102006271	102009335	1	252	235.3	233.5	236.3	8.21	-0.32	0.23	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	16970	Zm00001d016034	5	140715515	140719221	1	252	235.3	233.2	236.3	8.18	-3.89	0.07	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	23034	Zm00001d021799	7	163131766	163135920	1	252	236.3	233.2	248.6	4.34	-0.16	0.1	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	29643	Zm00001d024934	10	95624162	95627278	1	252	235.3	233.2	241.6	4.78	-0.11	0.12	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	30001	Zm00001d025673	10	125893015	125901899	1	252	235.3	232.3	236.3	5.12	-0.46	0.15	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	30162	Zm00001d025921	10	133772841	133780821	1	252	235.3	234.5	236.3	7.11	-0.59	0.14	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	30178	Zm00001d025941	10	134172888	134175566	1	252	235.3	227.7	236.3	6.33	-0.42	0.18	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	30760	Zm00001d026691	10	150051955	150061708	1	252	235.3	233.5	236.3	4.93	-0.67	0.14	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	669	Zm00001d028197	1	25933439	25936325	1	252	235.3	232.3	236.4	10.01	-1.01	0.27	cis	cis	trans-eQTL-B.hs02
1	25873139	-1	1331	Zm00001d029123	1	59023014	59027798	1	252	235.3	233.2	244.6	4.71	-0.4	0.13	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	2122	Zm00001d030697	1	154088591	154092627	1	252	235.3	234.5	236.3	4.65	-0.68	0.14	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	2142	Zm00001d030744	1	157566433	157567911	1	252	235.3	233.2	236.3	4.2	-0.41	0.1	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	2590	Zm00001d031572	1	194778144	194780073	1	252	235.3	233.5	239.6	4.49	-0.58	0.11	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	18659	Zm00001d035044	6	3023414	3028818	1	252	235.3	233.5	236.4	5.5	-1.77	0.14	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	18956	Zm00001d035721	6	42946898	42949902	1	252	235.3	226.9	244.6	4.62	-0.25	0.14	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	20608	Zm00001d038504	6	158797382	158802161	1	252	235.3	233.5	236.3	8.31	-0.99	0.23	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	21193	Zm00001d039180	6	171890678	171895329	1	252	235.3	226.9	249.6	5.37	-1.98	0.13	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	8729	Zm00001d039684	3	11839625	11841440	1	252	235.3	233.2	242.6	4.27	-0.43	0.07	trans	trans	trans-eQTL-B.hs02
