mid	gid	funcat	opt
trans-eQTL-B.hs04	Zm00001d016811		trans-eQTL
trans-eQTL-B.hs04	Zm00001d017928		trans-eQTL
trans-eQTL-B.hs04	Zm00001d018902		trans-eQTL
trans-eQTL-B.hs04	Zm00001d019184		trans-eQTL
trans-eQTL-B.hs04	Zm00001d020808		trans-eQTL
trans-eQTL-B.hs04	Zm00001d024672		trans-eQTL
trans-eQTL-B.hs04	Zm00001d024687		trans-eQTL
trans-eQTL-B.hs04	Zm00001d025761		trans-eQTL
trans-eQTL-B.hs04	Zm00001d027613		trans-eQTL
trans-eQTL-B.hs04	Zm00001d029038		trans-eQTL
trans-eQTL-B.hs04	Zm00001d033194		trans-eQTL
trans-eQTL-B.hs04	Zm00001d035086		trans-eQTL
trans-eQTL-B.hs04	Zm00001d037495		trans-eQTL
trans-eQTL-B.hs04	Zm00001d038147		trans-eQTL
trans-eQTL-B.hs04	Zm00001d039717		trans-eQTL
trans-eQTL-B.hs04	Zm00001d039893		trans-eQTL
trans-eQTL-B.hs04	Zm00001d042363		trans-eQTL
trans-eQTL-B.hs04	Zm00001d042738		trans-eQTL
trans-eQTL-B.hs04	Zm00001d043047		trans-eQTL
trans-eQTL-B.hs04	Zm00001d043742		trans-eQTL
trans-eQTL-B.hs04	Zm00001d045174		trans-eQTL
trans-eQTL-B.hs04	Zm00001d045220		trans-eQTL
trans-eQTL-B.hs04	Zm00001d046472		trans-eQTL
trans-eQTL-B.hs04	Zm00001d047512		trans-eQTL
trans-eQTL-B.hs04	Zm00001d048583		trans-eQTL
trans-eQTL-B.hs04	Zm00001d049485		trans-eQTL
trans-eQTL-B.hs04	Zm00001d049786		trans-eQTL
trans-eQTL-B.hs04	Zm00001d049926		trans-eQTL
trans-eQTL-B.hs04	Zm00001d051749		trans-eQTL
trans-eQTL-B.hs04	Zm00001d052343		trans-eQTL
trans-eQTL-B.hs04	Zm00001d053189		trans-eQTL
trans-eQTL-B.hs04	Zm00001d053433		trans-eQTL
trans-eQTL-B.hs05	Zm00001d002889		trans-eQTL
trans-eQTL-B.hs05	Zm00001d003157		trans-eQTL
trans-eQTL-B.hs05	Zm00001d003252		trans-eQTL
trans-eQTL-B.hs05	Zm00001d005253		trans-eQTL
trans-eQTL-B.hs05	Zm00001d006879		trans-eQTL
trans-eQTL-B.hs05	Zm00001d007454		trans-eQTL
trans-eQTL-B.hs05	Zm00001d008397		trans-eQTL
trans-eQTL-B.hs05	Zm00001d008422		trans-eQTL
trans-eQTL-B.hs05	Zm00001d011467		trans-eQTL
trans-eQTL-B.hs05	Zm00001d011632		trans-eQTL
trans-eQTL-B.hs05	Zm00001d011676		trans-eQTL
trans-eQTL-B.hs05	Zm00001d014361		trans-eQTL
trans-eQTL-B.hs05	Zm00001d016991		trans-eQTL
trans-eQTL-B.hs05	Zm00001d018419		trans-eQTL
trans-eQTL-B.hs05	Zm00001d020296		trans-eQTL
trans-eQTL-B.hs05	Zm00001d021224		trans-eQTL
trans-eQTL-B.hs05	Zm00001d022565		trans-eQTL
trans-eQTL-B.hs05	Zm00001d026405		trans-eQTL
trans-eQTL-B.hs05	Zm00001d027856		trans-eQTL
trans-eQTL-B.hs05	Zm00001d028226		trans-eQTL
trans-eQTL-B.hs05	Zm00001d028392		trans-eQTL
trans-eQTL-B.hs05	Zm00001d028704		trans-eQTL
trans-eQTL-B.hs05	Zm00001d028909		trans-eQTL
trans-eQTL-B.hs05	Zm00001d029067		trans-eQTL
trans-eQTL-B.hs05	Zm00001d030762		trans-eQTL
trans-eQTL-B.hs05	Zm00001d032353		trans-eQTL
trans-eQTL-B.hs05	Zm00001d032671		trans-eQTL
trans-eQTL-B.hs05	Zm00001d033371		trans-eQTL
trans-eQTL-B.hs05	Zm00001d038648		trans-eQTL
trans-eQTL-B.hs05	Zm00001d041594		trans-eQTL
trans-eQTL-B.hs05	Zm00001d041804		trans-eQTL
trans-eQTL-B.hs05	Zm00001d042454		trans-eQTL
trans-eQTL-B.hs05	Zm00001d046509		trans-eQTL
trans-eQTL-B.hs05	Zm00001d049387		trans-eQTL
trans-eQTL-B.hs05	Zm00001d050403		trans-eQTL
trans-eQTL-B.hs05	Zm00001d050935		trans-eQTL
trans-eQTL-B.hs05	Zm00001d052475		trans-eQTL
trans-eQTL-B.hs05	Zm00001d052595		trans-eQTL
trans-eQTL-B.hs05	Zm00001d052690		trans-eQTL
trans-eQTL-B.hs06	Zm00001d003709		trans-eQTL
trans-eQTL-B.hs06	Zm00001d004021		trans-eQTL
trans-eQTL-B.hs06	Zm00001d008210		trans-eQTL
trans-eQTL-B.hs06	Zm00001d009795		trans-eQTL
trans-eQTL-B.hs06	Zm00001d013118		trans-eQTL
trans-eQTL-B.hs06	Zm00001d016154		trans-eQTL
trans-eQTL-B.hs06	Zm00001d018247		trans-eQTL
trans-eQTL-B.hs06	Zm00001d020741		trans-eQTL
trans-eQTL-B.hs06	Zm00001d021605		trans-eQTL
trans-eQTL-B.hs06	Zm00001d022102		trans-eQTL
trans-eQTL-B.hs06	Zm00001d023456		trans-eQTL
trans-eQTL-B.hs06	Zm00001d023936		trans-eQTL
trans-eQTL-B.hs06	Zm00001d025435		trans-eQTL
trans-eQTL-B.hs06	Zm00001d026191		trans-eQTL
trans-eQTL-B.hs06	Zm00001d027419		trans-eQTL
trans-eQTL-B.hs06	Zm00001d031893		trans-eQTL
trans-eQTL-B.hs06	Zm00001d035317		trans-eQTL
trans-eQTL-B.hs06	Zm00001d043929		trans-eQTL
trans-eQTL-B.hs06	Zm00001d044580		trans-eQTL
trans-eQTL-B.hs06	Zm00001d049950		trans-eQTL
trans-eQTL-B.hs06	Zm00001d052457		trans-eQTL
trans-eQTL-B.hs07	Zm00001d001881		trans-eQTL
trans-eQTL-B.hs07	Zm00001d004568		trans-eQTL
trans-eQTL-B.hs07	Zm00001d006534		trans-eQTL
trans-eQTL-B.hs07	Zm00001d006539		trans-eQTL
trans-eQTL-B.hs07	Zm00001d006697		trans-eQTL
trans-eQTL-B.hs07	Zm00001d014073		trans-eQTL
trans-eQTL-B.hs07	Zm00001d014282		trans-eQTL
trans-eQTL-B.hs07	Zm00001d014969		trans-eQTL
trans-eQTL-B.hs07	Zm00001d015448		trans-eQTL
trans-eQTL-B.hs07	Zm00001d017473		trans-eQTL
trans-eQTL-B.hs07	Zm00001d017998		trans-eQTL
trans-eQTL-B.hs07	Zm00001d021777		trans-eQTL
trans-eQTL-B.hs07	Zm00001d021817		trans-eQTL
trans-eQTL-B.hs07	Zm00001d023293		trans-eQTL
trans-eQTL-B.hs07	Zm00001d026704		trans-eQTL
trans-eQTL-B.hs07	Zm00001d029185		trans-eQTL
trans-eQTL-B.hs07	Zm00001d029365		trans-eQTL
trans-eQTL-B.hs07	Zm00001d032300		trans-eQTL
trans-eQTL-B.hs07	Zm00001d033316		trans-eQTL
trans-eQTL-B.hs07	Zm00001d033585		trans-eQTL
trans-eQTL-B.hs07	Zm00001d036439		trans-eQTL
trans-eQTL-B.hs07	Zm00001d040697		trans-eQTL
trans-eQTL-B.hs07	Zm00001d042800		trans-eQTL
