SampleID	Tissue	Genotype	Treatment	Replicate	total	surviving	surviving_f	surviving_r	dropped	uniquely_mapped	multimapped	unmapped	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR5786199	root III	A554	NA	1	21424373	21018803	358708	37243	9619	20003248	835141	576365	18369263	2098599	1045279	219358	612519
SRR5786200	root III	A554	NA	2	23399099	23001442	356019	33716	7922	21606606	1036174	748397	19520154	2479834	1447423	278161	847562
SRR5786201	root III	A554	NA	3	15792671	15621509	148913	19856	2393	14587780	707171	495327	13291100	1628889	956515	182749	590333
SRR5786202	root III	B73	NA	1	15606952	15337596	239789	24030	5537	14885994	481275	234146	13516985	1112908	916892	198586	320830
SRR5786203	root III	B73	NA	2	19648056	19226336	379991	33e3	8729	18746163	593997	299167	16935673	1461735	1173807	240051	367174
SRR5786204	root III	B73xA554	NA	1	18515564	18298108	192327	22365	2764	17397021	723331	392448	15895289	1624706	1079381	218972	521569
SRR5786205	root III	B73xA554	NA	2	16351226	16115621	205265	25120	5220	15333638	625140	387228	13924341	1438002	995717	195736	483743
SRR5786206	root I	W64A	NA	1	17664479	17295101	329223	31533	8622	16385552	736953	533352	15116120	1653585	745952	186984	648124
SRR5786207	root I	W64A	NA	2	13806318	13568186	211085	21854	5193	12859796	511179	430150	11956071	1248149	542777	142417	462277
SRR5786208	root I	Mo17	NA	1	14466376	14066360	372550	21890	5576	13438624	549386	472790	12320380	1291282	577183	163116	509028
SRR5786209	root I	Mo17	NA	2	19481899	19071118	369519	31612	9650	18202388	773087	496774	16775082	1840056	826626	226654	549033
SRR5786210	root I	Oh43	NA	1	17956969	17570571	350061	28369	7968	16782549	661367	505085	15579854	1599907	665205	180618	542373
SRR5786211	root I	Oh43	NA	2	11521819	11301361	198158	17931	4369	10743860	455889	317701	9951138	1072164	470483	119428	359354
SRR5786212	root I	Oh43	NA	3	11693311	11449345	219875	18528	5563	10906956	447905	332887	10140608	1065921	422295	122229	365277
SRR5786213	root I	Oh43	NA	4	10315913	9994420	279186	32597	9710	9631397	381608	293198	8878228	920935	363831	101374	313085
SRR5786214	root I	W64A	NA	3	12619384	12407670	187434	19510	4770	11736625	512458	365531	10857185	1220245	549799	136394	411438
SRR5786215	root I	W64A	NA	4	19310469	18669509	601559	30965	8436	17777500	907542	616991	16231294	1874906	747395	202399	836193
SRR5786216	root III	B73	NA	3	20520724	20136781	340013	35037	8893	19645694	569386	296751	18040254	1405913	1006986	237498	345578
SRR5786217	root III	B73	NA	4	16646266	16442174	181519	19858	2715	15976188	458708	208655	14742298	1117424	853596	184672	258133
SRR5786218	root III	B73	NA	5	18879985	18504514	339677	27156	8638	18060131	518919	292297	16592749	1273725	900518	216889	342179
SRR5786219	root III	B73	NA	6	17560059	17340566	195153	21348	2992	16836190	475900	244977	15637721	1150391	791193	195917	297430
SRR5786220	root III	B73	NA	7	20817420	20471100	310880	28892	6548	19866333	567079	377460	18376339	1367006	937985	224495	444593
