SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	inbred	pa1	pa2	paired	spots	avgLength
bm044	Internode	Mo17	""	1	m044	TRUE	Mo17		TRUE	33589501	302
bm045	Internode	Mo45	""	1	m045	TRUE	Mo45		TRUE	31829668	302
bm046	Internode	MoG	""	1	m046	TRUE	MoG		TRUE	33480982	302
bm047	Internode	NC230	""	1	m047	TRUE	NC230		TRUE	37364611	302
bm048	Internode	NKH8431	""	1	m048	TRUE	NKH8431		TRUE	30125288	302
bm049	Internode	NKS8326	""	1	m049	TRUE	NKS8326		TRUE	30831291	302
bm050	Internode	Ny821	""	1	m050	TRUE	Ny821		TRUE	25935592	302
bm051	Internode	Oh43	""	1	m051	TRUE	Oh43		TRUE	26453027	302
bm052	Internode	PH207	""	1	m052	TRUE	PH207		TRUE	30836724	302
bm053	Internode	PHB47	""	1	m053	TRUE	PHB47		TRUE	30801158	302
bm054	Internode	PHG29	""	1	m054	TRUE	PHG29		TRUE	32810906	302
bm055	Internode	PHG35	""	1	m055	TRUE	PHG35		TRUE	35782570	302
bm056	Internode	PHG39	""	1	m056	TRUE	PHG39		TRUE	34647370	302
bm057	Internode	PHG47	""	1	m057	TRUE	PHG47		TRUE	34499118	302
bm058	Internode	PHG50	""	1	m058	TRUE	PHG50		TRUE	35016881	302
bm059	Internode	PHG72	""	1	m059	TRUE	PHG72		TRUE	32156734	302
bm060	Internode	PHG83	""	1	m060	TRUE	PHG83		TRUE	31248901	302
bm061	Internode	PHJ40	""	1	m061	TRUE	PHJ40		TRUE	35085676	302
bm062	Internode	PHN11	""	1	m062	TRUE	PHN11		TRUE	37890420	302
bm063	Internode	PHW65	""	1	m063	TRUE	PHW65		TRUE	37661061	302
bm064	Internode	Q381	""	1	m064	TRUE	Q381		TRUE	33608281	302
bm065	Internode	W64A	""	1	m065	TRUE	W64A		TRUE	29758820	302
bm066	Leaf	AS5707	""	1	m066	TRUE	AS5707		TRUE	33183346	302
bm067	Leaf	B73	""	1	m067	TRUE	B73		TRUE	30743613	302
bm068	Leaf	B84	""	1	m068	TRUE	B84		TRUE	30232546	302
bm069	Leaf	CR1HT	""	1	m069	TRUE	CR1HT		TRUE	32808854	302
bm070	Leaf	DKFAPW	""	1	m070	TRUE	DKFAPW		TRUE	31398402	302
bm071	Leaf	DKHBA1	""	1	m071	TRUE	DKHBA1		TRUE	27731396	302
bm072	Leaf	H99	""	1	m072	TRUE	H99		TRUE	27985568	302
bm073	Leaf	LH123HT	""	1	m073	TRUE	LH123HT		TRUE	26257549	302
bm074	Leaf	LH145	""	1	m074	TRUE	LH145		TRUE	30224091	302
bm075	Leaf	LH156	""	1	m075	TRUE	LH156		TRUE	24908876	302
bm076	Leaf	LH85	""	1	m076	TRUE	LH85		TRUE	27427428	302
bm077	Leaf	LH93	""	1	m077	TRUE	LH93		TRUE	29440695	302
bm078	Leaf	Mo17	""	1	m078	TRUE	Mo17		TRUE	35430095	302
bm079	Leaf	Mo45	""	1	m079	TRUE	Mo45		TRUE	32504544	302
bm080	Leaf	MoG	""	1	m080	TRUE	MoG		TRUE	31940076	302
bm081	Leaf	NC230	""	1	m081	TRUE	NC230		TRUE	30012105	302
bm082	Leaf	NKH8431	""	1	m082	TRUE	NKH8431		TRUE	34902482	302
bm083	Leaf	NKS8326	""	1	m083	TRUE	NKS8326		TRUE	34223094	302
bm084	Leaf	Ny821	""	1	m084	TRUE	Ny821		TRUE	28612453	302
bm085	Leaf	Oh43	""	1	m085	TRUE	Oh43		TRUE	32509709	302
bm086	Leaf	PH207	""	1	m086	TRUE	PH207		TRUE	29481780	302
bm087	Leaf	PHB47	""	1	m087	TRUE	PHB47		TRUE	35658541	302
bm088	Leaf	PHG29	""	1	m088	TRUE	PHG29		TRUE	41542142	302
bm089	Leaf	PHG35	""	1	m089	TRUE	PHG35		TRUE	42208224	302
bm090	Leaf	PHG39	""	1	m090	TRUE	PHG39		TRUE	35313178	302
bm091	Leaf	PHG47	""	1	m091	TRUE	PHG47		TRUE	37183997	302
bm092	Leaf	PHG50	""	1	m092	TRUE	PHG50		TRUE	32738829	302
bm093	Leaf	PHG72	""	1	m093	TRUE	PHG72		TRUE	34337274	302
bm094	Leaf	PHG83	""	1	m094	TRUE	PHG83		TRUE	32899288	302
bm095	Leaf	PHJ40	""	1	m095	TRUE	PHJ40		TRUE	33788185	302
bm096	Leaf	PHN11	""	1	m096	TRUE	PHN11		TRUE	30895892	302
bm097	Leaf	PHW65	""	1	m097	TRUE	PHW65		TRUE	32500547	302
bm098	Leaf	Q381	""	1	m098	TRUE	Q381		TRUE	40669166	302
bm099	Leaf	W64A	""	1	m099	TRUE	W64A		TRUE	32854866	302
bm100	Shoot	AS5707	""	1	m100	TRUE	AS5707		TRUE	31304444	302
bm101	Shoot	B73	""	1	m101	TRUE	B73		TRUE	26282240	302
bm102	Shoot	B84	""	1	m102	TRUE	B84		TRUE	30954373	302
bm103	Shoot	CR1HT	""	1	m103	TRUE	CR1HT		TRUE	32213416	302
bm104	Shoot	DKFAPW	""	1	m104	TRUE	DKFAPW		TRUE	31343656	302
bm105	Shoot	DKHBA1	""	1	m105	TRUE	DKHBA1		TRUE	33869104	302
bm106	Shoot	H99	""	1	m106	TRUE	H99		TRUE	36592194	302
bm107	Shoot	LH123HT	""	1	m107	TRUE	LH123HT		TRUE	29543576	302
bm108	Shoot	LH145	""	1	m108	TRUE	LH145		TRUE	31260105	302
bm109	Shoot	LH156	""	1	m109	TRUE	LH156		TRUE	29341696	302
bm110	Shoot	LH85	""	1	m110	TRUE	LH85		TRUE	39602121	302
bm111	Shoot	LH93	""	1	m111	TRUE	LH93		TRUE	34875590	302
bm112	Shoot	Mo17	""	1	m112	TRUE	Mo17		TRUE	29398268	302
bm113	Shoot	Mo44	""	1	m113	TRUE	Mo44		TRUE	28822411	302
bm114	Shoot	Mo45	""	1	m114	TRUE	Mo45		TRUE	36858884	302
bm115	Shoot	MoG	""	1	m115	TRUE	MoG		TRUE	28670454	302
bm116	Shoot	NC230	""	1	m116	TRUE	NC230		TRUE	37361084	302
bm117	Shoot	NKH8431	""	1	m117	TRUE	NKH8431		TRUE	34183592	302
bm118	Shoot	NKS8326	""	1	m118	TRUE	NKS8326		TRUE	39360638	302
bm119	Shoot	Ny821	""	1	m119	TRUE	Ny821		TRUE	30751628	302
bm120	Shoot	Oh43	""	1	m120	TRUE	Oh43		TRUE	30751615	302
bm121	Shoot	PH207	""	1	m121	TRUE	PH207		TRUE	30468094	302
bm122	Shoot	PHB47	""	1	m122	TRUE	PHB47		TRUE	38031885	302
bm123	Shoot	PHG29	""	1	m123	TRUE	PHG29		TRUE	31422043	302
bm124	Shoot	PHG35	""	1	m124	TRUE	PHG35		TRUE	35279891	302
bm125	Shoot	PHG39	""	1	m125	TRUE	PHG39		TRUE	31620503	302
bm126	Shoot	PHG47	""	1	m126	TRUE	PHG47		TRUE	39592340	302
bm127	Shoot	PHG50	""	1	m127	TRUE	PHG50		TRUE	31513700	302
bm128	Shoot	PHG72	""	1	m128	TRUE	PHG72		TRUE	34178817	302
bm129	Shoot	PHG83	""	1	m129	TRUE	PHG83		TRUE	37724758	302
bm130	Shoot	PHJ40	""	1	m130	TRUE	PHJ40		TRUE	36857394	302
bm131	Shoot	PHN11	""	1	m131	TRUE	PHN11		TRUE	35886940	302
bm132	Shoot	PHW65	""	1	m132	TRUE	PHW65		TRUE	38907323	302
bm133	Shoot	Q381	""	1	m133	TRUE	Q381		TRUE	35464621	302
bm134	Shoot	W64A	""	1	m134	TRUE	W64A		TRUE	33264994	302
bm135	Root	AS5707	""	1	m135	TRUE	AS5707		TRUE	30841788	302
bm136	Root	B73	""	1	m136	TRUE	B73		TRUE	30748861	302
bm137	Root	B84	""	1	m137	TRUE	B84		TRUE	27661964	302
bm138	Root	CR1HT	""	1	m138	TRUE	CR1HT		TRUE	29430229	302
bm139	Root	DKFAPW	""	1	m139	TRUE	DKFAPW		TRUE	28995921	302
bm140	Root	DKHBA1	""	1	m140	TRUE	DKHBA1		TRUE	31096863	302
bm141	Root	H99	""	1	m141	TRUE	H99		TRUE	27070293	302
bm142	Root	LH123HT	""	1	m142	TRUE	LH123HT		TRUE	32877109	302
bm143	Root	LH145	""	1	m143	TRUE	LH145		TRUE	31612063	302
bm144	Root	LH156	""	1	m144	TRUE	LH156		TRUE	31606270	302
bm145	Root	LH85	""	1	m145	TRUE	LH85		TRUE	31481756	302
bm146	Root	LH93	""	1	m146	TRUE	LH93		TRUE	36122091	302
bm147	Root	Mo17	""	1	m147	TRUE	Mo17		TRUE	31774110	302
bm148	Root	Mo44	""	1	m148	TRUE	Mo44		TRUE	33004557	302
bm149	Root	Mo45	""	1	m149	TRUE	Mo45		TRUE	30168200	302
bm150	Root	MoG	""	1	m150	TRUE	MoG		TRUE	35387512	302
bm151	Root	NC230	""	1	m151	TRUE	NC230		TRUE	29103668	302
bm152	Root	NKH8431	""	1	m152	TRUE	NKH8431		TRUE	24954924	302
bm153	Root	NKS8326	""	1	m153	TRUE	NKS8326		TRUE	24884202	302
bm154	Root	Ny821	""	1	m154	TRUE	Ny821		TRUE	30666992	302
bm155	Root	Oh43	""	1	m155	TRUE	Oh43		TRUE	22073177	302
bm156	Root	PH207	""	1	m156	TRUE	PH207		TRUE	26061840	302
bm157	Root	PHB47	""	1	m157	TRUE	PHB47		TRUE	22990459	302
bm158	Root	PHG29	""	1	m158	TRUE	PHG29		TRUE	36259245	302
bm159	Root	PHG35	""	1	m159	TRUE	PHG35		TRUE	32184377	302
bm160	Root	PHG39	""	1	m160	TRUE	PHG39		TRUE	32475622	302
bm161	Root	PHG47	""	1	m161	TRUE	PHG47		TRUE	30551360	302
bm162	Root	PHG50	""	1	m162	TRUE	PHG50		TRUE	33357741	302
bm163	Root	PHG72	""	1	m163	TRUE	PHG72		TRUE	31833991	302
bm164	Root	PHG83	""	1	m164	TRUE	PHG83		TRUE	34366589	302
bm165	Root	PHJ40	""	1	m165	TRUE	PHJ40		TRUE	32746913	302
bm166	Root	PHN11	""	1	m166	TRUE	PHN11		TRUE	31103218	302
bm167	Root	PHW65	""	1	m167	TRUE	PHW65		TRUE	29004431	302
bm168	Root	Q381	""	1	m168	TRUE	Q381		TRUE	28434279	302
bm169	Root	W64A	""	1	m169	TRUE	W64A		TRUE	33282102	302
bm170	Shoot	LH123HT	""	2	m107	TRUE	LH123HT		TRUE	38875284	302
bm171	Endosperm	PHG35	""	1	m170	TRUE	PHG35		TRUE	33781248	302
bm172	Leaf	AS5707	""	2	m066	TRUE	AS5707		TRUE	36114044	302
bm173	Shoot	LH85	""	2	m110	TRUE	LH85		TRUE	36429270	302
bm174	Internode	LH156	""	2	m041	TRUE	LH156		TRUE	39738168	302
bm175	Endosperm	LH145xMo17	""	1	m171	FALSE	LH145	Mo17	TRUE	44439311	302
bm176	Endosperm	LH145xMo17	""	2	m171	FALSE	LH145	Mo17	TRUE	25515030	302
bm177	Endosperm	LH156xB73	""	1	m172	FALSE	LH156	B73	TRUE	51677726	302
bm178	Endosperm	LH156xB73	""	2	m172	FALSE	LH156	B73	TRUE	50246340	302
bm179	Endosperm	Mo17xB73	""	1	m173	FALSE	Mo17	B73	TRUE	45850442	302
bm180	Endosperm	Mo17xB73	""	2	m173	FALSE	Mo17	B73	TRUE	34822028	302
bm181	Endosperm	NC230xB73	""	1	m174	FALSE	NC230	B73	TRUE	37225021	302
bm182	Endosperm	NC230xB73	""	2	m174	FALSE	NC230	B73	TRUE	40880366	302
bm183	Endosperm	Q381xB73	""	1	m175	FALSE	Q381	B73	TRUE	33922957	302
bm184	Endosperm	Q381xB73	""	2	m175	FALSE	Q381	B73	TRUE	24827356	302
bm185	Internode	LH156xMo17	""	1	m176	FALSE	LH156	Mo17	TRUE	37335021	302
bm186	Internode	LH156xMo17	""	2	m176	FALSE	LH156	Mo17	TRUE	41294371	302
