SampleID	Tissue	Genotype	Treatment	Replicate	paired
SRR404131	Stelpflug2016_Germinating Seed_24H	B73	NA	R1	FALSE
SRR404132	Stelpflug2016_Germinating Seed_24H	B73	NA	R1	FALSE
SRR404139	Stelpflug2016_Germinating Seed_24H	B73	NA	R2	FALSE
SRR404140	Stelpflug2016_Germinating Seed_24H	B73	NA	R3	FALSE
SRR404141	Stelpflug2016_Primary Root_6DAS	B73	NA	R1	FALSE
SRR404142	Stelpflug2016_Primary Root_6DAS	B73	NA	R1	FALSE
SRR404143	Stelpflug2016_Primary Root_6DAS	B73	NA	R2	FALSE
SRR404144	Stelpflug2016_Primary Root_6DAS	B73	NA	R3	FALSE
SRR404145	Stelpflug2016_Stem and SAM_V3	B73	NA	R1	FALSE
SRR404146	Stelpflug2016_Stem and SAM_V3	B73	NA	R1	FALSE
SRR404147	Stelpflug2016_Stem and SAM_V3	B73	NA	R2	FALSE
SRR404148	Stelpflug2016_Stem and SAM_V3	B73	NA	R3	FALSE
SRR404149	Stelpflug2016_Tip of stage-2 Leaf_V5	B73	NA	R1	FALSE
SRR404150	Stelpflug2016_Tip of stage-2 Leaf_V5	B73	NA	R1	FALSE
SRR404152	Stelpflug2016_Tip of stage-2 Leaf_V5	B73	NA	R2	FALSE
SRR404153	Stelpflug2016_Tip of stage-2 Leaf_V5	B73	NA	R3	FALSE
SRR404154	Stelpflug2016_Eighth Leaf_V9	B73	NA	R1	FALSE
SRR404155	Stelpflug2016_Eighth Leaf_V9	B73	NA	R2	FALSE
SRR404156	Stelpflug2016_Eighth Leaf_V9	B73	NA	R3	FALSE
SRR404158	Stelpflug2016_Eleventh Leaf_V9	B73	NA	R1	FALSE
SRR404159	Stelpflug2016_Eleventh Leaf_V9	B73	NA	R2	FALSE
SRR404160	Stelpflug2016_Eleventh Leaf_V9	B73	NA	R3	FALSE
SRR404161	Stelpflug2016_Thirteenth Leaf_V9	B73	NA	R1	FALSE
SRR404162	Stelpflug2016_Thirteenth Leaf_V9	B73	NA	R2	FALSE
