SampleID	Tissue	Genotype	Treatment	Replicate	inbred	total	surviving	surviving_f	surviving_r	dropped	uniquely_mapped	multimapped	unmapped	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
bm338	Seedling	Oh43xB73	NA	1	FALSE	27818485	24376620	3413370	20155	8340	25379874	1102686	1327585	21080945	2454413	835749	287638	1343699
bm339	Endosperm	Oh43xMo17	NA	1	FALSE	31629617	26858700	4736305	20084	14528	26896366	3806768	911955	19284885	11216113	2756717	502070	851778
bm340	Endosperm	Oh43xPH207	NA	1	FALSE	34425285	31040313	3347464	27938	9570	29498181	3774926	1142608	23397187	10555637	2720085	436546	1428319
bm341	Leaf	PH207xB73	NA	1	FALSE	45517421	40075226	5366561	50848	24786	41650360	1894990	1947285	33519038	4694676	2680223	388481	1993529
bm342	Root	PH207xB73	NA	1	FALSE	32913509	29534200	3339317	28538	11454	31052749	1060448	788858	26398687	2358706	1093741	356303	873875
bm343	Endosperm	PH207xB73	NA	1	FALSE	32555943	27987602	4528912	27293	12136	28501159	2751202	1291446	21539742	6850527	2461849	457493	1389781
bm344	Seedling	PH207xB73	NA	1	FALSE	32943760	29252311	3657917	24224	9308	30134821	1994635	804996	25330120	3970018	1068619	373453	1290686
bm345	Internode	PH207xB73	NA	1	FALSE	31714951	27407066	4258136	34283	15466	29732503	1141130	825852	24106932	2450796	1148181	428708	914036
bm346	Endosperm	PH207xMo17	NA	1	FALSE	35871365	30640418	5147441	40901	42605	31004661	3049164	1774935	23945116	6669689	1948892	535538	2121640
bm347	Internode	PHB47xB73	NA	1	FALSE	27620058	25217965	2369576	22987	9530	25558508	1124862	927158	45532438	0	2555463	821825	2513408
bm348	Leaf	PHB47xB73	NA	1	FALSE	46868013	40979670	5820803	46532	21008	41998146	1810421	3038438	33649219	4503581	2604771	375331	2923443
bm349	Root	PHB47xB73	NA	1	FALSE	39500934	34652423	4801403	28744	18364	36840922	1250441	1391207	30560129	2778797	1343976	371837	1427909
bm350	Endosperm	PHB47xB73	NA	1	FALSE	39422859	34962188	4413792	33994	12885	35143187	3181413	1085374	28422141	9246141	2075998	667731	1390733
bm351	Seedling	PHB47xB73	NA	1	FALSE	28761481	25049768	3684797	19178	7738	26458413	1071325	1224005	21888705	2315835	826231	305989	1252846
bm352	Seedling	PHB47xMo17	NA	1	FALSE	29760276	25781601	3945078	22178	11419	26913665	1529725	1305467	21709329	3471405	1275066	324496	1347627
bm353	Internode	PHB47xMo17	NA	1	FALSE	37412287	33692112	3681472	27474	11229	35247348	1349208	804502	29994009	3095465	1374196	383025	833846
bm354	Leaf	PHB47xMo17	NA	1	FALSE	42333560	35776628	6485646	45081	26205	38521142	1812779	1973434	30533624	4217665	1532534	376647	1951950
bm355	Root	PHB47xMo17	NA	1	FALSE	27257895	23493597	3694171	39250	30877	24118130	1225594	1883294	40825146	0	3302980	662769	3939012
bm356	Endosperm	PHB47xMo17	NA	1	FALSE	34275990	30851028	3389080	27040	8842	31367252	2120322	779574	26494030	5680670	1319645	421658	973017
bm357	Endosperm	PHB47xPH207	NA	1	FALSE	35249661	28483828	6725648	28176	12009	30988264	2972389	1276999	22737251	9160315	1758157	492330	1250190
bm358	Internode	PHG29xB73	NA	1	FALSE	29509602	26521124	2953946	23587	10945	27851373	930989	716295	23669177	2160690	994327	370444	709554
bm359	Leaf	PHG29xB73	NA	1	FALSE	49954207	43550542	6322285	55161	26219	44819140	2145582	2963266	35466407	5459610	3161987	388528	2863314
bm360	Root	PHG29xB73	NA	1	FALSE	32200700	28837085	3326387	27043	10185	29817846	1035412	1337257	25226250	2325672	1151135	321618	1356799
bm361	Endosperm	PHG29xB73	NA	1	FALSE	36758397	31874027	4844389	28173	11808	33104417	2381742	1260430	26327579	5863550	1931594	442267	1344987
bm362	Seedling	PHG29xB73	NA	1	FALSE	27667149	23939695	3702035	17585	7834	25928347	1085388	645580	21315117	2350848	807716	296737	737976
bm363	Endosperm	PHG29xMo17	NA	1	FALSE	30374298	27702850	2639480	24794	7174	27336722	2374903	655499	22768833	5372214	1798484	365643	976798
bm364	Endosperm	PHG29xPH207	NA	1	FALSE	43520939	37349699	6100507	49705	21028	38862455	3145579	1491877	30565728	7916142	2384634	372120	1582985
bm365	Endosperm	PHG35xB73	NA	1	FALSE	36372629	33028862	3306380	26659	10728	33741040	2063945	556916	28761443	5169611	1517092	364211	609353
bm366	Internode	PHG35xB73	NA	1	FALSE	30249230	27657887	2556357	24532	10454	28720292	918578	599906	24784340	2139039	1085644	384133	613962
bm367	Leaf	PHG35xB73	NA	1	FALSE	31082688	26866535	4166803	36229	13121	28309308	1315882	1444377	22452700	3260067	1730570	274537	1390678
bm368	Root	PHG35xB73	NA	1	FALSE	30751800	27891806	2818509	30383	11102	28884219	983210	873269	24635616	2286526	1235194	299899	934078
bm369	Seedling	PHG35xB73	NA	1	FALSE	29445580	25834675	3581946	19621	9338	26935117	1165625	1335500	22393343	2514790	901067	319322	1362557
bm370	Seedling	PHG35xMo17	NA	1	FALSE	30516380	26831137	3648792	25411	11040	27679253	1819868	1006219	22523718	3956118	1477541	334125	1207480
bm371	Internode	PHG35xMo17	NA	1	FALSE	40863888	37487340	3333717	29152	13679	38287116	1461096	1101997	33101234	3420712	1594615	417126	1091573
bm372	Leaf	PHG35xMo17	NA	1	FALSE	32247411	28751621	3443875	39318	12597	29771277	1547526	916011	25060252	3528866	1185269	287646	989088
bm373	Root	PHG35xMo17	NA	1	FALSE	30762514	26148197	4563160	33176	17981	27055770	1334575	2354188	21175035	3231664	1448247	315070	2179820
bm374	Endosperm	PHG35xMo17	NA	1	FALSE	46648234	39928988	6613355	59505	46386	42160911	2442176	1998761	34103599	5956822	1588050	345842	2050881
bm375	Endosperm	PHG35xPH207	NA	1	FALSE	46502539	41253326	5180672	50219	18322	42638569	2420125	1425523	35789229	5792276	1667428	350227	1528691
bm376	Internode	PHG39xB73	NA	1	FALSE	35390714	32689503	2660436	29493	11282	33610378	1079772	689282	29299305	2532358	1329794	410954	718337
bm377	Leaf	PHG39xB73	NA	1	FALSE	34298868	30359179	3883294	39712	16683	30869989	1501487	1910709	25121079	3596351	1872727	301531	1887939
bm378	Root	PHG39xB73	NA	1	FALSE	36943044	32159893	4731142	36504	15505	33747384	1198867	1981288	27844160	2573356	1106692	402551	1958251
bm379	Endosperm	PHG39xB73	NA	1	FALSE	20917028	18285620	2595091	26065	10252	19235528	1103469	567779	33360305	0	1943242	736735	1318768
bm380	Seedling	PHG39xB73	NA	1	FALSE	36791571	32786085	3952781	38861	13844	34521414	1449306	807007	29148306	3120966	1208864	403418	984134
bm381	Seedling	PHG39xMo17	NA	1	FALSE	31543150	28088446	3407205	33078	14421	27577047	1684651	2267031	22659778	3807314	1538418	341174	2267131
bm382	Leaf	PHG39xMo17	NA	1	FALSE	36924791	32716052	4155351	38741	14647	34165306	1695637	1049201	28429030	3907966	1490282	340684	1121836
bm383	Root	PHG39xMo17	NA	1	FALSE	32960372	28543627	4367722	32613	16410	30426500	1407900	1109562	24621974	3247004	1343100	370018	1145496
bm384	Endosperm	PHG39xMo17	NA	1	FALSE	45576903	37873241	7476544	63062	164056	40003432	2890630	2518785	30936338	7603438	1709664	585722	2494735
bm385	Internode	PHG39xMo17	NA	1	FALSE	31774417	29152808	2561592	42332	17685	28948664	1159195	1648873	25016703	2662963	1222195	310660	1666235
bm386	Endosperm	PHG39xPH207	NA	1	FALSE	29927738	27584194	2307463	25873	10208	27203362	1881890	832278	23576206	4780713	1171431	339916	1004687
bm387	Internode	PHG47xB73	NA	1	FALSE	36866309	33898914	2926513	29581	11301	34525613	1275328	1054067	29935289	2545737	1384550	426465	1234491
bm388	Root	PHG47xB73	NA	1	FALSE	31725248	27893922	3790910	28253	12163	29266572	1042597	1403916	51390461	0	2865868	730654	3025671
bm389	Leaf	PHG47xB73	NA	1	FALSE	35454049	30650089	4743414	45344	15202	30889530	3064620	1484697	24325634	6020283	2079640	286615	2310719
bm390	Leaf	PHG47xB73	NA	2	FALSE	31814724	27787670	3973277	40118	13659	28732613	2212630	855822	22916919	4798374	1890012	272618	1306897
bm391	Endosperm	PHG47xB73	NA	1	FALSE	40006327	35588448	4351948	49759	16172	35424675	3561650	1003830	28637166	9233534	2262273	586887	1212235
bm392	Internode	PHG47xMo17	NA	1	FALSE	36033515	32631602	3364083	26999	10831	33694060	1319467	1009157	28699106	3110157	1457394	354315	996798
bm393	Root	PHG47xMo17	NA	1	FALSE	40386168	35822175	4513333	36016	14644	37205390	1719726	1446408	30907132	4098420	1695079	398589	1460734
bm394	Leaf	PHG47xMo17	NA	1	FALSE	32433997	29111939	3279860	30591	11607	29456066	1527456	1438868	24824738	3452380	1320612	290679	1476445
bm395	Endosperm	PHG47xMo17	NA	1	FALSE	32506251	28566750	3904023	25105	10373	28451007	3032468	1012403	22742825	7774377	1723239	493459	1171218
bm396	Seedling	PHG47xMo17	NA	1	FALSE	28249912	25513762	2710277	18671	7202	26197050	1264134	781526	22373469	2897702	977595	298125	864266
bm397	Endosperm	PHG47xPH207	NA	1	FALSE	32222283	29237935	2945190	30489	8669	27775490	3333756	1104368	22746800	8750752	2020832	401029	1263891
bm398	Seedling	PHG50xB73	NA	1	FALSE	31330792	28275683	3016371	26815	11923	29563245	1092690	662934	25410723	2441675	966060	311003	731625
bm399	Endosperm	PHG50xB73	NA	1	FALSE	32896145	30089733	2764314	28261	13837	29825627	2301260	755421	25079032	6824320	1803652	376947	788378
bm400	Internode	PHG50xB73	NA	1	FALSE	33805946	31021113	2743478	28978	12377	31941088	1097300	755181	27626256	2485740	1217323	459666	798492
bm401	Leaf	PHG50xB73	NA	1	FALSE	34805993	30582706	4175080	34046	14161	32028521	1708615	1054696	25204962	4467852	2633553	286496	1129556
bm402	Root	PHG50xB73	NA	1	FALSE	32927502	29377231	3504109	32819	13343	31012178	1110840	791141	25967794	2560228	1357218	336486	868228
bm403	Seedling	PHG50xMo17	NA	1	FALSE	44292651	40280194	3952890	4e4	19567	41221900	1841348	1209836	35576924	4247144	1489366	435139	1250708
bm404	Endosperm	PHG50xMo17	NA	1	FALSE	41124437	36938629	4134257	33459	18092	37796448	2417397	892500	31784378	6737089	1774455	376531	919844
bm405	Leaf	PHG50xMo17	NA	1	FALSE	33077189	29504745	3527578	32798	12068	29986966	1477054	1601101	25087147	3433619	1370450	288471	1586915
bm406	Root	PHG50xMo17	NA	1	FALSE	31373579	28211566	3122172	29331	10510	28284144	1353034	1725891	23779768	3121394	1335837	325515	1726420
bm407	Internode	PHG50xMo17	NA	1	FALSE	34582521	32046752	2465446	49931	20392	31948219	1360444	1253466	27768917	2995886	1469152	359866	1348699
bm408	Endosperm	PHG50xPH207	NA	1	FALSE	32375761	29084392	3266635	19136	5598	29097662	2638002	634499	23906109	7730252	1909445	325050	708726
bm409	Internode	PHG72xB73	NA	1	FALSE	34531922	31780725	2708081	31472	11644	32688186	1042437	789655	28429475	2395558	1263172	380240	819701
bm410	Leaf	PHG72xB73	NA	1	FALSE	34115222	29912688	4147665	38386	16483	31265993	1560467	1272279	52564982	0	5357125	699069	2779050
bm411	Root	PHG72xB73	NA	1	FALSE	34798204	30607433	4145253	32559	12959	32720062	1117557	947626	27117374	2542782	1263388	360735	1026348
bm412	Endosperm	PHG72xB73	NA	1	FALSE	28871595	24851503	3989437	18378	12277	25692799	2275097	891422	19779187	5481400	1972278	338573	960368
bm413	Seedling	PHG72xB73	NA	1	FALSE	26732367	23404186	3299986	19990	8205	24068945	1063373	1591844	42228777	0	2168844	726126	3373789
bm414	Endosperm	PHG72xMo17	NA	1	FALSE	30045841	26306014	3707420	22788	9619	26569353	2517291	949578	20957292	5816540	1852333	415235	1184851
bm415	Endosperm	PHG72xPH207	NA	1	FALSE	32665713	29265087	3368632	23662	8332	28649129	2957292	1050960	23038891	7084615	2272513	346167	1256135
bm416	Endosperm	PHG83xB73	NA	1	FALSE	33300447	30410648	2854140	27424	8235	29727216	3056133	508863	24686353	5816357	1884803	589429	1592904
bm417	Endosperm	PHG83xMo17	NA	1	FALSE	44512389	39252757	5204889	35579	19164	40689584	3095745	707896	32744836	8249481	2379965	750775	836406
bm418	Endosperm	PHG83xPH207	NA	1	FALSE	29488708	26003210	3448559	26180	10759	26322452	2173182	982315	21129136	5500827	1603475	442079	1175129
bm419	Seedling	PHJ40xB73	NA	1	FALSE	29106837	22857648	6211436	19047	18706	27123458	1170998	793675	20161717	2699378	848538	252431	796907
bm420	Endosperm	PHJ40xB73	NA	1	FALSE	32453983	29456603	2955143	27731	14506	29204365	2491925	743187	24596775	5902450	1363687	556192	873174
bm421	Internode	PHJ40xB73	NA	1	FALSE	37353630	34746210	2565083	30552	11785	35497361	1118565	725919	31176335	2529435	1430359	406497	788285
bm422	Leaf	PHJ40xB73	NA	1	FALSE	36023138	31465771	4508387	34848	14132	33321791	1714112	973103	26767848	4187024	2026274	309149	1056713
bm423	Root	PHJ40xB73	NA	1	FALSE	31334624	27888298	3387388	41523	17415	28508850	994959	1813400	23877319	2241197	1132540	336736	1775354
bm424	Endosperm	PHJ40xMo17	NA	1	FALSE	30912782	28547902	2332215	21793	10872	27562106	2863714	476090	23379696	6954156	1438327	634259	596006
bm425	Internode	PHJ40xMo17	NA	1	FALSE	36313734	31510990	4769187	16780	16777	34016243	1349542	931172	27608850	3085854	1397910	328218	934167
bm426	Leaf	PHJ40xMo17	NA	1	FALSE	38693223	33849527	4791879	36502	15315	34872403	1817812	1987693	28770648	4123462	1389286	341304	1949289
bm427	Root	PHJ40xMo17	NA	1	FALSE	37734514	33538037	4149573	33612	13292	34890702	1666094	1164426	28993974	3828024	1624790	383351	1274162
bm428	Seedling	PHJ40xMo17	NA	1	FALSE	27569548	25067953	2477022	17889	6684	25628101	1187841	746922	21937094	2712636	1069194	286050	824993
bm429	Endosperm	PHJ40xPH207	NA	1	FALSE	39021403	34582743	4403683	26904	8073	34541444	3364625	1107261	27918980	8424861	1957598	726015	1210776
bm430	Internode	PHN11xB73	NA	1	FALSE	38349028	34307932	4004127	26190	10779	36118872	1463033	756344	30371587	2918984	1470414	473594	1025460
bm431	Leaf	PHN11xB73	NA	1	FALSE	33412769	29766061	3605e3	29955	11753	30499414	1899097	1002505	24683313	4370955	2189969	278823	1297671
bm432	Root	PHN11xB73	NA	1	FALSE	43075707	37863832	5133261	58028	20586	39639163	1544163	1871795	33018008	3226455	1391149	423514	1993476
bm433	Endosperm	PHN11xB73	NA	1	FALSE	31277087	26709223	4527634	25111	15119	27529986	2826820	905162	20796571	6658154	2261441	421123	1163727
bm434	Seedling	PHN11xB73	NA	1	FALSE	33061298	29022597	3984538	39067	15096	30350290	1184176	1511736	25299642	2647916	967032	345232	1508519
bm435	Leaf	PHN11xMo17	NA	1	FALSE	31426808	27245360	4141578	28969	10901	28549947	1449742	1416218	23393162	3249714	1061231	281194	1432474
bm436	Root	PHN11xMo17	NA	1	FALSE	32645321	28915419	3668820	45717	15365	30302556	1357185	970215	53216928	0	3145166	779581	2167412
bm437	Seedling	PHN11xMo17	NA	1	FALSE	32732965	28495722	4184188	37377	15678	29541333	1530092	1645862	24195643	3502996	1192846	329676	1674921
bm438	Endosperm	PHN11xPH207	NA	1	FALSE	34736571	30533589	4169765	24038	9179	30540381	3287607	899404	23900294	7992571	2581697	367509	1145848
bm439	Seedling	PHW65xB73	NA	1	FALSE	35449095	31990389	3413942	30838	13926	33102243	1449477	883449	28431118	3039882	1107948	345246	1034000
bm440	Internode	PHW65xB73	NA	1	FALSE	38138929	34210675	3892206	25962	10086	35890680	1164836	1073327	30365996	2763708	1400547	429943	1049105
bm441	Root	PHW65xB73	NA	1	FALSE	34331637	30319660	3949042	47538	15397	31890414	1112736	1313090	26695065	2474321	1130260	338687	1330656
bm442	Leaf	PHW65xB73	NA	1	FALSE	33780376	29382474	4337170	45236	15496	30314219	1787706	1662955	52206791	0	3747132	669829	4037595
bm443	Leaf	PHW65xB73	NA	2	FALSE	28236099	24894020	3163953	31496	146630	25517963	1624374	947132	44276649	0	3286375	551387	2710950
bm444	Endosperm	PHW65xB73	NA	1	FALSE	32822144	29124911	3663578	24616	9039	29390788	2775859	646458	49362638	0	4959672	1153032	1789691
bm445	Seedling	PHW65xMo17	NA	1	FALSE	27874887	24797362	3045302	20826	11397	25649061	1365192	849237	45438401	0	2417387	617288	2141995
bm446	Internode	PHW65xMo17	NA	1	FALSE	31707042	29464575	2204062	28579	9826	29745187	1160688	791341	26018076	2762470	1311349	315122	792691
bm447	Leaf	PHW65xMo17	NA	1	FALSE	32513143	28774935	3691638	32976	13594	29819608	1544123	1135818	24871825	3555968	1206148	284924	1173588
bm448	Root	PHW65xMo17	NA	1	FALSE	33762823	29975162	3726610	45696	15355	31266456	1517154	963858	25988469	3429896	1454567	330324	1067112
bm449	Endosperm	PHW65xMo17	NA	1	FALSE	50621700	44678125	5879264	48980	15331	44330029	4842776	1433564	73190572	0	8140036	2091900	3622996
bm450	Endosperm	PHW65xPH207	NA	1	FALSE	47425903	43466744	3893717	50489	14953	41553052	4643286	1214612	34008387	12305926	3405564	627598	1394224
bm451	Seedling	Q381xB73	NA	1	FALSE	33649932	30980292	2621898	32732	15010	31633573	1403068	598281	27729087	2905246	1079974	325204	811956
bm452	Leaf	Q381xB73	NA	1	FALSE	31934248	28189156	3702601	30843	11648	28884842	1597231	1440527	23061108	4052416	2166288	266027	1458330
bm453	Root	Q381xB73	NA	1	FALSE	36130869	32092845	3964846	55270	17908	33242903	1252522	1617536	27732555	2781096	1433132	357126	1650953
bm454	Endosperm	Q381xB73	NA	2	FALSE	24827356	17445792	7315137	25195	41232	20328396	2986714	1471014	23238000	0	9620057	1643093	2817087
bm455	Endosperm	Q381xB73	NA	1	FALSE	33922957	29278367	4577456	51436	15698	29782270	3259946	865043	22278149	7844261	2901276	492006	1137582
bm456	Endosperm	Q381xMo17	NA	1	FALSE	39132590	35878999	3195770	45258	12563	34488524	3608068	1023435	27881796	8848553	3161037	573486	1261518
bm457	Endosperm	Q381xPH207	NA	1	FALSE	42781794	39155592	3573513	40686	12003	37648778	4171874	949139	30456200	10275576	3518610	463660	1292103
bm458	Endosperm	W64AxB73	NA	1	FALSE	31152487	28554296	2559946	26009	12236	27535773	2938042	666436	22343944	7757718	2172893	709741	714043
bm459	Root	W64AxB73	NA	1	FALSE	33059070	29473710	3526866	44898	13596	31071600	1187220	786654	25936537	2698725	1398952	361921	881773
bm460	Seedling	W64AxB73	NA	1	FALSE	29195647	25715634	3433346	31508	15159	27260790	1199363	720335	48104792	0	2412009	744961	1756960
bm461	Root	W64AxMo17	NA	1	FALSE	36838596	32403024	4391090	28507	15975	34127225	1672742	1022654	28185165	3714976	1490121	351294	1161905
bm462	Seedling	W64AxMo17	NA	1	FALSE	37102095	33625326	3430511	31958	14300	34168400	1946531	972864	29385344	3948881	1255977	341153	1293946
bm463	Endosperm	W64AxMo17	NA	1	FALSE	33038303	29280219	3729948	19492	8644	28497794	3901713	630152	21966208	9875566	2417115	820231	884285
bm464	Leaf	W64AxMo17	NA	1	FALSE	33739508	29788544	3892536	44006	14422	29687714	2724169	1313203	24781812	4715384	1115760	300589	2132983
bm465	Leaf	W64AxMo17	NA	2	FALSE	32755719	28065377	4632073	42646	15623	30028473	1647021	1064602	24398042	3574807	986615	301656	1164315
bm466	Leaf	W64AxMo17xB73	NA	1	FALSE	33617183	30025528	3551725	28470	11460	30817484	1854951	933288	24801101	4471834	2438927	277239	1161065
bm467	Endosperm	W64AxPH207	NA	1	FALSE	49424782	40887270	8489207	34694	13611	41886716	6044677	1479778	29405229	16098056	4153794	1093806	1537711
