SampleID	Tissue	Genotype	Treatment	Replicate	inbred	total	surviving	surviving_f	surviving_r	dropped	uniquely_mapped	multimapped	unmapped	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
bm207	Seedling	H99xMo17	NA	1	FALSE	33926973	29824228	4065765	27399	9581	31159746	1823402	934244	25488210	4117977	1531653	379488	1017605
bm208	Root	H99xMo17	NA	1	FALSE	33351275	29162125	4140080	33461	15609	29712328	1460519	2162819	24058673	3408634	1573103	342891	2069361
bm209	Leaf	H99xMo17	NA	1	FALSE	32787466	27981017	4748074	40981	17394	29337914	1512220	1919938	23406934	3444148	1293580	278139	1881747
bm210	Endosperm	H99xMo17	NA	1	FALSE	37720918	33140169	4530320	37659	12770	33400212	3397486	910450	25522206	8482175	2947650	869433	1087055
bm211	Endosperm	H99xPH207	NA	1	FALSE	31999638	27584280	4369312	32728	13318	27833017	2794719	1358584	21088913	7133825	2287235	564171	1383740
bm212	Seedling	LH123HtxB73	NA	1	FALSE	36189496	33604858	2538537	33494	12607	34123619	1389558	663712	30250075	3085904	1054466	390941	760022
bm213	Root	LH123HtxB73	NA	1	FALSE	33517894	30222186	3251081	32702	11925	31627702	1051192	827075	56131970	0	3216065	780506	1882600
bm214	Leaf	LH123HtxB73	NA	1	FALSE	34866024	29690084	5119275	40505	16160	31813991	1707331	1328542	24885135	4012019	1839673	309639	1474359
bm215	Endosperm	LH123HtxB73	NA	1	FALSE	39354932	34096792	5207952	37049	13139	35549595	2854064	938134	27915403	7715385	2305847	547672	985673
bm216	Seedling	LH123HtxMo17	NA	1	FALSE	36892388	32697269	4144845	33843	16431	33858452	1617848	1399657	28443604	3712863	1215653	361758	1399831
bm217	Endosperm	LH123HtxMo17	NA	1	FALSE	40134958	36140895	3947361	33552	13150	35645173	3577698	898937	28733179	9518437	2762946	610895	939451
bm218	Internode	LH123HtxMo17	NA	1	FALSE	30012548	27276833	2710135	18367	7213	28154943	1085088	765304	50149807	0	2879898	724601	1642199
bm219	Leaf	LH123HtxMo17	NA	1	FALSE	42264150	37248942	4942841	53419	18948	38402447	1938034	1904721	31832811	4352227	1597143	392103	1969416
bm220	Root	LH123HtxMo17	NA	1	FALSE	31407652	28106197	3243059	39720	18676	27712115	1341257	2335604	22990119	3149852	1459575	331126	2251711
bm221	Endosperm	LH123HtxPH207	NA	1	FALSE	34285740	30996009	3244858	35397	9476	30345450	2844725	1086089	24811845	7518214	2181828	399497	1197220
bm222	Internode	LH145xB73	NA	1	FALSE	31409107	28973521	2404253	22548	8785	30025281	917329	457712	26191376	2008878	1178107	332753	557486
bm223	Seedling	LH145xB73	NA	1	FALSE	41367907	37426094	3894016	34320	13477	38991535	1656876	706019	33527344	3543453	1365835	400435	891435
bm224	Leaf	LH145xB73	NA	1	FALSE	30594145	26998656	3538823	41466	15200	28218849	1515790	844306	22699414	3543723	1926126	251910	995057
bm225	Root	LH145xB73	NA	1	FALSE	32835475	29713727	3071941	36141	13666	30846837	977040	997932	26375456	2172210	1139080	349938	1092596
bm226	Endosperm	LH145xB73	NA	1	FALSE	37093016	31960913	5079167	39932	13004	32305734	3863800	910478	24605805	10733946	2235957	947319	1069346
bm227	Endosperm	LH145xMo17	NA	1	FALSE	44439311	37228435	7133619	53687	23570	38485262	4489838	1440641	28630766	11980885	2523191	1025100	1720640
bm228	Endosperm	LH145xMo17	NA	2	FALSE	25515030	18643824	6801489	39940	29777	21062377	2119141	2303735	14036140	4819847	944358	273139	2226124
bm229	Endosperm	LH145xPH207	NA	1	FALSE	30668615	25713802	4903404	35601	15808	26792447	2781665	1078695	20249137	7268411	1709444	464482	1201731
bm230	Seedling	LH156xB73	NA	1	FALSE	34298717	31407052	2843563	33533	14569	32166540	1284169	833439	27987130	2853314	1123728	333734	925154
bm231	Leaf	LH156xB73	NA	1	FALSE	34849745	29989071	4801711	42400	16563	31022186	1824265	1986731	23964122	4448763	2412103	287688	2031611
