# This file was produced by bcftools (1.9+htslib-1.9), the command line was:
# 	 bcftools gtcheck  -g /home/springer/zhoux379/projects/reseq/data/variants/11.vcf.gz -G 1 --homs-only -s s09 vnt.vcf.gz
# and the working directory was:
# 	 /panfs/roc/groups/15/springer/zhoux379/projects/rnaseq/data/11_qc/rn20j
#
# [1]CN	[2]Discordance with s09 (total)	[3]Discordance (avg score per site)	[4]Number of sites compared	[5]Sample	[6]Sample ID
CN	4.552180e+05	4.552180e+05	555910	dn19a#B73	0
CN	4.352130e+05	4.458970e+05	542590	dn18a#PHG83	1
CN	4.264090e+05	4.403880e+05	538264	dn18a#LH200	2
CN	4.258090e+05	4.393284e+05	538803	dn18a#LH198	3
CN	4.101870e+05	4.358673e+05	523157	dn18a#FBLL	4
CN	3.902080e+05	4.111785e+05	527558	dn18a#LH74	5
CN	3.883930e+05	4.150693e+05	520182	dn18a#B84	6
CN	3.799460e+05	4.088678e+05	516587	dn18a#PHW52	7
CN	3.739570e+05	4.046845e+05	513700	dn18a#PHT11	8
CN	3.702540e+05	3.999819e+05	514593	dn18a#LH146Ht	9
CN	3.686320e+05	4.010682e+05	510951	dn18a#PHB47	10
CN	3.682150e+05	4.016333e+05	509655	dn18a#PHMK0	11
CN	3.667900e+05	3.964571e+05	514311	dn18a#NKH8431	12
CN	3.639900e+05	3.972977e+05	509305	dn18a#Oh43	13
CN	3.636990e+05	3.957918e+05	510834	dn18a#PHJ40	14
CN	3.633830e+05	3.973498e+05	508389	dn18a#NC230	15
CN	3.633320e+05	3.969450e+05	508836	dn18a#PHG29	16
CN	3.632410e+05	3.978338e+05	507572	dn18a#PHN11	17
CN	3.626200e+05	3.966848e+05	508172	dn18a#LH82	18
CN	3.625360e+05	3.968615e+05	507828	dn18a#Mo17	19
CN	3.623210e+05	3.979639e+05	506121	dn18a#PH207	20
CN	3.619320e+05	3.948916e+05	509511	dn18a#LH123Ht	21
CN	3.618850e+05	3.960342e+05	507975	dn18a#PHG50	22
CN	3.615860e+05	3.939203e+05	510279	dn18a#LH93	23
CN	3.611020e+05	3.959061e+05	507040	dn18a#PHV78	24
CN	3.609890e+05	3.972276e+05	505195	dn18a#W606S	25
CN	3.608500e+05	3.934231e+05	509884	dn18a#PHP38	26
CN	3.607020e+05	3.960189e+05	506334	dn18a#Mo44	27
CN	3.606390e+05	3.965520e+05	505565	dn18a#PHK46	28
CN	3.605200e+05	3.965930e+05	505346	dn18a#PHP02	29
CN	3.605070e+05	3.962752e+05	505733	dn18a#SCRO1	30
CN	3.604690e+05	3.954445e+05	506742	dn18a#LH156	31
CN	3.602820e+05	3.941868e+05	508095	dn18a#LH85	32
CN	3.602300e+05	3.971187e+05	504271	dn15a#HP301	33
CN	3.601700e+05	3.943934e+05	507671	dn18a#W604S	34
CN	3.599040e+05	3.959247e+05	505334	dn18a#CR1Ht	35
CN	3.598160e+05	3.972303e+05	503550	dn18a#LH59	36
CN	3.596500e+05	3.954747e+05	505552	dn18a#LH185	37
CN	3.591060e+05	3.938583e+05	506859	dn18a#MoG	38
CN	3.589830e+05	3.953512e+05	504772	dn18a#PHN46	39
CN	3.589800e+05	3.973814e+05	502189	dn15a#H99	40
CN	3.589210e+05	3.930436e+05	507648	dn18a#PHG47	41
CN	3.588780e+05	3.948750e+05	505233	dn18a#W37A	42
CN	3.588190e+05	3.939119e+05	506385	dn18a#AS5707	43
CN	3.585820e+05	3.925432e+05	507815	dn18a#PHW65	44
CN	3.585290e+05	3.951143e+05	504436	dn18a#LH168	45
CN	3.583810e+05	3.944132e+05	505124	dn18a#W182Ngt	46
CN	3.583730e+05	3.955218e+05	503697	dn18a#A188	47
CN	3.583550e+05	3.975564e+05	501094	dn18a#PHAA0	48
CN	3.579610e+05	3.956735e+05	502925	dn18a#NP899	49
CN	3.577120e+05	3.915083e+05	507922	dn18a#Mo45	50
CN	3.574530e+05	3.979846e+05	499295	dn18a#PHR03	51
CN	3.571470e+05	3.945376e+05	503226	dn18a#PHJ89	52
CN	3.567420e+05	3.977338e+05	498616	dn17a#B97	53
CN	3.565730e+05	3.947004e+05	502210	dn18a#W605S	54
CN	3.565220e+05	4.005743e+05	494775	dn14a#F353	55
CN	3.559080e+05	3.916047e+05	505236	dn18a#PHK76	56
CN	3.553290e+05	3.965999e+05	498061	dn17a#Ms71	57
CN	3.546300e+05	3.955203e+05	498438	dn17b#M37W	58
CN	3.544980e+05	3.936176e+05	500661	dn18a#PHK56	59
CN	3.537050e+05	3.869810e+05	508108	dn18a#DKHBA1	60
CN	3.535450e+05	3.959291e+05	496400	dn19a#CML228	61
CN	3.532770e+05	3.961253e+05	495778	dn17b#CML69	62
CN	3.523340e+05	3.996181e+05	490133	dn17b#W22	63
CN	3.522550e+05	3.965190e+05	493853	dn17b#KI3	64
CN	3.517040e+05	3.966964e+05	492860	dn17b#CML103	65
CN	3.512970e+05	3.885431e+05	502620	dn18a#PHKM5	66
CN	3.512700e+05	3.835244e+05	509158	dn18a#PHG39	67
CN	3.503880e+05	3.961984e+05	491633	dn14a#F283	68
CN	3.468240e+05	3.944825e+05	488749	dn18a#PHG35	69
CN	3.451440e+05	3.971719e+05	483088	dn17b#CML52	70
CN	3.432140e+05	3.990582e+05	478116	dn17b#CML333	71
CN	3.419950e+05	4.041178e+05	470453	dn12a#W64A	72
CN	3.416730e+05	3.992572e+05	475732	dn17b#CML277	73
CN	3.415220e+05	3.950163e+05	480627	dn17a#OH7B	74
CN	3.411760e+05	3.990078e+05	475337	dn17a#Tx303	75
CN	3.410850e+05	3.985416e+05	475766	dn17b#MO18W	76
CN	3.404040e+05	4.072061e+05	464713	dn17a#B37	77
CN	3.388520e+05	3.991228e+05	471963	dn17b#Ky21	78
CN	3.373910e+05	3.987173e+05	470406	dn17b#M162W	79
CN	3.324180e+05	3.929206e+05	470310	dn18a#PHG72	80
CN	3.322640e+05	3.976887e+05	464456	dn14a#UH007	81
CN	3.318610e+05	3.955304e+05	466424	dn14a#DK105	82
CN	3.314310e+05	3.989999e+05	461769	dn17b#Ki11	83
CN	3.303880e+05	4.002475e+05	458881	dn17b#NC350	84
CN	3.296840e+05	3.987352e+05	459640	dn17a#Il14H	85
CN	3.292430e+05	3.619852e+05	505627	dn18a#LH145	86
CN	3.257680e+05	3.978429e+05	455199	dn17b#CML247	87
CN	3.245850e+05	3.980439e+05	453317	dn14a#F2	88
