PSC	0	s02	529451319	136441	282196	283983	134654	6794	0.0	1106	0	0	0
PSC	0	s01	529444251	136662	288987	288419	137230	6850	0.0	2318	0	0	0
PSC	0	s04	529356635	153977	356196	339619	170554	9942	0.0	2378	0	0	0
PSC	0	s03	529442949	136792	290164	289211	137745	6845	0.0	2225	0	0	0
PSC	0	s05	529356959	152431	357466	339488	170409	9894	0.0	2072	0	0	0
PSC	0	s06	529352184	155284	359263	342195	172352	10019	0.0	3294	0	0	0
PSC	0	s08	529332353	242495	290424	353411	179508	11478	0.0	2909	0	0	0
PSC	0	s07	529332224	242003	290973	353254	179722	11550	0.0	2770	0	0	0
PSC	0	s10	529469396	133686	267776	272005	129457	5892	0.0	3732	0	0	0
PSC	0	s09	529328651	252977	283321	355381	180917	11801	0.0	3621	0	0	0
PSC	0	s11	529495252	134387	241347	255726	120008	5764	0.0	1849	0	0	0
PSC	0	s12	529507322	133095	230992	248095	115992	5341	0.0	2890	0	0	0
PSC	0	s14	529353647	157956	355028	341502	171482	10119	0.0	4953	0	0	0
PSC	0	s13	529349716	157607	359140	343868	172879	10287	0.0	6319	0	0	0
PSC	0	s16	529318363	288852	257137	362138	183851	12398	0.0	6523	0	0	0
PSC	0	s15	529346366	160778	359299	345803	174274	10307	0.0	7640	0	0	0
PSC	0	s18	529318285	290394	255644	361947	184091	12427	0.0	6286	0	0	0
PSC	0	s17	529314643	294545	255028	364307	185266	12534	0.0	7988	0	0	0
PSC	0	s19	529492270	135336	243013	257194	121155	6131	0.0	1659	0	0	0
PSC	0	s20	529501309	134061	235593	252044	117610	5787	0.0	1902	0	0	0
PSC	0	s21	529487384	135659	247416	260198	122877	6291	0.0	1437	0	0	0
PSC	0	s24	529354518	155093	357202	341003	171292	9937	0.0	4448	0	0	0
PSC	0	s22	529355289	155026	356523	340462	171087	9912	0.0	4379	0	0	0
PSC	0	s23	529351239	156596	358741	342821	172516	10174	0.0	6059	0	0	0
PSC	0	s25	529325922	271883	267227	357535	181575	11718	0.0	4608	0	0	0
PSC	0	s26	529324075	274286	266607	358928	181965	11782	0.0	5385	0	0	0
PSC	0	s27	529326483	270516	268007	357148	181375	11744	0.0	4235	0	0	0
