SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
SRR957415	endosperm	B73	12DAP	1	FALSE	33974745	100
SRR957416	endosperm	B73	12DAP	2	FALSE	33146885	100
SRR957417	endosperm	B73	12DAP	3	FALSE	34620400	100
SRR957418	seed	B73	pericarp	1	FALSE	21908704	100
SRR957419	seed	B73	pericarp	2	FALSE	21154911	100
SRR957420	seed	B73	pericarp	3	FALSE	15145587	100
SRR957421	endosperm	B73	crown	1	FALSE	20475682	100
SRR957422	endosperm	B73	crown	2	FALSE	22450336	100
SRR957423	endosperm	B73	crown	3	FALSE	27178641	100
SRR957424	leaf	B73	symmetrical	1	FALSE	26569994	100
SRR957425	leaf	B73	symmetrical	2	FALSE	23790586	100
SRR957426	leaf	B73	symmetrical	3	FALSE	23421576	100
SRR957427	leaf	B73	stomatal	1	FALSE	22367166	100
SRR957428	leaf	B73	stomatal	2	FALSE	21212846	100
SRR957429	leaf	B73	stomatal	3	FALSE	22851558	100
SRR957430	leaf	B73	growth	1	FALSE	24481942	100
SRR957431	leaf	B73	growth	2	FALSE	25735688	100
SRR957432	leaf	B73	growth	3	FALSE	19096768	100
SRR957433	embryo	B73	20DAP	1	FALSE	33351230	100
SRR957434	embryo	B73	20DAP	2	FALSE	33646352	100
SRR957435	embryo	B73	20DAP	3	FALSE	33971845	100
SRR957436	embryo	B73	NA	1	FALSE	18657758	100
SRR957437	embryo	B73	NA	2	FALSE	19626903	100
SRR957438	embryo	B73	NA	3	FALSE	22433479	100
SRR957439	kernel	B73	germinating	1	FALSE	22717651	100
SRR957440	kernel	B73	germinating	2	FALSE	23331686	100
SRR957441	kernel	B73	germinating	3	FALSE	46059806	100
SRR957442	leaf	B73	mature	1	FALSE	20434594	100
SRR957443	leaf	B73	mature	2	FALSE	26408022	100
SRR957444	leaf	B73	mature	3	FALSE	21916416	100
SRR957445	ear	B73	6-8	1	FALSE	27252374	100
SRR957446	ear	B73	6-8	2	FALSE	24259731	100
SRR957447	ear	B73	6-8	3	FALSE	17690157	100
SRR957448	ear	B73	2-4	1	FALSE	26746096	100
SRR957449	ear	B73	2-4	2	FALSE	27161974	100
SRR957450	ear	B73	2-4	3	FALSE	29296140	100
SRR957451	root	B73	mz	1	FALSE	24907859	100
SRR957452	root	B73	ez	1	FALSE	25096136	100
SRR957453	root	B73	cortex	1	FALSE	23518174	100
SRR957454	root	B73	mz	2	FALSE	26430685	100
SRR957455	root	B73	ez	2	FALSE	21179476	100
SRR957456	root	B73	cortex	2	FALSE	23819095	100
SRR957457	root	B73	mz	3	FALSE	25235171	100
SRR957458	root	B73	ez	3	FALSE	23098702	100
SRR957459	root	B73	cortex	3	FALSE	16084431	100
SRR957460	root	B73	primary	1	FALSE	27824217	100
SRR957461	root	B73	primary	2	FALSE	26344210	100
SRR957462	root	B73	primary	3	FALSE	27748895	100
SRR957463	root	B73	secondary	1	FALSE	25434710	100
SRR957464	root	B73	secondary	2	FALSE	27693928	100
SRR957465	root	B73	secondary	3	FALSE	29520529	100
SRR957466	pollen	B73	NA	1	FALSE	30662732	100
SRR957467	pollen	B73	NA	2	FALSE	29911225	100
SRR957468	pollen	B73	NA	3	FALSE	30484162	100
SRR957469	silk	B73	NA	1	FALSE	26033855	100
SRR957470	silk	B73	NA	2	FALSE	21843496	100
SRR957471	silk	B73	NA	3	FALSE	14416283	100
SRR957472	spikelet	B73	NA	1	FALSE	17739708	100
SRR957473	spikelet	B73	NA	2	FALSE	20637844	100
SRR957474	spikelet	B73	NA	3	FALSE	23132075	100
SRR957475	internode	B73	6-7	1	FALSE	25545711	100
SRR957476	internode	B73	6-7	2	FALSE	24580159	100
SRR957477	internode	B73	6-7	3	FALSE	26940355	100
SRR957478	internode	B73	7-8	1	FALSE	24874762	100
SRR957479	internode	B73	7-8	2	FALSE	22424620	100
SRR957480	internode	B73	7-8	3	FALSE	27739041	100
SRR957481	meristem	B73	NA	1	FALSE	27898523	100
SRR957482	meristem	B73	NA	2	FALSE	28074423	100
