SampleID	Tissue	Genotype	Treatment	Replicate	paired
SRR5786199	root	A554	III	1	TRUE
SRR5786200	root	A554	III	2	TRUE
SRR5786201	root	A554	III	3	TRUE
SRR5786202	root	B73	III	1	TRUE
SRR5786203	root	B73	III	2	TRUE
SRR5786204	root	B73xA554	III	1	TRUE
SRR5786205	root	B73xA554	III	2	TRUE
SRR5786206	root	W64A	I	1	TRUE
SRR5786207	root	W64A	I	2	TRUE
SRR5786208	root	Mo17	I	1	TRUE
SRR5786209	root	Mo17	I	2	TRUE
SRR5786210	root	Oh43	I	1	TRUE
SRR5786211	root	Oh43	I	2	TRUE
SRR5786212	root	Oh43	I	3	TRUE
SRR5786213	root	Oh43	I	4	TRUE
SRR5786214	root	W64A	I	3	TRUE
SRR5786215	root	W64A	I	4	TRUE
SRR5786216	root	B73	III	3	TRUE
SRR5786217	root	B73	III	4	TRUE
SRR5786218	root	B73	III	5	TRUE
SRR5786219	root	B73	III	6	TRUE
SRR5786220	root	B73	III	7	TRUE
SRR5786221	root	B73	III	8	TRUE
SRR5786222	root	B73	III	9	TRUE
SRR5786223	root	B73	III	10	TRUE
SRR5786224	root	B73	III	11	TRUE
SRR5786225	root	B73	III	12	TRUE
SRR5786226	root	B73	II	1	TRUE
SRR5786227	root	B73	II	2	TRUE
SRR5786228	root	B73	II	3	TRUE
SRR5786229	root	B73	II	4	TRUE
SRR5786230	root	B73	II	5	TRUE
SRR5786231	root	B73	II	6	TRUE
SRR5786232	root	B73	II	7	TRUE
SRR5786233	root	B73	II	8	TRUE
SRR5786234	root	B73	II	9	TRUE
SRR5786235	root	B73	II	10	TRUE
SRR5786236	root	B73	I	1	TRUE
SRR5786237	root	B73	I	2	TRUE
SRR5786238	root	B73	I	3	TRUE
SRR5786239	root	B73	I	4	TRUE
SRR5786240	root	B73	I	5	TRUE
SRR5786241	root	B73	I	6	TRUE
SRR5786242	root	B73	I	7	TRUE
SRR5786243	root	B73	I	8	TRUE
SRR5786244	root	B73	I	9	TRUE
SRR5786245	root	B73	I	10	TRUE
SRR5786246	root	B73xMo17	III	1	TRUE
SRR5786247	root	B73xMo17	III	2	TRUE
SRR5786248	root	B73xOh43	III	1	TRUE
SRR5786249	root	B73xOh43	III	2	TRUE
SRR5786250	root	B73xOh43	III	3	TRUE
SRR5786251	root	B73xOh43	III	4	TRUE
SRR5786252	root	B73xW64A	III	1	TRUE
SRR5786253	root	B73xW64A	III	2	TRUE
SRR5786254	root	B73xW64A	III	3	TRUE
SRR5786255	root	B73xW64A	III	4	TRUE
SRR5786256	root	B73xA554	II	1	TRUE
SRR5786257	root	B73xA554	II	2	TRUE
SRR5786258	root	A554	II	1	TRUE
SRR5786259	root	A554	II	2	TRUE
SRR5786260	root	A554	II	3	TRUE
SRR5786261	root	A554	II	4	TRUE
SRR5786262	root	B73	II	11	TRUE
SRR5786263	root	B73	II	12	TRUE
SRR5786264	root	B73xA554	II	3	TRUE
SRR5786265	root	B73xA554	II	4	TRUE
SRR5786266	root	B73xMo17	III	3	TRUE
SRR5786267	root	B73xMo17	III	4	TRUE
SRR5786268	root	B73xH99	III	1	TRUE
SRR5786269	root	B73xH99	III	2	TRUE
SRR5786270	root	B73xH99	III	3	TRUE
SRR5786271	root	B73xH99	III	4	TRUE
SRR5786272	root	B73xH84	III	1	TRUE
SRR5786273	root	B73xH84	III	2	TRUE
SRR5786274	root	B73xH84	III	3	TRUE
SRR5786275	root	B73xH84	III	4	TRUE
SRR5786276	root	B73xMo17	II	1	TRUE
SRR5786277	root	B73xMo17	II	2	TRUE
SRR5786278	root	B73xH84	II	1	TRUE
SRR5786279	root	B73xH84	II	2	TRUE
SRR5786280	root	B73xH84	II	3	TRUE
SRR5786281	root	B73xH84	II	4	TRUE
SRR5786282	root	B73xH99	II	1	TRUE
SRR5786283	root	B73xH99	II	2	TRUE
SRR5786284	root	B73xH99	II	3	TRUE
SRR5786285	root	B73xH99	II	4	TRUE
SRR5786286	root	W64A	III	1	TRUE
SRR5786287	root	W64A	III	2	TRUE
SRR5786288	root	Oh43	III	1	TRUE
SRR5786289	root	Oh43	III	2	TRUE
SRR5786290	root	B73xOh43	II	1	TRUE
SRR5786291	root	B73xOh43	II	2	TRUE
SRR5786292	root	B73xW64A	II	1	TRUE
SRR5786293	root	B73xW64A	II	2	TRUE
SRR5786294	root	B73xMo17	II	3	TRUE
SRR5786295	root	B73xMo17	II	4	TRUE
SRR5786296	root	B73xOh43	II	3	TRUE
SRR5786297	root	B73xOh43	II	4	TRUE
SRR5786298	root	B73xW64A	II	3	TRUE
SRR5786299	root	B73xW64A	II	4	TRUE
SRR5786300	root	B73xA554	I	1	TRUE
SRR5786301	root	B73xA554	I	2	TRUE
SRR5786302	root	A554	I	1	TRUE
SRR5786303	root	A554	I	2	TRUE
SRR5786304	root	B73xA554	I	3	TRUE
SRR5786305	root	B73xA554	I	4	TRUE
SRR5786306	root	B73	I	11	TRUE
SRR5786307	root	B73	I	12	TRUE
SRR5786308	root	A554	I	3	TRUE
SRR5786309	root	A554	I	4	TRUE
SRR5786310	root	Mo17	III	1	TRUE
SRR5786311	root	Mo17	III	2	TRUE
SRR5786312	root	H84	III	1	TRUE
SRR5786313	root	H84	III	2	TRUE
SRR5786314	root	H84	III	3	TRUE
SRR5786315	root	H84	III	4	TRUE
SRR5786316	root	H99	III	1	TRUE
SRR5786317	root	H99	III	2	TRUE
SRR5786318	root	H99	III	3	TRUE
SRR5786319	root	H99	III	4	TRUE
SRR5786320	root	B73xMo17	I	1	TRUE
SRR5786321	root	B73xMo17	I	2	TRUE
SRR5786322	root	B73xH84	I	1	TRUE
SRR5786323	root	B73xH84	I	2	TRUE
SRR5786324	root	B73xH84	I	3	TRUE
SRR5786325	root	B73xH84	I	4	TRUE
SRR5786326	root	B73xH99	I	1	TRUE
SRR5786327	root	B73xH99	I	2	TRUE
SRR5786328	root	B73xH99	I	3	TRUE
SRR5786329	root	B73xH99	I	4	TRUE
SRR5786330	root	W64A	II	1	TRUE
SRR5786331	root	W64A	II	2	TRUE
SRR5786332	root	Oh43	II	1	TRUE
SRR5786333	root	Oh43	II	2	TRUE
SRR5786334	root	W64A	II	3	TRUE
SRR5786335	root	W64A	II	4	TRUE
SRR5786336	root	Mo17	II	1	TRUE
SRR5786337	root	Mo17	II	2	TRUE
SRR5786338	root	Oh43	II	3	TRUE
SRR5786339	root	Oh43	II	4	TRUE
SRR5786340	root	B73xW64A	I	1	TRUE
SRR5786341	root	B73xW64A	I	2	TRUE
SRR5786342	root	B73xOh43	I	1	TRUE
SRR5786343	root	B73xOh43	I	2	TRUE
SRR5786344	root	B73xMo17	I	3	TRUE
SRR5786345	root	B73xMo17	I	4	TRUE
SRR5786346	root	B73xW64A	I	3	TRUE
SRR5786347	root	B73xW64A	I	4	TRUE
SRR5786348	root	B73xOh43	I	3	TRUE
SRR5786349	root	B73xOh43	I	4	TRUE
SRR5786350	root	Mo17	II	3	TRUE
SRR5786351	root	Mo17	II	4	TRUE
SRR5786352	root	H84	II	1	TRUE
SRR5786353	root	H84	II	2	TRUE
SRR5786354	root	H84	II	3	TRUE
SRR5786355	root	H84	II	4	TRUE
SRR5786356	root	H99	II	1	TRUE
SRR5786357	root	H99	II	2	TRUE
SRR5786358	root	H99	II	3	TRUE
SRR5786359	root	H99	II	4	TRUE
SRR5786360	root	Mo17	I	3	TRUE
SRR5786361	root	Mo17	I	4	TRUE
SRR5786362	root	H99	I	1	TRUE
SRR5786363	root	H99	I	2	TRUE
SRR5786364	root	H99	I	3	TRUE
SRR5786365	root	H99	I	4	TRUE
SRR5786366	root	H84	I	1	TRUE
SRR5786367	root	H84	I	2	TRUE
SRR5786368	root	H84	I	3	TRUE
SRR5786369	root	H84	I	4	TRUE
SRR5786370	root	B73xA554	III	3	TRUE
SRR5786371	root	B73xA554	III	4	TRUE
SRR5786372	root	A554	III	4	TRUE
SRR5786373	root	W64A	III	3	TRUE
SRR5786374	root	W64A	III	4	TRUE
SRR5786375	root	Oh43	III	3	TRUE
SRR5786376	root	Oh43	III	4	TRUE
SRR5786377	root	Mo17	III	3	TRUE
SRR5786378	root	Mo17	III	4	TRUE
SRR5796974	root	W64AxOh43	0	1	TRUE
SRR5796975	root	Oh43	0	1	TRUE
SRR5796976	root	Oh43xW64A	0	1	TRUE
SRR5796977	root	Oh43xW64A	0	2	TRUE
SRR5796978	root	Oh43xW64A	0	3	TRUE
SRR5796979	root	Oh43	0	2	TRUE
SRR5796980	root	Oh43xW64A	0	4	TRUE
SRR5796981	root	W64AxOh43	0	2	TRUE
SRR5796982	root	W64AxOh43	0	3	TRUE
SRR5796983	root	Oh43	0	3	TRUE
SRR5796984	root	W64A	0	1	TRUE
SRR5796985	root	W64A	0	2	TRUE
SRR5796986	root	W64A	0	3	TRUE
SRR5796987	root	Oh43	0	4	TRUE
SRR5796988	root	W64AxOh43	0	4	TRUE
SRR5796989	root	W64A	0	4	TRUE
