SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
SRR504462	leaf	B73	Kn1-N_homo	1	FALSE	21246896	100
SRR504463	leaf	B73	Kn1-N_homo	2	FALSE	26425413	100
SRR504464	leaf	B73	Kn1-N_het	1	FALSE	26186672	100
SRR504465	leaf	B73	Kn1-N_het	2	FALSE	26350142	100
SRR504466	leaf	B73	WT	1	FALSE	24871839	100
SRR504467	leaf	B73	WT	2	FALSE	24082728	100
SRR504468	tassel	B73	e1	1	FALSE	22474516	100
SRR504469	tassel	B73	e1	2	FALSE	22323103	100
SRR504470	tassel	B73	e1	3	FALSE	24845734	100
SRR504471	tassel	B73	WT	1	FALSE	23499684	100
SRR504472	tassel	B73	WT	2	FALSE	24049502	100
SRR504473	tassel	B73	WT	3	FALSE	24418666	100
SRR504474	ear	B73	e1	1	FALSE	26094182	100
SRR504475	ear	B73	e1	2	FALSE	24561689	100
SRR504476	ear	B73	WT	1	FALSE	20723339	100
SRR504477	ear	B73	WT	2	FALSE	24229119	100
SRR504478	SAM	B73	e1	1	FALSE	21282499	100
SRR504479	SAM	B73	e1	2	FALSE	23959644	100
SRR504480	SAM	B73	WT	1	FALSE	23837803	100
SRR504481	SAM	B73	WT	2	FALSE	20189299	100
