SampleID	Tissue	Genotype	Treatment	Replicate	paired	inbred
SRR7975360	leaf	PHK42		1	TRUE	TRUE
SRR7975361	leaf	PHJ89		1	TRUE	TRUE
SRR7975362	leaf	PHN29		1	TRUE	TRUE
SRR7975363	leaf	AQA3		1	TRUE	TRUE
SRR7975364	leaf	PHG83		1	TRUE	TRUE
SRR7975365	leaf	ICI986		1	TRUE	TRUE
SRR7975366	leaf	B76		1	TRUE	TRUE
SRR7975367	leaf	Ill.Hy		1	TRUE	TRUE
SRR7975368	leaf	PHV57		1	TRUE	TRUE
SRR7975369	leaf	PHV07		1	TRUE	TRUE
SRR7975370	leaf	PHW30		1	TRUE	TRUE
SRR7975371	leaf	DKIB014		1	TRUE	TRUE
SRR7975372	leaf	MM501D		1	TRUE	TRUE
SRR7975373	leaf	ZS365		1	TRUE	TRUE
SRR7975374	leaf	Va35		1	TRUE	TRUE
SRR7975375	leaf	SA24		1	TRUE	TRUE
SRR7975376	leaf	RS710		1	TRUE	TRUE
SRR7975377	leaf	W613S		1	TRUE	TRUE
SRR7975378	leaf	WIL903		1	TRUE	TRUE
SRR7975379	leaf	W10007_0048		1	TRUE	TRUE
SRR7975380	leaf	B121		1	TRUE	TRUE
SRR7975381	leaf	LH128		1	TRUE	TRUE
SRR7975382	leaf	A797NW		1	TRUE	TRUE
SRR7975383	leaf	B46		1	TRUE	TRUE
SRR7975384	leaf	CQ806		1	TRUE	TRUE
SRR7975385	leaf	CG102		1	TRUE	TRUE
SRR7975386	leaf	B73-2		1	TRUE	TRUE
SRR7975387	leaf	B47		1	TRUE	TRUE
SRR7975388	leaf	A344		1	TRUE	TRUE
SRR7975389	leaf	B103		1	TRUE	TRUE
SRR7975390	leaf	MM402A		1	TRUE	TRUE
SRR7975391	leaf	ML606		1	TRUE	TRUE
SRR7975392	leaf	MBSJ		1	TRUE	TRUE
SRR7975393	leaf	Lp215D		1	TRUE	TRUE
SRR7975394	leaf	LH208		1	TRUE	TRUE
SRR7975395	leaf	N201		1	TRUE	TRUE
SRR7975396	leaf	MS153		1	TRUE	TRUE
SRR7975397	leaf	Mo8W		1	TRUE	TRUE
SRR7975398	leaf	IBH9		1	TRUE	TRUE
SRR7975399	leaf	MBZA		1	TRUE	TRUE
SRR7975400	leaf	LH172		1	TRUE	TRUE
SRR7975401	leaf	LH163		1	TRUE	TRUE
SRR7975402	leaf	LH156		1	TRUE	TRUE
SRR7975403	leaf	LH159		1	TRUE	TRUE
SRR7975404	leaf	PHHB9-2		1	TRUE	TRUE
SRR7975405	leaf	L578		1	TRUE	TRUE
SRR7975406	leaf	907		1	TRUE	TRUE
SRR7975407	leaf	PHHB4-2		1	TRUE	TRUE
SRR7975408	leaf	LH212Ht		1	TRUE	TRUE
SRR7975409	leaf	LH74		1	TRUE	TRUE
SRR7975410	leaf	H105W		1	TRUE	TRUE
SRR7975411	leaf	L222		1	TRUE	TRUE
SRR7975412	leaf	8F196		1	TRUE	TRUE
SRR7975413	leaf	6F545		1	TRUE	TRUE
SRR7975414	leaf	WDAD1		1	TRUE	TRUE
SRR7975415	leaf	LH162		1	TRUE	TRUE
SRR7975416	leaf	DKFAPW		1	TRUE	TRUE
SRR7975417	leaf	H42		1	TRUE	TRUE
SRR7975418	leaf	84QAB1		1	TRUE	TRUE
SRR7975419	leaf	84BRQ4		1	TRUE	TRUE
SRR8043039	leaf	PHW65xMo17	S	1	FALSE	FALSE
SRR8043040	leaf	PHG47xMo17	S	1	TRUE	FALSE
SRR8043041	leaf	NKH8431xB73	S	1	TRUE	FALSE
SRR8043042	leaf	PHG35xB73	S	1	TRUE	FALSE
SRR8043043	leaf	PHG29xB73	S	1	TRUE	FALSE
SRR8043044	leaf	NC230xB73	E_T2	1	TRUE	FALSE
SRR8043045	leaf	PHG35xB73	R	1	FALSE	FALSE
SRR8043046	leaf	Mo17xPHG29	L_T2	1	FALSE	FALSE
SRR8043047	leaf	LH145xB73	R	1	TRUE	FALSE
SRR8043048	leaf	PHG50xPH207	E	1	FALSE	FALSE
SRR8043049	leaf	H99xMo17	R	1	TRUE	FALSE
SRR8043050	leaf	LH123HTxMo17	R	1	TRUE	FALSE
SRR8043051	leaf	LH123HTxB73	R	1	TRUE	FALSE
SRR8043052	leaf	LH156xMo17	I_T2	1	TRUE	FALSE
SRR8043053	leaf	PHW65xMo17	S	2	TRUE	FALSE
SRR8043054	leaf	Q381xB73	E_T2	1	TRUE	FALSE
SRR8043055	leaf	PHG50xB73	R	1	FALSE	FALSE
SRR8043056	leaf	PHB47xB73	R	1	FALSE	FALSE
SRR8043057	leaf	LH156xMo17	I	1	TRUE	FALSE
SRR8043058	leaf	PHG29xB73	R	1	FALSE	FALSE
SRR8043059	leaf	NC230xMo17	E	1	FALSE	FALSE
SRR8043060	leaf	LH85xB73	I	1	TRUE	FALSE
SRR8043061	leaf	PHG39xPH207	E	1	TRUE	FALSE
SRR8043062	leaf	B73xPH207	E	1	FALSE	FALSE
SRR8043063	leaf	Q381xB73	S	1	FALSE	FALSE
SRR8043064	leaf	LH123HTxMo17	E	1	TRUE	FALSE
SRR8043065	leaf	DKFAPWxPH207	E	1	TRUE	FALSE
SRR8043066	leaf	DKFAPWxB73	L	1	FALSE	FALSE
SRR8043067	leaf	B84xMo17	L	1	FALSE	FALSE
SRR8043068	leaf	PH207xB73	S	1	FALSE	FALSE
SRR8043069	leaf	Oh43xB73	S	1	FALSE	FALSE
SRR8043070	leaf	Mo17xOh43	I	1	FALSE	FALSE
SRR8043071	leaf	PHB47xB73	S	1	FALSE	FALSE
SRR8043072	leaf	PHG35xB73	S	2	FALSE	FALSE
SRR8043073	leaf	PHJ40xPH207	E	1	FALSE	FALSE
SRR8043074	leaf	NKS8326xB73	S	1	FALSE	FALSE
SRR8043075	leaf	PHG47xMo17	S	2	FALSE	FALSE
SRR8043076	leaf	Q381xB73	L	1	TRUE	FALSE
SRR8043077	leaf	B84xB73	R	1	TRUE	FALSE
SRR8043078	leaf	Mo17xB73	I	1	FALSE	FALSE
SRR8043079	leaf	LH93xB73	I	1	FALSE	FALSE
SRR8043080	leaf	PHG47xB73	I	1	TRUE	FALSE
SRR8043081	leaf	LH145xB73	I	1	FALSE	FALSE
SRR8043082	leaf	PHN11xB73	I	1	TRUE	FALSE
SRR8043083	leaf	LH156xMo17	I	2	FALSE	FALSE
SRR8043084	leaf	PHJ40xB73	I	1	TRUE	FALSE
SRR8043085	leaf	PHJ40xMo17	I	1	TRUE	FALSE
SRR8043086	leaf	PHB47xB73	I	1	FALSE	FALSE
SRR8043087	leaf	Oh43xB73	I	1	FALSE	FALSE
SRR8043088	leaf	CR1HTxPH207	E	1	FALSE	FALSE
SRR8043089	leaf	PHN11xMo17	L	1	TRUE	FALSE
SRR8043090	leaf	W64AxMo17XB73	L??	1	TRUE	FALSE
SRR8043091	leaf	B84xMo17	R	1	TRUE	FALSE
SRR8043092	leaf	LH145xMo17	E_T2	1	FALSE	FALSE
SRR8043093	leaf	DKFAPWxB73	R	1	TRUE	FALSE
SRR8043094	leaf	NKS8326xMo17	I	1	TRUE	FALSE
SRR8043095	leaf	PHB47xMo17	I	1	TRUE	FALSE
SRR8043096	leaf	PHB47xB73	I	2	TRUE	FALSE
SRR8043097	leaf	Oh43xB73	I	2	TRUE	FALSE
SRR8043098	leaf	PHG35xB73	I	1	TRUE	FALSE
SRR8043099	leaf	MoGxB73	I	1	FALSE	FALSE
SRR8043100	leaf	PHG29xB73	I	1	TRUE	FALSE
SRR8043101	leaf	PHG35xMo17	I	1	TRUE	FALSE
SRR8043102	leaf	NKS8326xMo17	I	2	FALSE	FALSE
SRR8043103	leaf	NKH8431xB73	I	1	FALSE	FALSE
SRR8043104	leaf	PHG39xB73	S	1	FALSE	FALSE
SRR8043105	leaf	NKS8326xMo17	S	1	FALSE	FALSE
SRR8043106	leaf	NKS8326xPH207	E	1	TRUE	FALSE
SRR8043107	leaf	PHJ40xB73	S	1	FALSE	FALSE
SRR8043108	leaf	H99xB73	L	1	FALSE	FALSE
SRR8043109	leaf	H99xMo17	L	1	FALSE	FALSE
SRR8043110	leaf	Mo45xMo17	I	1	FALSE	FALSE
SRR8043111	leaf	DKFAPWxB73	E	1	TRUE	FALSE
SRR8043112	leaf	DKFAPWxMo17	E	1	TRUE	FALSE
SRR8043113	leaf	LH93xB73	R	1	FALSE	FALSE
SRR8043114	leaf	H99xB73	E	1	TRUE	FALSE
SRR8043115	leaf	MoGxMo17	R	1	FALSE	FALSE
SRR8043116	leaf	PHG35xMo17	R	1	TRUE	FALSE
SRR8043117	leaf	NKH8431xB73	R	1	FALSE	FALSE
SRR8043118	leaf	LH93xMo17	R	1	FALSE	FALSE
SRR8043119	leaf	W64AxB73	R	1	FALSE	FALSE
SRR8043120	leaf	MoGxMo17	I	1	FALSE	FALSE
SRR8043121	leaf	LH123HTxB73	L	1	TRUE	FALSE
SRR8043122	leaf	PHB47xMo17	I	2	FALSE	FALSE
SRR8043123	leaf	CR1HTxPH207	E	2	TRUE	FALSE
SRR8043124	leaf	LH145xMo17	E_T2	2	TRUE	FALSE
SRR8043125	leaf	W64AxMo17	S	1	FALSE	FALSE
SRR8043126	leaf	NKS8326xB73	I	1	FALSE	FALSE
SRR8043127	leaf	PHG39xMo17	E	1	FALSE	FALSE
SRR8043128	leaf	MoGxB73	R	1	FALSE	FALSE
SRR8043129	leaf	PHG50xMo17	S	1	TRUE	FALSE
SRR8043130	leaf	B84xB73	S	1	TRUE	FALSE
SRR8043131	leaf	H99xMo17	S	1	TRUE	FALSE
SRR8043132	leaf	DKFAPWxMo17	S	1	TRUE	FALSE
