SampleID	Tissue	Genotype	Treatment	Replicate	paired	r0
E06	leaf_2	B73	day15_4pm_cold	1	FALSE	/home/springer/zhoux379/data/stress_tenders/E06.fq.gz
E07	leaf_3	B73	day15_4pm_cold	1	FALSE	/home/springer/zhoux379/data/stress_tenders/E07.fq.gz
E08	leaf_2	B73	day9_2pm_control	1	FALSE	/home/springer/zhoux379/data/stress_tenders/E08.fq.gz
E09	leaf_2	B73	day11_11am_control	2	FALSE	/home/springer/zhoux379/data/stress_tenders/E09.fq.gz
E10	leaf_2	B73	day11_12pm_control	1	FALSE	/home/springer/zhoux379/data/stress_tenders/E10.fq.gz
E11	leaf_2	B73	day12_4pm_control	2	FALSE	/home/springer/zhoux379/data/stress_tenders/E11.fq.gz
E12	leaf_2	B73	day15_4pm_cold	2	FALSE	/home/springer/zhoux379/data/stress_tenders/E12.fq.gz
F01	leaf_2	B73	day9_4pm_control	2	FALSE	/home/springer/zhoux379/data/stress_tenders/F01.fq.gz
F02	leaf_2	B73	day10_4pm_cold	2	FALSE	/home/springer/zhoux379/data/stress_tenders/F02.fq.gz
F03	leaf_2	Mo17	day10_4pm_control	3	FALSE	/home/springer/zhoux379/data/stress_tenders/F03.fq.gz
F04	leaf_2	B73	day11_4pm_control	4	FALSE	/home/springer/zhoux379/data/stress_tenders/F04.fq.gz
F05	leaf_2	B73	day12_4pm_cold	2	FALSE	/home/springer/zhoux379/data/stress_tenders/F05.fq.gz
F06	leaf_2	B73	day15_4pm_cold	3	FALSE	/home/springer/zhoux379/data/stress_tenders/F06.fq.gz
F07	leaf_3	B73	day15_4pm_cold	2	FALSE	/home/springer/zhoux379/data/stress_tenders/F07.fq.gz
F08	leaf_2	B73	day9_2pm_cold	1	FALSE	/home/springer/zhoux379/data/stress_tenders/F08.fq.gz
F09	leaf_2	B73	day11_11am_control	3	FALSE	/home/springer/zhoux379/data/stress_tenders/F09.fq.gz
F10	leaf_2	B73	day11_12pm_cold	1	FALSE	/home/springer/zhoux379/data/stress_tenders/F10.fq.gz
F11	leaf_2	Mo17	day12_4pm_control	3	FALSE	/home/springer/zhoux379/data/stress_tenders/F11.fq.gz
F12	leaf_2	Mo17	day15_4pm_cold	1	FALSE	/home/springer/zhoux379/data/stress_tenders/F12.fq.gz
G01	leaf_2	Mo17	day9_4pm_control	1	FALSE	/home/springer/zhoux379/data/stress_tenders/G01.fq.gz
G02	leaf_2	Mo17	day10_4pm_cold	1	FALSE	/home/springer/zhoux379/data/stress_tenders/G02.fq.gz
G03	leaf_2	B73	day10_4pm_cold	3	FALSE	/home/springer/zhoux379/data/stress_tenders/G03.fq.gz
G04	leaf_2	Mo17	day11_4pm_control	2	FALSE	/home/springer/zhoux379/data/stress_tenders/G04.fq.gz
G05	leaf_2	Mo17	day12_4pm_cold	1	FALSE	/home/springer/zhoux379/data/stress_tenders/G05.fq.gz
G06	leaf_2	Mo17	day15_4pm_cold	2	FALSE	/home/springer/zhoux379/data/stress_tenders/G06.fq.gz
G07	leaf_7	Mo17	day15_4pm_cold	1	FALSE	/home/springer/zhoux379/data/stress_tenders/G07.fq.gz
G08	leaf_2	B73	day9_4pm_control	3	FALSE	/home/springer/zhoux379/data/stress_tenders/G08.fq.gz
G09	leaf_2	Mo17	day11_11am_control	2	FALSE	/home/springer/zhoux379/data/stress_tenders/G09.fq.gz
G10	leaf_2	B73	day11_2pm_control	1	FALSE	/home/springer/zhoux379/data/stress_tenders/G10.fq.gz
G11	leaf_2	B73	day12_4pm_cold	3	FALSE	/home/springer/zhoux379/data/stress_tenders/G11.fq.gz
H01	leaf_2	Mo17	day9_4pm_control	2	FALSE	/home/springer/zhoux379/data/stress_tenders/H01.fq.gz
H02	leaf_2	Mo17	day10_4pm_cold	2	FALSE	/home/springer/zhoux379/data/stress_tenders/H02.fq.gz
H03	leaf_2	Mo17	day10_4pm_cold	3	FALSE	/home/springer/zhoux379/data/stress_tenders/H03.fq.gz
H04	leaf_2	Mo17	day11_4pm_control	3	FALSE	/home/springer/zhoux379/data/stress_tenders/H04.fq.gz
H05	leaf_2	Mo17	day12_4pm_cold	2	FALSE	/home/springer/zhoux379/data/stress_tenders/H05.fq.gz
H06	leaf_2	Mo17	day15_4pm_cold	3	FALSE	/home/springer/zhoux379/data/stress_tenders/H06.fq.gz
H07	leaf_3	Mo17	day15_4pm_cold	1	FALSE	/home/springer/zhoux379/data/stress_tenders/H07.fq.gz
H08	leaf_2	Mo17	day9_4pm_control	3	FALSE	/home/springer/zhoux379/data/stress_tenders/H08.fq.gz
H09	leaf_2	Mo17	day11_11am_control	3	FALSE	/home/springer/zhoux379/data/stress_tenders/H09.fq.gz
H10	leaf_2	B73	day11_2pm_cold	1	FALSE	/home/springer/zhoux379/data/stress_tenders/H10.fq.gz
H11	leaf_2	Mo17	day12_4pm_cold	3	FALSE	/home/springer/zhoux379/data/stress_tenders/H11.fq.gz
