SampleID	Tissue	Genotype	Treatment	Replicate	paired	inbred
bm001	Leaf	Q381		1	TRUE	TRUE
bm002	Leaf	PHW65		1	TRUE	TRUE
bm003	Leaf	PHN11		1	TRUE	TRUE
bm004	Leaf	PHJ40		1	TRUE	TRUE
bm005	Leaf	PHG83		1	TRUE	TRUE
bm006	Leaf	PHG72		1	TRUE	TRUE
bm007	Leaf	PHG50		1	TRUE	TRUE
bm008	Internode	LH156		1	TRUE	TRUE
bm009	Seedling	LH85		1	TRUE	TRUE
bm010	Leaf	AS5707		1	TRUE	TRUE
bm011	Endosperm	LH85		1	TRUE	TRUE
bm012	Leaf	PHG47		1	TRUE	TRUE
bm013	Leaf	PHG39		1	TRUE	TRUE
bm014	Leaf	PHG35		1	TRUE	TRUE
bm015	Endosperm	LH156		1	TRUE	TRUE
bm016	Leaf	PHG29		1	TRUE	TRUE
bm017	Leaf	PHB47		1	TRUE	TRUE
bm018	Leaf	PH207		1	TRUE	TRUE
bm019	Leaf	Oh43		1	TRUE	TRUE
bm020	Leaf	Ny821		1	TRUE	TRUE
bm021	Leaf	NKS8326		1	TRUE	TRUE
bm022	Leaf	NKH8431		1	TRUE	TRUE
bm023	Leaf	NC230		1	TRUE	TRUE
bm024	Leaf	MoG		1	TRUE	TRUE
bm025	Leaf	Mo45		1	TRUE	TRUE
bm026	Endosperm	LH145		1	TRUE	TRUE
bm027	Leaf	Mo17		1	TRUE	TRUE
bm028	Leaf	LH93		1	TRUE	TRUE
bm029	Leaf	LH85		1	TRUE	TRUE
bm030	Leaf	LH156		1	TRUE	TRUE
bm031	Leaf	LH145		1	TRUE	TRUE
bm032	Leaf	LH123Ht		1	TRUE	TRUE
bm033	Leaf	H99		1	TRUE	TRUE
bm034	Leaf	DKHBA1		1	TRUE	TRUE
bm035	Leaf	DKFAPW		1	TRUE	TRUE
bm036	Leaf	CR1Ht		1	TRUE	TRUE
bm037	Endosperm	LH123Ht		1	TRUE	TRUE
bm038	Leaf	B84		1	TRUE	TRUE
bm039	Leaf	B73		1	TRUE	TRUE
bm040	Leaf	AS5707		2	TRUE	TRUE
bm041	Internode	W64A		1	TRUE	TRUE
bm042	Internode	Q381		1	TRUE	TRUE
bm043	Internode	PHW65		1	TRUE	TRUE
bm044	Internode	PHN11		1	TRUE	TRUE
bm045	Internode	PHJ40		1	TRUE	TRUE
bm046	Internode	PHG83		1	TRUE	TRUE
bm047	Internode	PHG72		1	TRUE	TRUE
bm048	Endosperm	H99		1	TRUE	TRUE
bm049	Internode	PHG50		1	TRUE	TRUE
bm050	Internode	PHG47		1	TRUE	TRUE
bm051	Internode	PHG39		1	TRUE	TRUE
bm052	Internode	PHG35		1	TRUE	TRUE
bm053	Internode	PHG29		1	TRUE	TRUE
bm054	Internode	PHB47		1	TRUE	TRUE
bm055	Internode	PH207		1	TRUE	TRUE
bm056	Internode	Oh43		1	TRUE	TRUE
bm057	Internode	Ny821		1	TRUE	TRUE
bm058	Internode	NKS8326		1	TRUE	TRUE
bm059	Endosperm	DKFAPW		1	TRUE	TRUE
bm060	Internode	NKH8431		1	TRUE	TRUE
bm061	Internode	NC230		1	TRUE	TRUE
bm062	Internode	MoG		1	TRUE	TRUE
bm063	Internode	Mo45		1	TRUE	TRUE
bm064	Internode	Mo17		1	TRUE	TRUE
bm065	Internode	LH93		1	TRUE	TRUE
bm066	Internode	LH85		1	TRUE	TRUE
bm067	Internode	LH156		2	TRUE	TRUE
bm068	Internode	LH145		1	TRUE	TRUE
bm069	Internode	LH123Ht		1	TRUE	TRUE
bm070	Endosperm	CR1Ht		1	TRUE	TRUE
bm071	Internode	H99		1	TRUE	TRUE
bm072	Internode	DKHBA1		1	TRUE	TRUE
bm073	Internode	DKFAPW		1	TRUE	TRUE
bm074	Internode	CR1Ht		1	TRUE	TRUE
bm075	Internode	B84		1	TRUE	TRUE
bm076	Internode	B73		1	TRUE	TRUE
bm077	Internode	AS5707		1	TRUE	TRUE
bm078	Endosperm	W64A		1	TRUE	TRUE
bm079	Endosperm	Q381		1	TRUE	TRUE
bm080	Endosperm	PHW65		1	TRUE	TRUE
bm081	Endosperm	B84		1	TRUE	TRUE
bm082	Endosperm	PHN11		1	TRUE	TRUE
bm083	Endosperm	PHJ40		1	TRUE	TRUE
bm084	Endosperm	PHG83		1	TRUE	TRUE
bm085	Endosperm	PHG72		1	TRUE	TRUE
bm086	Endosperm	PHG50		1	TRUE	TRUE
bm087	Endosperm	PHG47		1	TRUE	TRUE
bm088	Endosperm	PHG39		1	TRUE	TRUE
bm089	Endosperm	PHG29		1	TRUE	TRUE
bm090	Endosperm	PHB47		1	TRUE	TRUE
bm091	Endosperm	B73		1	TRUE	TRUE
bm092	Endosperm	PH207		1	TRUE	TRUE
bm093	Endosperm	Oh43		1	TRUE	TRUE
bm094	Endosperm	Ny821		1	TRUE	TRUE
bm095	Endosperm	NKS8326		1	TRUE	TRUE
bm096	Endosperm	NKH8431		1	TRUE	TRUE
bm097	Endosperm	NC230		1	TRUE	TRUE
bm098	Endosperm	MoG		1	TRUE	TRUE
bm099	Endosperm	Mo45		1	TRUE	TRUE
bm100	Endosperm	Mo17		1	TRUE	TRUE
bm101	Endosperm	LH93		1	TRUE	TRUE
bm102	Endosperm	PHG35		1	TRUE	TRUE
bm103	Seedling	LH123Ht		1	TRUE	TRUE
bm104	Root	W64A		1	TRUE	TRUE
bm105	Root	Q381		1	TRUE	TRUE
bm106	Root	PHW65		1	TRUE	TRUE
bm107	Root	PHN11		1	TRUE	TRUE
bm108	Root	PHJ40		1	TRUE	TRUE
bm109	Root	PHG83		1	TRUE	TRUE
bm110	Root	PHG72		1	TRUE	TRUE
bm111	Root	PHG50		1	TRUE	TRUE
bm112	Root	PHG47		1	TRUE	TRUE
bm113	Root	PHG39		1	TRUE	TRUE
bm114	Root	PHG35		1	TRUE	TRUE
bm115	Root	PHG29		1	TRUE	TRUE
bm116	Root	PHB47		1	TRUE	TRUE
bm117	Root	PH207		1	TRUE	TRUE
bm118	Root	Oh43		1	TRUE	TRUE
bm119	Root	Ny821		1	TRUE	TRUE
bm120	Root	NKS8326		1	TRUE	TRUE
bm121	Root	NKH8431		1	TRUE	TRUE
bm122	Root	NC230		1	TRUE	TRUE
bm123	Root	MoG		1	TRUE	TRUE
bm124	Root	Mo45		1	TRUE	TRUE
bm125	Root	Mo44		1	TRUE	TRUE
bm126	Root	Mo17		1	TRUE	TRUE
bm127	Root	LH93		1	TRUE	TRUE
bm128	Root	LH85		1	TRUE	TRUE
bm129	Root	LH156		1	TRUE	TRUE
bm130	Root	LH145		1	TRUE	TRUE
bm131	Root	LH123Ht		1	TRUE	TRUE
bm132	Root	H99		1	TRUE	TRUE
bm133	Root	DKHBA1		1	TRUE	TRUE
bm134	Root	DKFAPW		1	TRUE	TRUE
bm135	Root	CR1Ht		1	TRUE	TRUE
bm136	Root	B84		1	TRUE	TRUE
bm137	Root	B73		1	TRUE	TRUE
bm138	Root	AS5707		1	TRUE	TRUE
bm139	Seedling	W64A		1	TRUE	TRUE
bm140	Seedling	Q381		1	TRUE	TRUE
bm141	Seedling	PHW65		1	TRUE	TRUE
bm142	Seedling	PHN11		1	TRUE	TRUE
bm143	Seedling	PHJ40		1	TRUE	TRUE
bm144	Seedling	PHG83		1	TRUE	TRUE
bm145	Seedling	PHG72		1	TRUE	TRUE
bm146	Seedling	PHG50		1	TRUE	TRUE
bm147	Seedling	PHG47		1	TRUE	TRUE
bm148	Seedling	PHG39		1	TRUE	TRUE
bm149	Seedling	PHG35		1	TRUE	TRUE
bm150	Seedling	PHG29		1	TRUE	TRUE
bm151	Seedling	PHB47		1	TRUE	TRUE
bm152	Seedling	PH207		1	TRUE	TRUE
bm153	Seedling	Oh43		1	TRUE	TRUE
bm154	Seedling	Ny821		1	TRUE	TRUE
bm155	Seedling	NKS8326		1	TRUE	TRUE
bm156	Seedling	NKH8431		1	TRUE	TRUE
bm157	Seedling	NC230		1	TRUE	TRUE
bm158	Seedling	MoG		1	TRUE	TRUE
bm159	Seedling	Mo45		1	TRUE	TRUE
bm160	Seedling	Mo44		1	TRUE	TRUE
bm161	Seedling	Mo17		1	TRUE	TRUE
bm162	Seedling	LH93		1	TRUE	TRUE
bm163	Seedling	LH85		2	TRUE	TRUE
bm164	Seedling	LH156		1	TRUE	TRUE
bm165	Seedling	LH145		1	TRUE	TRUE
bm166	Seedling	LH123Ht		2	TRUE	TRUE
bm167	Seedling	H99		1	TRUE	TRUE
bm168	Seedling	DKHBA1		1	TRUE	TRUE
bm169	Seedling	DKFAPW		1	TRUE	TRUE
bm170	Seedling	CR1Ht		1	TRUE	TRUE
bm171	Seedling	B84		1	TRUE	TRUE
bm172	Seedling	B73		1	TRUE	TRUE
bm173	Seedling	AS5707		1	TRUE	TRUE
bm174	Leaf	W64A		1	TRUE	TRUE
bm175	Endosperm	B73xMo17		1	TRUE	FALSE
bm176	Endosperm	B73xPH207		1	TRUE	FALSE
bm177	Endosperm	B84xB73		1	TRUE	FALSE
bm178	Internode	B84xB73		1	TRUE	FALSE
bm179	Seedling	B84xB73		1	TRUE	FALSE
bm180	Root	B84xB73		1	TRUE	FALSE
bm181	Leaf	B84xB73		1	TRUE	FALSE
bm182	Internode	B84xMo17		1	TRUE	FALSE
bm183	Root	B84xMo17		1	TRUE	FALSE
bm184	Leaf	B84xMo17		1	TRUE	FALSE
bm185	Endosperm	B84xMo17		1	TRUE	FALSE
bm186	Seedling	B84xMo17		1	TRUE	FALSE
bm187	Endosperm	B84xPH207		1	TRUE	FALSE
bm188	Endosperm	CR1HtxB73		1	TRUE	FALSE
bm189	Endosperm	CR1HtxMo17		1	TRUE	FALSE
bm190	Endosperm	CR1HtxPH207		1	TRUE	FALSE
bm191	Seedling	DKFAPWxB73		1	TRUE	FALSE
bm192	Internode	DKFAPWxB73		1	TRUE	FALSE
bm193	Root	DKFAPWxB73		1	TRUE	FALSE
bm194	Leaf	DKFAPWxB73		1	TRUE	FALSE
bm195	Endosperm	DKFAPWxB73		1	TRUE	FALSE
bm196	Internode	DKFAPWxMo17		1	TRUE	FALSE
bm197	Seedling	DKFAPWxMo17		1	TRUE	FALSE
bm198	Root	DKFAPWxMo17		1	TRUE	FALSE
bm199	Leaf	DKFAPWxMo17		1	TRUE	FALSE
bm200	Endosperm	DKFAPWxMo17		1	TRUE	FALSE
bm201	Endosperm	DKFAPWxPH207		1	TRUE	FALSE
bm202	Seedling	H99xB73		1	TRUE	FALSE
bm203	Root	H99xB73		1	TRUE	FALSE
bm204	Leaf	H99xB73		1	TRUE	FALSE
bm205	Endosperm	H99xB73		1	TRUE	FALSE
bm206	Internode	H99xMo17		1	TRUE	FALSE
bm207	Seedling	H99xMo17		1	TRUE	FALSE
bm208	Root	H99xMo17		1	TRUE	FALSE
bm209	Leaf	H99xMo17		1	TRUE	FALSE
bm210	Endosperm	H99xMo17		1	TRUE	FALSE
bm211	Endosperm	H99xPH207		1	TRUE	FALSE
bm212	Seedling	LH123HtxB73		1	TRUE	FALSE
bm213	Root	LH123HtxB73		1	TRUE	FALSE
bm214	Leaf	LH123HtxB73		1	TRUE	FALSE
bm215	Endosperm	LH123HtxB73		1	TRUE	FALSE
bm216	Seedling	LH123HtxMo17		1	TRUE	FALSE
bm217	Endosperm	LH123HtxMo17		1	TRUE	FALSE
bm218	Internode	LH123HtxMo17		1	TRUE	FALSE
bm219	Leaf	LH123HtxMo17		1	TRUE	FALSE
bm220	Root	LH123HtxMo17		1	TRUE	FALSE
bm221	Endosperm	LH123HtxPH207		1	TRUE	FALSE
bm222	Internode	LH145xB73		1	TRUE	FALSE
bm223	Seedling	LH145xB73		1	TRUE	FALSE
bm224	Leaf	LH145xB73		1	TRUE	FALSE
bm225	Root	LH145xB73		1	TRUE	FALSE
bm226	Endosperm	LH145xB73		1	TRUE	FALSE
bm227	Endosperm	LH145xMo17		1	TRUE	FALSE
bm228	Endosperm	LH145xMo17		2	TRUE	FALSE
bm229	Endosperm	LH145xPH207		1	TRUE	FALSE
bm230	Seedling	LH156xB73		1	TRUE	FALSE
bm231	Leaf	LH156xB73		1	TRUE	FALSE
bm232	Root	LH156xB73		1	TRUE	FALSE
bm233	Endosperm	LH156xB73		1	TRUE	FALSE
bm234	Endosperm	LH156xB73		2	TRUE	FALSE
bm235	Seedling	LH156xMo17		1	TRUE	FALSE
bm236	Leaf	LH156xMo17		1	TRUE	FALSE
bm237	Internode	LH156xMo17		1	TRUE	FALSE
bm238	Internode	LH156xMo17		2	TRUE	FALSE
bm239	Root	LH156xMo17		1	TRUE	FALSE
bm240	Root	LH156xMo17		2	TRUE	FALSE
bm241	Endosperm	LH156xMo17		1	TRUE	FALSE
bm242	Internode	LH85xB73		1	TRUE	FALSE
bm243	Seedling	LH85xB73		1	TRUE	FALSE
bm244	Leaf	LH85xB73		1	TRUE	FALSE
bm245	Root	LH85xB73		1	TRUE	FALSE
bm246	Endosperm	LH85xB73		1	TRUE	FALSE
bm247	Endosperm	LH85xMo17		1	TRUE	FALSE
bm248	Endosperm	LH85xPH207		1	TRUE	FALSE
bm249	Internode	LH93xB73		1	TRUE	FALSE
bm250	Seedling	LH93xB73		1	TRUE	FALSE
bm251	Leaf	LH93xB73		1	TRUE	FALSE
bm252	Leaf	LH93xB73		1	TRUE	FALSE
bm253	Endosperm	LH93xB73		1	TRUE	FALSE
bm254	Seedling	LH93xMo17		1	TRUE	FALSE
bm255	Leaf	LH93xMo17		1	TRUE	FALSE
bm256	Root	LH93xMo17		1	TRUE	FALSE
bm257	Endosperm	LH93xMo17		1	TRUE	FALSE
bm258	Internode	LH93xMo17		1	TRUE	FALSE
bm259	Endosperm	LH93xPH207		1	TRUE	FALSE
bm260	Internode	Mo17xB73		1	TRUE	FALSE
bm261	Seedling	Mo17xB73		1	TRUE	FALSE
bm262	Leaf	Mo17xB73		1	TRUE	FALSE
bm263	Root	Mo17xB73		1	TRUE	FALSE
bm264	Endosperm	Mo17xB73		1	TRUE	FALSE
bm265	Endosperm	Mo17xB73		2	TRUE	FALSE
bm266	Seedling	Mo17xOh43		1	TRUE	FALSE
bm267	Leaf	Mo17xOh43		1	TRUE	FALSE
bm268	Root	Mo17xOh43		1	TRUE	FALSE
bm269	Internode	Mo17xOh43		1	TRUE	FALSE
bm270	Endosperm	Mo17xPH207		1	TRUE	FALSE
bm271	Internode	Mo17xPH207		1	TRUE	FALSE
bm272	Seedling	Mo17xPH207		1	TRUE	FALSE
bm273	Leaf	Mo17xPH207		1	TRUE	FALSE
bm274	Root	Mo17xPH207		1	TRUE	FALSE
bm275	Seedling	Mo17xPHG29		1	TRUE	FALSE
bm276	Internode	Mo17xPHG29		1	TRUE	FALSE
bm277	Root	Mo17xPHG29		1	TRUE	FALSE
bm278	Leaf	Mo17xPHG29		1	TRUE	FALSE
bm279	Leaf	Mo17xPHG29		2	TRUE	FALSE
bm280	Seedling	Mo44xB73		1	TRUE	FALSE
bm281	Leaf	Mo44xB73		1	TRUE	FALSE
bm282	Root	Mo44xB73		1	TRUE	FALSE
bm283	Internode	Mo44xB73		1	TRUE	FALSE
bm284	Seedling	Mo44xMo17		1	TRUE	FALSE
bm285	Internode	Mo44xMo17		1	TRUE	FALSE
bm286	Root	Mo44xMo17		1	TRUE	FALSE
bm287	Leaf	Mo44xMo17		1	TRUE	FALSE
bm288	Leaf	Mo44xMo17		2	TRUE	FALSE
bm289	Internode	Mo45xB73		1	TRUE	FALSE
bm290	Seedling	Mo45xB73		1	TRUE	FALSE
bm291	Leaf	Mo45xB73		1	TRUE	FALSE
bm292	Root	Mo45xB73		1	TRUE	FALSE
bm293	Endosperm	Mo45xB73		1	TRUE	FALSE
bm294	Internode	Mo45xMo17		1	TRUE	FALSE
bm295	Endosperm	Mo45xMo17		1	TRUE	FALSE
bm296	Leaf	Mo45xMo17		1	TRUE	FALSE
bm297	Root	Mo45xMo17		1	TRUE	FALSE
bm298	Seedling	Mo45xMo17		1	TRUE	FALSE
bm299	Endosperm	Mo45xPH207		1	TRUE	FALSE
bm300	Endosperm	MoGxB73		1	TRUE	FALSE
bm301	Internode	MoGxB73		1	TRUE	FALSE
bm302	Leaf	MoGxB73		1	TRUE	FALSE
bm303	Root	MoGxB73		1	TRUE	FALSE
bm304	Seedling	MoGxB73		1	TRUE	FALSE
bm305	Seedling	MoGxMo17		1	TRUE	FALSE
bm306	Endosperm	MoGxMo17		1	TRUE	FALSE
bm307	Internode	MoGxMo17		1	TRUE	FALSE
bm308	Leaf	MoGxMo17		1	TRUE	FALSE
bm309	Root	MoGxMo17		1	TRUE	FALSE
bm310	Endosperm	NC230xB73		1	TRUE	FALSE
bm311	Endosperm	NC230xB73		2	TRUE	FALSE
bm312	Endosperm	NC230xMo17		1	TRUE	FALSE
bm313	Endosperm	NC230xPH207		1	TRUE	FALSE
bm314	Internode	NKH8431xB73		1	TRUE	FALSE
bm315	Leaf	NKH8431xB73		1	TRUE	FALSE
bm316	Root	NKH8431xB73		1	TRUE	FALSE
bm317	Seedling	NKH8431xB73		1	TRUE	FALSE
bm318	Endosperm	NKH8431xMo17		1	TRUE	FALSE
bm319	Endosperm	NKH8431xPH207		1	TRUE	FALSE
bm320	Internode	NKS8326xB73		1	TRUE	FALSE
bm321	Leaf	NKS8326xB73		1	TRUE	FALSE
bm322	Root	NKS8326xB73		1	TRUE	FALSE
bm323	Endosperm	NKS8326xB73		1	TRUE	FALSE
bm324	Seedling	NKS8326xB73		1	TRUE	FALSE
bm325	Seedling	NKS8326xMo17		1	TRUE	FALSE
bm326	Internode	NKS8326xMo17		1	TRUE	FALSE
bm327	Leaf	NKS8326xMo17		1	TRUE	FALSE
bm328	Root	NKS8326xMo17		1	TRUE	FALSE
bm329	Endosperm	NKS8326xMo17		1	TRUE	FALSE
bm330	Endosperm	NKS8326xPH207		1	TRUE	FALSE
bm331	Endosperm	Ny821xB73		1	TRUE	FALSE
