SampleID	Tissue	Genotype	Treatment	Replicate	paired	r1	r2
BR187	embryo	Mo17	imbibedseed	4	TRUE	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index3_S30_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index3_S30_R2_001.fastq.gz
BR206	root	Mo17	seedling_11DAS	1	TRUE	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index5_S32_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index5_S32_R2_001.fastq.gz
BR207	root	Mo17	seedling_11DAS	2	TRUE	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index8_S35_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index8_S35_R2_001.fastq.gz
BR208	root	B73xMo17	seedling_11DAS	1	TRUE	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index6_S33_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index6_S33_R2_001.fastq.gz
BR209	root	B73xMo17	seedling_11DAS	2	TRUE	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index9_S36_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index9_S36_R2_001.fastq.gz
BR235	embryo	B73	imbibedseed	4	TRUE	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index7_S34_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index7_S34_R2_001.fastq.gz
BR211	meristem	B73	seedling_11DAS	1	TRUE	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index10_S20_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index10_S20_R2_001.fastq.gz
BR212	meristem	B73	seedling_11DAS	2	TRUE	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index12_S22_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index12_S22_R2_001.fastq.gz
BR213	meristem	B73	seedling_11DAS	3	TRUE	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index11_S21_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index11_S21_R2_001.fastq.gz
BR214	meristem	Mo17	seedling_11DAS	1	TRUE	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index13_S23_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index13_S23_R2_001.fastq.gz
BR215	meristem	Mo17	seedling_11DAS	2	TRUE	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index20_S27_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index20_S27_R2_001.fastq.gz
BR216	meristem	Mo17	seedling_11DAS	3	TRUE	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index14_S24_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index14_S24_R2_001.fastq.gz
BR217	meristem	B73xMo17	seedling_11DAS	1	TRUE	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index21_S28_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index21_S28_R2_001.fastq.gz
BR218	meristem	B73xMo17	seedling_11DAS	2	TRUE	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index15_S25_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index15_S25_R2_001.fastq.gz
BR219	meristem	B73xMo17	seedling_11DAS	3	TRUE	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index22_S29_R1_001.fastq.gz	/home/springer/data_release/umgc/hiseq/180109_D00635_0322_BCATGLANXX/Springer_Project_058/briggs_pool12_18_Index22_S29_R2_001.fastq.gz
