SampleID	Tissue	Genotype	Treatment	Replicate	paired	r1	r2
BR043	tassel	B73xMo17	v12	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index6_S42_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index6_S42_R2_001.fastq
BR044	tassel	B73xMo17	v12	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index9_S45_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index9_S45_R2_001.fastq
BR045	tassel	B73xMo17	v12	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index7_S43_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index7_S43_R2_001.fastq
BR046	ear	B73	v14	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index10_S46_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index10_S46_R2_001.fastq
BR047	ear	B73	v14	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index12_S48_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index12_S48_R2_001.fastq
BR048	ear	B73	v14	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index11_S47_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index11_S47_R2_001.fastq
BR049	ear	Mo17	v14	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index13_S49_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index13_S49_R2_001.fastq
BR050	ear	Mo17	v14	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index20_S52_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index20_S52_R2_001.fastq
BR051	ear	Mo17	v14	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index14_S50_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index14_S50_R2_001.fastq
BR052	ear	B73xMo17	v14	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index21_S53_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index21_S53_R2_001.fastq
BR053	ear	B73xMo17	v14	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index15_S51_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index15_S51_R2_001.fastq
BR054	ear	B73xMo17	v14	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index22_S54_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index22_S54_R2_001.fastq
BR055	silk	B73	0DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index2_S56_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index2_S56_R2_001.fastq
BR056	silk	B73	0DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index1_S55_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index1_S55_R2_001.fastq
BR057	silk	B73	0DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index4_S58_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index4_S58_R2_001.fastq
BR058	silk	Mo17	0DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index3_S57_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index3_S57_R2_001.fastq
BR059	silk	Mo17	0DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index5_S59_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index5_S59_R2_001.fastq
BR060	silk	Mo17	0DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index8_S62_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index8_S62_R2_001.fastq
BR061	silk	B73xMo17	0DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index6_S60_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index6_S60_R2_001.fastq
BR062	silk	B73xMo17	0DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index9_S63_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index9_S63_R2_001.fastq
BR063	silk	B73xMo17	0DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index7_S61_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index7_S61_R2_001.fastq
BR064	spikelet	B73	0DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index10_S64_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index10_S64_R2_001.fastq
BR065	spikelet	B73	0DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index12_S66_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index12_S66_R2_001.fastq
BR066	spikelet	B73	0DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index11_S65_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index11_S65_R2_001.fastq
BR067	spikelet	Mo17	0DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index13_S67_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index13_S67_R2_001.fastq
BR068	spikelet	Mo17	0DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index20_S70_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index20_S70_R2_001.fastq
BR069	spikelet	Mo17	0DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index14_S68_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index14_S68_R2_001.fastq
BR070	spikelet	B73xMo17	0DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index21_S71_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index21_S71_R2_001.fastq
BR071	spikelet	B73xMo17	0DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index15_S69_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index15_S69_R2_001.fastq
BR072	spikelet	B73xMo17	0DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index22_S72_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool4_18_index22_S72_R2_001.fastq
BR073	stem	B73	husk_0DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index2_S74_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index2_S74_R2_001.fastq
BR074	stem	B73	husk_0DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index1_S73_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index1_S73_R2_001.fastq
BR075	stem	B73	husk_0DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index4_S76_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index4_S76_R2_001.fastq
BR076	stem	Mo17	husk_0DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index3_S75_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index3_S75_R2_001.fastq
BR077	stem	Mo17	husk_0DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index5_S77_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index5_S77_R2_001.fastq
BR078	stem	Mo17	husk_0DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index8_S80_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index8_S80_R2_001.fastq
BR079	stem	B73xMo17	husk_0DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index6_S78_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index6_S78_R2_001.fastq
BR080	stem	B73xMo17	husk_0DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index9_S81_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index9_S81_R2_001.fastq
BR081	stem	B73xMo17	husk_0DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index7_S79_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index7_S79_R2_001.fastq
BR082	stem	B73	tasselstem_0DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index10_S82_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index10_S82_R2_001.fastq
BR083	stem	B73	tasselstem_0DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index12_S84_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index12_S84_R2_001.fastq
BR084	stem	B73	tasselstem_0DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index11_S83_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index11_S83_R2_001.fastq
BR085	stem	Mo17	tasselstem_0DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index13_S85_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index13_S85_R2_001.fastq
BR086	stem	Mo17	tasselstem_0DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index20_S88_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index20_S88_R2_001.fastq
BR087	stem	Mo17	tasselstem_0DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index14_S86_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index14_S86_R2_001.fastq
BR088	stem	B73xMo17	tasselstem_0DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index21_S89_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index21_S89_R2_001.fastq
BR089	stem	B73xMo17	tasselstem_0DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index15_S87_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index15_S87_R2_001.fastq
BR090	stem	B73xMo17	tasselstem_0DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index22_S90_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool5_18_index22_S90_R2_001.fastq
BR091	floret	B73	0DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index2_S9_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index2_S9_R2_001.fastq
BR092	floret	B73	0DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index1_S8_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index1_S8_R2_001.fastq
BR093	floret	B73	0DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index4_S11_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index4_S11_R2_001.fastq
BR094	floret	Mo17	0DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index3_S10_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index3_S10_R2_001.fastq
BR095	floret	Mo17	0DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index5_S12_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index5_S12_R2_001.fastq
BR096	floret	Mo17	0DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index8_S15_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index8_S15_R2_001.fastq
BR097	floret	B73xMo17	0DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index6_S13_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index6_S13_R2_001.fastq
BR098	floret	B73xMo17	0DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index9_S16_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index9_S16_R2_001.fastq
BR099	floret	B73xMo17	0DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index7_S14_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index7_S14_R2_001.fastq
BR118	kernel	B73	14DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index10_S17_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index10_S17_R2_001.fastq
BR119	kernel	B73	14DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index12_S19_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index12_S19_R2_001.fastq
BR120	kernel	B73	14DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index11_S18_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index11_S18_R2_001.fastq
BR121	kernel	Mo17	14DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index13_S20_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index13_S20_R2_001.fastq
BR122	kernel	Mo17	14DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index20_S25_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index20_S25_R2_001.fastq
BR123	kernel	Mo17	14DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index14_S21_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index14_S21_R2_001.fastq
BR124	kernel	B73xMo17	14DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index21_S26_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index21_S26_R2_001.fastq
BR125	kernel	B73xMo17	14DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index15_S22_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index15_S22_R2_001.fastq
BR126	kernel	B73xMo17	14DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index22_S27_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index22_S27_R2_001.fastq
BR127	kernel	Mo17xB73	14DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index16_S23_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index16_S23_R2_001.fastq
BR128	kernel	Mo17xB73	14DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index23_S28_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index23_S28_R2_001.fastq
BR129	kernel	Mo17xB73	14DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index18_S24_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool6_21_index18_S24_R2_001.fastq
BR100	leaf	B73	flag_0DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool7_18_index2_S30_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool7_18_index2_S30_R2_001.fastq
BR101	leaf	B73	flag_0DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool7_18_index4_S32_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool7_18_index4_S32_R2_001.fastq
BR102	leaf	B73	flag_0DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool7_18_index5_S33_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool7_18_index5_S33_R2_001.fastq
BR103	leaf	Mo17	flag_0DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool7_18_index27_S46_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool7_18_index27_S46_R2_001.fastq
BR104	leaf	Mo17	flag_0DAP	2	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool7_18_index25_S45_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool7_18_index25_S45_R2_001.fastq
BR105	leaf	Mo17	flag_0DAP	3	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool7_18_index6_S34_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool7_18_index6_S34_R2_001.fastq
BR106	leaf	B73xMo17	flag_0DAP	1	TRUE	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool7_18_index7_S35_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052/briggs_pool7_18_index7_S35_R2_001.fastq
