SampleID	Tissue	Genotype	Treatment	Replicate	paired
SRR5786199	root III	A554		rep4	TRUE
SRR5786200	root III	A554		rep1	TRUE
SRR5786201	root III	A554		rep2	TRUE
SRR5786202	root III	B73		rep11	TRUE
SRR5786203	root III	B73		rep12	TRUE
SRR5786204	root III	B73xA554		rep3	TRUE
SRR5786205	root III	B73xA554		rep4	TRUE
SRR5786206	root I	W64A		rep3	TRUE
SRR5786207	root I	W64A		rep4	TRUE
SRR5786208	root I	Mo17		rep3	TRUE
SRR5786209	root I	Mo17		rep4	TRUE
SRR5786210	root I	Oh43		rep1	TRUE
SRR5786211	root I	Oh43		rep2	TRUE
SRR5786212	root I	Oh43		rep3	TRUE
SRR5786213	root I	Oh43		rep4	TRUE
SRR5786214	root I	W64A		rep1	TRUE
SRR5786215	root I	W64A		rep2	TRUE
SRR5786216	root III	B73		rep6	TRUE
SRR5786217	root III	B73		rep5	TRUE
SRR5786218	root III	B73		rep8	TRUE
SRR5786219	root III	B73		rep7	TRUE
SRR5786220	root III	B73		rep2	TRUE
SRR5786221	root III	B73		rep1	TRUE
SRR5786222	root III	B73		rep4	TRUE
SRR5786223	root III	B73		rep3	TRUE
SRR5786224	root III	B73		rep10	TRUE
SRR5786225	root III	B73		rep9	TRUE
SRR5786226	root II	B73		rep6	TRUE
SRR5786227	root II	B73		rep5	TRUE
SRR5786228	root II	B73		rep8	TRUE
SRR5786229	root II	B73		rep7	TRUE
SRR5786230	root II	B73		rep2	TRUE
SRR5786231	root II	B73		rep1	TRUE
SRR5786232	root II	B73		rep4	TRUE
SRR5786233	root II	B73		rep3	TRUE
SRR5786234	root II	B73		rep10	TRUE
SRR5786235	root II	B73		rep9	TRUE
SRR5786236	root I	B73		rep9	TRUE
SRR5786237	root I	B73		rep10	TRUE
SRR5786238	root I	B73		rep1	TRUE
SRR5786239	root I	B73		rep2	TRUE
SRR5786240	root I	B73		rep3	TRUE
SRR5786241	root I	B73		rep4	TRUE
SRR5786242	root I	B73		rep5	TRUE
SRR5786243	root I	B73		rep6	TRUE
SRR5786244	root I	B73		rep7	TRUE
SRR5786245	root I	B73		rep8	TRUE
SRR5786246	root III	B73xMo17		rep3	TRUE
SRR5786247	root III	B73xMo17		rep4	TRUE
SRR5786248	root III	B73xOh43		rep1	TRUE
SRR5786249	root III	B73xOh43		rep2	TRUE
SRR5786250	root III	B73xOh43		rep3	TRUE
SRR5786251	root III	B73xOh43		rep4	TRUE
SRR5786252	root III	B73xW64A		rep1	TRUE
SRR5786253	root III	B73xW64A		rep2	TRUE
SRR5786254	root III	B73xW64A		rep3	TRUE
SRR5786255	root III	B73xW64A		rep4	TRUE
SRR5786256	root II	B73xA554		rep1	TRUE
SRR5786257	root II	B73xA554		rep2	TRUE
SRR5786258	root II	A554		rep3	TRUE
SRR5786259	root II	A554		rep4	TRUE
SRR5786260	root II	A554		rep1	TRUE
SRR5786261	root II	A554		rep2	TRUE
SRR5786262	root II	B73		rep11	TRUE
SRR5786263	root II	B73		rep12	TRUE
SRR5786264	root II	B73xA554		rep3	TRUE
SRR5786265	root II	B73xA554		rep4	TRUE
SRR5786266	root III	B73xMo17		rep2	TRUE
SRR5786267	root III	B73xMo17		rep1	TRUE
SRR5786268	root III	B73xH99		rep4	TRUE
SRR5786269	root III	B73xH99		rep3	TRUE
SRR5786270	root III	B73xH99		rep2	TRUE
SRR5786271	root III	B73xH99		rep1	TRUE
SRR5786272	root III	B73xH84		rep4	TRUE
SRR5786273	root III	B73xH84		rep3	TRUE
SRR5786274	root III	B73xH84		rep2	TRUE
SRR5786275	root III	B73xH84		rep1	TRUE
SRR5786276	root II	B73xMo17		rep2	TRUE
SRR5786277	root II	B73xMo17		rep1	TRUE
SRR5786278	root II	B73xH84		rep4	TRUE
SRR5786279	root II	B73xH84		rep3	TRUE
SRR5786280	root II	B73xH84		rep2	TRUE
SRR5786281	root II	B73xH84		rep1	TRUE
SRR5786282	root II	B73xH99		rep4	TRUE
SRR5786283	root II	B73xH99		rep3	TRUE
SRR5786284	root II	B73xH99		rep2	TRUE
SRR5786285	root II	B73xH99		rep1	TRUE
SRR5786286	root III	W64A		rep1	TRUE
SRR5786287	root III	W64A		rep2	TRUE
SRR5786288	root III	Oh43		rep3	TRUE
SRR5786289	root III	Oh43		rep4	TRUE
SRR5786290	root II	B73xOh43		rep3	TRUE
SRR5786291	root II	B73xOh43		rep4	TRUE
SRR5786292	root II	B73xW64A		rep1	TRUE
SRR5786293	root II	B73xW64A		rep2	TRUE
SRR5786294	root II	B73xMo17		rep3	TRUE
SRR5786295	root II	B73xMo17		rep4	TRUE
SRR5786296	root II	B73xOh43		rep1	TRUE
