SampleID	Tissue	Genotype	Treatment	Replicate	total	surviving	surviving_f	surviving_r	dropped	uniquely_mapped	multimapped	unmapped	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR611806	Leaf	B73	T00	1	143961910	110460133	10912767	8481610	14107400	110341841	11592772	7919897	88288093	18561598	6007696	1246101	10580776
SRR611807	Leaf	B73	T00	2	82902125	71186228	5396428	2914466	3405003	67157987	7406869	4932266	56911193	11934954	2967361	862309	7654291
SRR611822	Leaf	B73	T06	1	83215053	70200473	6332844	3102708	3579028	64170075	9027193	6438757	53605029	12805492	2712286	923490	10212758
SRR611823	Leaf	B73	T06	2	142862168	107094776	12748074	8361517	14657801	103404043	13732919	11067405	81509784	19210938	5574470	1315019	14512757
SRR611834	Leaf	B73	T12	1	138766133	107362017	13701999	5600093	12102024	107944177	11118330	7601602	85329973	18266872	5939621	1287852	10535014
SRR611835	Leaf	B73	T12	2	95265559	78376064	9614234	2853496	4421765	76398543	8363589	6081662	62017146	13277050	3295195	966241	9014279
SRR611836	Leaf	B73	T18	1	137351395	107338512	9520006	7926509	12566368	105031791	12336386	7416850	83858729	19281788	6688147	1227454	11081940
SRR611837	Leaf	B73	T18	2	92824469	78272130	6064138	3747095	4741106	73807205	8761786	5514372	61629748	13666858	3889968	967011	8584292
SRR611838	Leaf	B73	T24	1	121811841	98637529	10662848	4309470	8201994	97784875	9752421	6072551	78189469	18185102	6613641	1029924	8465111
SRR611839	Leaf	B73	T24	2	115076583	92478067	8549055	5436341	8613120	91385840	8991534	6086089	73990423	16605332	5407224	986163	8135362
SRR616188	Leaf	B73	T30	1	122078589	99156605	10339963	3855676	8726345	97510626	7667184	8174434	79258724	14969084	5714706	1050774	9215191
SRR616189	Leaf	B73	T30	2	89047211	76581737	6387462	2272359	3805653	73674079	5790192	5777287	61833126	11118108	3804737	800817	7116862
SRR616190	Leaf	B73	T36	1	134936491	110180642	10060234	4188664	10506951	109887162	7657164	6885214	91241741	15701696	5671611	913732	8159427
SRR616191	Leaf	B73	T36	2	100378375	84811080	7790639	2590319	5186337	82878858	5806394	6506786	69556311	11906280	3812233	715292	7491184
SRR616192	Leaf	B73	T42	1	89822131	74647826	9143908	2554868	3475529	72152283	6305037	7889282	57454333	13157194	4350065	630161	9114648
SRR616193	Leaf	B73	T42	2	111772419	87466834	14209817	3677473	6418295	88167345	7775092	9411687	67565121	16145365	4947747	715076	10522073
SRR616194	Leaf	B73	T48	1	93435706	74951363	11403330	2814454	4266559	72756266	6124487	10288394	56291395	12524577	3963054	663991	11059949
SRR616195	Leaf	B73	T48	2	101419601	87475712	11806139	1241625	896125	86377690	7386655	6759131	70696839	13638346	4038041	850358	8391931
SRR616196	Leaf	B73	T54	1	144717149	114581157	10763431	5933254	13439307	117149e3	7727939	6400903	95363370	16369519	6451425	1183474	7045873
SRR616197	Leaf	B73	T54	2	119682060	99336667	9103177	3172292	8069924	98989447	6374424	6248265	82999642	13177527	4545325	1006066	6957877
SRR616248	Leaf	B73	T60	1	155019145	122258022	11366997	5725958	15668168	124401131	8221734	6728112	102215703	17380652	6392680	1282672	7533593
SRR616249	Leaf	B73	T60	2	121059474	98122834	11265271	3411951	8259418	98563749	6524309	7711998	81086822	13475436	4009202	1026612	8237044
SRR616250	Leaf	B73	T66	1	159370230	117559932	17697701	5820676	18291921	120591128	8886263	11600918	91736017	19931961	7805613	1200326	12013391
SRR616251	Leaf	B73	T66	2	132324988	103916201	13541894	4260079	10606814	105459211	7631557	8627406	83074883	16853332	6240154	1101013	9202742
SRR616252	Leaf	B73	T72	1	128898161	106795030	18199393	2005074	1898664	110502404	8004492	8492601	84995375	17467774	6882828	1194284	9105861
SRR616253	Leaf	B73	T72	2	142251010	106120705	16432210	5111465	14586630	109553512	8180038	9930830	84152663	17571512	5977173	1198613	10341384
SRR950094	Leaf	B73	ET06	1	200907354	186536673	10240497	1812264	2317920	160637759	28655924	9295751	137738852	27126367	11896065	2017249	27161879
SRR950095	Leaf	B73	ET06	2	134498989	126205491	5428838	674733	2189927	107909721	18698178	5701163	95173608	14586224	6914060	1297240	17989376
SRR950096	Leaf	B73	ET12	1	166258782	155515946	7212781	1242933	2287122	126373459	30513750	7084451	109086028	23286094	10127220	1430863	28446475
SRR950097	Leaf	B73	ET12	2	173422973	161381837	8374086	1342721	2324329	132956608	31552445	6589591	116066836	21369399	8783069	1389282	29125428
SRR950098	Leaf	B73	ET18	1	192601486	177478020	10899436	1638449	2585581	150653136	31412034	7950735	128568522	26902297	11658053	1500423	28359424
SRR950099	Leaf	B73	ET18	2	160738650	153322409	4708648	864308	1843285	130224360	22800155	5870850	115971609	18013963	9045879	1191239	21327982
SRR950100	Leaf	B73	ET24	1	126053644	118882586	4649827	840153	1681078	107193924	12531793	4646849	94611638	15119274	7201978	1020059	11384095
SRR950101	Leaf	B73	ET24	2	143098358	135316181	4586036	713074	2483067	122192392	12672697	5750202	109750307	14152149	7243230	1029094	12418210
SRR950102	Leaf	B73	ET30	1	194458287	174554630	13574282	1537570	4791805	166032399	17622593	6011490	141954422	22906535	10370415	1448326	13743985
SRR950103	Leaf	B73	ET30	2	113983494	108747379	2671428	444776	2119911	98447037	9573278	3843268	89848259	11194917	5264233	821388	8858065
SRR950104	Leaf	B73	ET36	1	168390713	157606789	7470280	1141600	2172044	149967230	11737360	4514079	132743515	19711702	8603721	1388840	8429710
SRR950105	Leaf	B73	ET36	2	108248535	104313646	2335522	490606	1108761	96105241	7331001	3703532	88187109	12252588	4677540	882558	6666783
SRR950110	Leaf	B73	ET42	1	198517913	182263469	12110776	1556783	2586885	176886683	13841718	5202627	315528289	0	22867177	3754756	20197539
SRR950111	Leaf	B73	ET42	2	119556477	114775656	2675246	567692	1537883	106504890	7662436	3851268	97665850	12058304	5117183	986544	6672824
SRR950161	Leaf	B73	ET48	1	126211359	117959973	5446342	886797	1918247	112444318	8413562	3435232	100090159	14961978	5691681	1343107	5971673
SRR950162	Leaf	B73	ET48	2	106082278	102299085	2362261	539747	881185	94856916	6917812	3426365	87367600	11843695	3896154	1161884	6039411
SRR950163	Leaf	B73	ET54	1	155762514	148420584	4847485	801009	1693436	140697789	9434472	3936817	127005025	18210913	7098711	1826834	6376950
SRR950164	Leaf	B73	ET54	2	95978723	92908658	1800477	356519	913069	86326075	5593487	3146092	79699139	9748029	3806672	987005	4907227
SRR950181	Leaf	B73	ET60	1	173408650	161198616	8412306	1538256	2259472	154711213	11893818	4544147	136641021	21255445	7784292	1915983	8132375
SRR950182	Leaf	B73	ET60	2	159541384	152017398	5198311	893781	1431894	142095181	10617691	5396618	129123135	17582294	6232049	1569677	9108392
SRR950183	Leaf	B73	ET66	1	168659865	154687820	9607723	1225011	3139311	150726494	10408830	4385229	132090893	20744494	7686636	1768480	6459614
SRR950184	Leaf	B73	ET66	2	148831976	143448815	3619337	659385	1104439	134918440	8532903	4276194	123369235	16402325	6340709	1490573	6524121
SRR950185	Leaf	B73	ET72	1	192366142	185480586	4783526	1303375	798655	174794060	12137232	4636195	156409633	26587916	11035090	2059329	7966367
SRR950186	Leaf	B73	ET72	2	206333049	195951550	7407642	1819769	1154088	185349372	12865471	6964118	165079745	27564079	9971726	2089926	10644871
