# This file was produced by bcftools (1.9+htslib-1.9), the command line was:
# 	 bcftools gtcheck  -g /home/springer/zhoux379/projects/reseq/data/variants/11.vcf.gz -G 1 --homs-only -s s01 vnt.vcf.gz
# and the working directory was:
# 	 /panfs/roc/groups/15/springer/zhoux379/projects/rnaseq/data/11_qc/rn20j
#
# [1]CN	[2]Discordance with s01 (total)	[3]Discordance (avg score per site)	[4]Number of sites compared	[5]Sample	[6]Sample ID
CN	4.000210e+05	4.000210e+05	505627	dn18a#LH145	0
CN	3.804830e+05	3.646660e+05	527558	dn18a#LH74	1
CN	3.762020e+05	3.696473e+05	514593	dn18a#LH146Ht	2
CN	3.751830e+05	3.725811e+05	509158	dn18a#PHG39	3
CN	3.728550e+05	3.665594e+05	514311	dn18a#NKH8431	4
CN	3.699930e+05	3.722065e+05	502620	dn18a#PHKM5	5
CN	3.690150e+05	3.672132e+05	508108	dn18a#DKHBA1	6
CN	3.688120e+05	3.657328e+05	509884	dn18a#PHP38	7
CN	3.678260e+05	3.640767e+05	510834	dn18a#PHJ40	8
CN	3.676140e+05	3.648117e+05	509511	dn18a#LH123Ht	9
CN	3.661840e+05	3.645294e+05	507922	dn18a#Mo45	10
CN	3.656190e+05	3.659020e+05	505236	dn18a#PHK76	11
CN	3.649060e+05	3.615793e+05	510279	dn18a#LH93	12
CN	3.644670e+05	3.587393e+05	513700	dn18a#PHT11	13
CN	3.641580e+05	3.612799e+05	509655	dn18a#PHMK0	14
CN	3.641330e+05	3.621547e+05	508389	dn18a#NC230	15
CN	3.639370e+05	3.562156e+05	516587	dn18a#PHW52	16
CN	3.638700e+05	3.630694e+05	506742	dn18a#LH156	17
CN	3.637050e+05	3.622571e+05	507648	dn18a#PHG47	18
CN	3.635790e+05	3.620125e+05	507815	dn18a#PHW65	19
CN	3.635400e+05	3.620763e+05	507671	dn18a#W604S	20
CN	3.632580e+05	3.606347e+05	509305	dn18a#Oh43	21
CN	3.630310e+05	3.624876e+05	506385	dn18a#AS5707	22
CN	3.629120e+05	3.527575e+05	520182	dn18a#B84	23
CN	3.627730e+05	3.618912e+05	506859	dn18a#MoG	24
CN	3.626820e+05	3.611101e+05	507828	dn18a#Mo17	25
CN	3.621140e+05	3.398174e+05	538803	dn18a#LH198	26
CN	3.618050e+05	3.599930e+05	508172	dn18a#LH82	27
CN	3.617980e+05	3.618517e+05	505552	dn18a#LH185	28
CN	3.617790e+05	3.619888e+05	505334	dn18a#CR1Ht	29
CN	3.616410e+05	3.611360e+05	506334	dn18a#Mo44	30
CN	3.615200e+05	3.598490e+05	507975	dn18a#PHG50	31
CN	3.613530e+05	3.595978e+05	508095	dn18a#LH85	32
CN	3.613220e+05	3.616818e+05	505124	dn18a#W182Ngt	33
CN	3.612690e+05	3.602622e+05	507040	dn18a#PHV78	34
CN	3.610930e+05	3.610173e+05	505733	dn18a#SCRO1	35
CN	3.610700e+05	3.616816e+05	504772	dn18a#PHN46	36
CN	3.610580e+05	3.612588e+05	505346	dn18a#PHP02	37
CN	3.609870e+05	3.572256e+05	510951	dn18a#PHB47	38
CN	3.609490e+05	3.612577e+05	505195	dn18a#W606S	39
CN	3.607550e+05	3.584799e+05	508836	dn18a#PHG29	40
CN	3.606770e+05	3.623979e+05	503226	dn18a#PHJ89	41
CN	3.606540e+05	3.609353e+05	505233	dn18a#W37A	42
CN	3.604210e+05	3.636814e+05	501094	dn18a#PHAA0	43
CN	3.601010e+05	3.610693e+05	504271	dn15a#HP301	44
CN	3.598100e+05	3.594588e+05	506121	dn18a#PH207	45
CN	3.596570e+05	3.597011e+05	505565	dn18a#PHK46	46
CN	3.593280e+05	3.579511e+05	507572	dn18a#PHN11	47
CN	3.590540e+05	3.604298e+05	503697	dn18a#A188	48
CN	3.589870e+05	3.604677e+05	503550	dn18a#LH59	49
CN	3.588200e+05	3.612765e+05	502189	dn15a#H99	50
CN	3.588170e+05	3.263614e+05	555910	dn19a#B73	51
CN	3.586710e+05	3.605980e+05	502925	dn18a#NP899	52
CN	3.586600e+05	3.595068e+05	504436	dn18a#LH168	53
CN	3.583500e+05	3.637937e+05	498061	dn17a#Ms71	54
CN	3.580720e+05	3.605083e+05	502210	dn18a#W605S	55
CN	3.580020e+05	3.615530e+05	500661	dn18a#PHK56	56
CN	3.579850e+05	3.630186e+05	498616	dn17a#B97	57
CN	3.570890e+05	3.354373e+05	538264	dn18a#LH200	58
CN	3.568980e+05	3.620456e+05	498438	dn17b#M37W	59
CN	3.566490e+05	3.611720e+05	499295	dn18a#PHR03	60
CN	3.552390e+05	3.310390e+05	542590	dn18a#PHG83	61
CN	3.545880e+05	3.616322e+05	495778	dn17b#CML69	62
CN	3.539220e+05	3.630900e+05	492860	dn17b#CML103	63
CN	3.538780e+05	3.604558e+05	496400	dn19a#CML228	64
CN	3.532610e+05	3.610091e+05	494775	dn14a#F353	65
CN	3.527100e+05	3.638598e+05	490133	dn17b#W22	66
CN	3.525390e+05	3.609439e+05	493853	dn17b#KI3	67
CN	3.525290e+05	3.708659e+05	480627	dn17a#OH7B	68
CN	3.507500e+05	3.607339e+05	491633	dn14a#F283	69
CN	3.504710e+05	3.387274e+05	523157	dn18a#FBLL	70
CN	3.498340e+05	3.619148e+05	488749	dn18a#PHG35	71
CN	3.462440e+05	3.722445e+05	470310	dn18a#PHG72	72
CN	3.445480e+05	3.606233e+05	483088	dn17b#CML52	73
CN	3.436420e+05	3.634153e+05	478116	dn17b#CML333	74
CN	3.411360e+05	3.628743e+05	475337	dn17a#Tx303	75
CN	3.406700e+05	3.620777e+05	475732	dn17b#CML277	76
CN	3.398070e+05	3.611347e+05	475766	dn17b#MO18W	77
CN	3.395400e+05	3.637586e+05	471963	dn17b#Ky21	78
CN	3.379640e+05	3.632323e+05	470453	dn12a#W64A	79
CN	3.368790e+05	3.621024e+05	470406	dn17b#M162W	80
CN	3.349620e+05	3.631156e+05	466424	dn14a#DK105	81
CN	3.345040e+05	3.641556e+05	464456	dn14a#UH007	82
CN	3.300500e+05	3.613976e+05	461769	dn17b#Ki11	83
CN	3.291310e+05	3.620606e+05	459640	dn17a#Il14H	84
CN	3.284220e+05	3.618782e+05	458881	dn17b#NC350	85
CN	3.277670e+05	3.566241e+05	464713	dn17a#B37	86
CN	3.261150e+05	3.637467e+05	453317	dn14a#F2	87
CN	3.252100e+05	3.612375e+05	455199	dn17b#CML247	88
CN	3.241950e+05	3.620092e+05	452811	dn14a#EP1	89
CN	3.235350e+05	3.789497e+05	431688	dn14a#EC169	90
CN	3.230480e+05	3.619193e+05	451321	dn14a#F7	91
CN	3.225440e+05	3.637281e+05	448376	dn17b#CML322	92
CN	3.218470e+05	3.619814e+05	449566	dn17b#Tzi8	93
CN	3.204100e+05	3.614667e+05	448196	dn17b#P39	94
CN	3.187020e+05	3.644744e+05	442128	dn14a#F03802	95
CN	3.144400e+05	3.750173e+05	423952	dn14a#D09	96
CN	3.117490e+05	3.619829e+05	435459	dn14a#F252	97
CN	3.105940e+05	3.598303e+05	436441	dn17a#NC358	98
CN	3.093790e+05	3.646906e+05	428940	dn14a#CH10	99
CN	3.081430e+05	3.645228e+05	427423	dn14a#UH006	100
CN	3.047640e+05	3.577999e+05	430679	dn17a#H84	101
CN	3.029290e+05	3.671376e+05	417198	dn14a#W117	102
CN	3.019510e+05	3.636408e+05	419850	dn14a#UH009	103
CN	3.003020e+05	3.633207e+05	417925	dn14a#EP44	104
CN	2.999890e+05	3.626556e+05	418255	dn14a#EC49A	105
CN	2.996090e+05	3.724255e+05	406767	dn14a#UH250	106
CN	2.971570e+05	3.649916e+05	411655	dn14a#D152	107
CN	2.958220e+05	3.633121e+05	411700	dn14a#Lo11	108
CN	2.954590e+05	3.804519e+05	392670	dn14a#D06	109
CN	2.943020e+05	3.628803e+05	410072	dn14a#EZ5	110
CN	2.942210e+05	3.646415e+05	407979	dn14a#FF0721H-7	111
CN	2.932610e+05	3.653223e+05	405890	dn14a#F64	112
CN	2.905320e+05	3.633533e+05	404292	dn14a#F618	113
CN	2.885140e+05	3.639160e+05	400863	dn14a#UH304	114
CN	2.827480e+05	3.601860e+05	396920	dn17a#A682	115
CN	2.806000e+05	3.502812e+05	405043	dn14a#F98902	116
CN	2.403920e+05	3.581176e+05	339410	dn14a#Teosinte	117
CN	2.147210e+05	3.427487e+05	316759	dn18a#3IIH6	118
