# This file was produced by bcftools (1.9+htslib-1.9), the command line was:
# 	 bcftools gtcheck  -g /home/springer/zhoux379/projects/reseq/data/variants/11.vcf.gz -G 1 --homs-only -s s08 vnt.vcf.gz
# and the working directory was:
# 	 /panfs/roc/groups/15/springer/zhoux379/projects/rnaseq/data/11_qc/rn20j
#
# [1]CN	[2]Discordance with s08 (total)	[3]Discordance (avg score per site)	[4]Number of sites compared	[5]Sample	[6]Sample ID
CN	3.273450e+05	4.014285e+05	453317	dn14a#F2	88
CN	3.270360e+05	4.043958e+05	449566	dn17b#Tzi8	89
CN	3.269610e+05	4.027308e+05	451321	dn14a#F7	90
CN	3.269400e+05	4.013799e+05	452811	dn14a#EP1	91
CN	3.247090e+05	4.025839e+05	448376	dn17b#CML322	92
CN	3.245140e+05	4.025038e+05	448196	dn17b#P39	93
CN	3.196580e+05	4.019222e+05	442128	dn14a#F03802	94
CN	3.174390e+05	4.043330e+05	436441	dn17a#NC358	95
CN	3.170460e+05	4.047431e+05	435459	dn14a#F252	96
CN	3.168700e+05	4.090081e+05	430679	dn17a#H84	97
CN	3.115680e+05	4.276182e+05	405043	dn14a#F98902	98
CN	3.105130e+05	3.998658e+05	431688	dn14a#EC169	99
CN	3.095080e+05	4.011251e+05	428940	dn14a#CH10	100
CN	3.092490e+05	4.022119e+05	427423	dn14a#UH006	101
CN	3.050340e+05	4.038858e+05	419850	dn14a#UH009	102
CN	3.041530e+05	4.045743e+05	417925	dn14a#EP44	103
CN	3.039870e+05	3.986051e+05	423952	dn14a#D09	104
CN	3.036870e+05	4.046583e+05	417198	dn14a#W117	105
CN	3.033510e+05	4.031891e+05	418255	dn14a#EC49A	106
CN	2.996950e+05	4.062785e+05	410072	dn14a#EZ5	107
CN	2.993840e+05	4.042962e+05	411655	dn14a#D152	108
CN	2.986470e+05	4.106459e+05	404292	dn14a#F618	109
CN	2.982820e+05	4.027640e+05	411700	dn14a#Lo11	110
CN	2.955030e+05	4.026508e+05	407979	dn14a#FF0721H-7	111
CN	2.950000e+05	4.040342e+05	405890	dn14a#F64	112
CN	2.948880e+05	4.030100e+05	406767	dn14a#UH250	113
CN	2.933470e+05	4.068086e+05	400863	dn14a#UH304	114
CN	2.904910e+05	4.068499e+05	396920	dn17a#A682	115
CN	2.784530e+05	3.942109e+05	392670	dn14a#D06	116
CN	2.490380e+05	4.370601e+05	316759	dn18a#3IIH6	117
CN	2.457060e+05	4.024349e+05	339410	dn14a#Teosinte	118
