# This file was produced by bcftools (1.9+htslib-1.9), the command line was:
# 	 bcftools gtcheck  -g /home/springer/zhoux379/projects/reseq/data/variants/11.vcf.gz -G 1 --homs-only -s s07 vnt.vcf.gz
# and the working directory was:
# 	 /panfs/roc/groups/15/springer/zhoux379/projects/rnaseq/data/11_qc/rn20j
#
# [1]CN	[2]Discordance with s07 (total)	[3]Discordance (avg score per site)	[4]Number of sites compared	[5]Sample	[6]Sample ID
CN	4.527930e+05	4.527930e+05	555910	dn19a#B73	0
CN	4.339600e+05	4.446133e+05	542590	dn18a#PHG83	1
CN	4.255820e+05	4.395339e+05	538264	dn18a#LH200	2
CN	4.255210e+05	4.390313e+05	538803	dn18a#LH198	3
CN	4.097750e+05	4.354296e+05	523157	dn18a#FBLL	4
CN	3.928590e+05	4.139720e+05	527558	dn18a#LH74	5
CN	3.906250e+05	4.174546e+05	520182	dn18a#B84	6
CN	3.824390e+05	4.115506e+05	516587	dn18a#PHW52	7
CN	3.768550e+05	4.078206e+05	513700	dn18a#PHT11	8
CN	3.737750e+05	4.037856e+05	514593	dn18a#LH146Ht	9
CN	3.715570e+05	4.042506e+05	510951	dn18a#PHB47	10
CN	3.713040e+05	4.050026e+05	509655	dn18a#PHMK0	11
CN	3.706010e+05	4.005763e+05	514311	dn18a#NKH8431	12
CN	3.674820e+05	3.999086e+05	510834	dn18a#PHJ40	13
CN	3.673780e+05	4.009957e+05	509305	dn18a#Oh43	14
CN	3.669960e+05	4.013005e+05	508389	dn18a#NC230	15
CN	3.666430e+05	4.005623e+05	508836	dn18a#PHG29	16
CN	3.665260e+05	4.014317e+05	507572	dn18a#PHN11	17
CN	3.662500e+05	4.009272e+05	507828	dn18a#Mo17	18
CN	3.662190e+05	4.006218e+05	508172	dn18a#LH82	19
CN	3.657830e+05	3.990933e+05	509511	dn18a#LH123Ht	20
CN	3.656410e+05	4.016105e+05	506121	dn18a#PH207	21
CN	3.653190e+05	3.997923e+05	507975	dn18a#PHG50	22
CN	3.652700e+05	3.979338e+05	510279	dn18a#LH93	23
CN	3.647240e+05	3.998772e+05	507040	dn18a#PHV78	24
CN	3.647080e+05	3.976293e+05	509884	dn18a#PHP38	25
CN	3.644220e+05	4.010052e+05	505195	dn18a#W606S	26
CN	3.643690e+05	4.000450e+05	506334	dn18a#Mo44	27
CN	3.642650e+05	3.996088e+05	506742	dn18a#LH156	28
CN	3.642540e+05	4.005270e+05	505565	dn18a#PHK46	29
CN	3.640730e+05	4.005015e+05	505346	dn18a#PHP02	30
CN	3.640440e+05	4.001631e+05	505733	dn18a#SCRO1	31
CN	3.640340e+05	3.986246e+05	507671	dn18a#W604S	32
CN	3.637490e+05	3.979801e+05	508095	dn18a#LH85	33
CN	3.636760e+05	4.009176e+05	504271	dn15a#HP301	34
CN	3.635510e+05	3.999367e+05	505334	dn18a#CR1Ht	35
CN	3.634560e+05	4.012488e+05	503550	dn18a#LH59	36
CN	3.634150e+05	3.996147e+05	505552	dn18a#LH185	37
CN	3.631690e+05	3.983145e+05	506859	dn18a#MoG	38
CN	3.626830e+05	3.981538e+05	506385	dn18a#AS5707	39
CN	3.626230e+05	3.970975e+05	507648	dn18a#PHG47	40
CN	3.625320e+05	3.992598e+05	504772	dn18a#PHN46	41
CN	3.625160e+05	3.988779e+05	505233	dn18a#W37A	42
CN	3.624670e+05	4.012414e+05	502189	dn15a#H99	43
CN	3.621170e+05	3.964130e+05	507815	dn18a#PHW65	44
CN	3.620380e+05	3.989813e+05	504436	dn18a#LH168	45
CN	3.619570e+05	3.983488e+05	505124	dn18a#W182Ngt	46
CN	3.618790e+05	4.014659e+05	501094	dn18a#PHAA0	47
CN	3.618780e+05	3.993901e+05	503697	dn18a#A188	48
CN	3.616710e+05	3.958413e+05	507922	dn18a#Mo45	49
CN	3.615350e+05	3.996240e+05	502925	dn18a#NP899	50
CN	3.607880e+05	3.985598e+05	503226	dn18a#PHJ89	51
CN	3.606760e+05	4.015730e+05	499295	dn18a#PHR03	52
