SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
s01		M14	control	1	PE	18334627	200
s02		M14	cold	1	PE	18748802	200
s03		M16	control	1	PE	32192321	200
s04		M16	cold	1	PE	32361228	200
s05		M17	control	1	PE	24921861	200
s06		M17	cold	1	PE	22224011	200
s07		M18	control	1	PE	20750632	200
s08		M18	cold	1	PE	18217346	200
s09		M21	control	1	PE	18162322	200
s10		M21	cold	1	PE	22015369	200
s11		M24	control	1	PE	18948247	200
s12		M24	cold	1	PE	17669572	200
s13		M25	control	1	PE	15242288	200
s14		M25	cold	1	PE	21629469	200
s15		M29	control	1	PE	19111019	200
s16		M29	cold	1	PE	18782024	200
s17		M30	control	1	PE	26613957	200
s18		M30	cold	1	PE	20637142	200
s19		M32	control	1	PE	41048569	200
s20		M32	cold	1	PE	22420540	200
s21		M34	control	1	PE	19538364	200
s22		M34	cold	1	PE	25429826	200
s23		M37	control	1	PE	19411966	200
s24		M37	cold	1	PE	15581125	200
s25		M39	control	1	PE	29297852	200
s26		M39	cold	1	PE	24495824	200
s27		M43	control	1	PE	21174926	200
s28		M43	cold	1	PE	24272374	200
s29		M42	control	1	PE	19162087	200
s30		M42	cold	1	PE	14961435	200
s31		M45	control	1	PE	24230189	200
s32		M45	cold	1	PE	16790062	200
