SampleID	sid	Tissue	Genotype	Treatment	Replicate
mec03_1	me10a	leaf_base	B73	NA	NA
mec03_2	me10a	leaf_-1cm	B73	NA	NA
mec03_3	me10a	leaf_4cm	B73	NA	NA
mec03_4	me10a	leaf_tip	B73	NA	NA
mec03_5	me10a	leaf_mesophyll	B73	NA	NA
mec03_6	me10a	leaf_bundle-sheath	B73	NA	NA
mec03_7	me11a	cob_pre-emerg	B73	NA	NA
mec03_8	me11a	leaf_20d_field	B73	NA	NA
mec03_9	me11a	tassel_pre-emerg	B73	NA	NA
mec03_10	me11a	cob_post-emerg	B73	NA	NA
mec03_11	me11a	endosperm_25DAP	B73	NA	NA
mec03_12	me11a	anther	B73	NA	NA
mec03_13	me11a	ovule	B73	NA	NA
mec03_14	me11a	pollen	B73	NA	NA
mec03_15	me11a	silk	B73	NA	NA
mec03_16	me11a	seed_10DAP	B73	NA	NA
mec03_17	me11a	leaf_20d_gc	B73	NA	NA
mec03_18	me11a	tassel_post-emerg	B73	NA	NA
mec03_19	me11a	seed_5DAP	B73	NA	NA
mec03_20	me11a	embryo_25DAP	B73	NA	NA
mec03_21	me12a	leaf	B73	WT	NA
mec03_22	me12a	tassels	B73	WT	NA
mec03_23	me12a	ears	B73	WT	NA
mec03_24	me12a	SAM	B73	WT	NA
mec03_25	me13b	Leaf	B73	T00	NA
mec03_26	me13b	Leaf	B73	T06	NA
mec03_27	me13b	Leaf	B73	T12	NA
mec03_28	me13b	Leaf	B73	T18	NA
mec03_29	me13b	Leaf	B73	T24	NA
mec03_30	me13b	Leaf	B73	T30	NA
mec03_31	me13b	Leaf	B73	T36	NA
mec03_32	me13b	Leaf	B73	T42	NA
mec03_33	me13b	Leaf	B73	T48	NA
mec03_34	me13b	Leaf	B73	T54	NA
mec03_35	me13b	Leaf	B73	T60	NA
mec03_36	me13b	Leaf	B73	T66	NA
mec03_37	me13b	Leaf	B73	T72	NA
mec03_38	me15b	Leaf	B73	T084	NA
mec03_39	me15b	Leaf	B73	T096	NA
mec03_40	me15b	Leaf	B73	T108	NA
mec03_41	me15b	Leaf	B73	T120	NA
mec03_42	me15b	Leaf	B73	T132	NA
mec03_43	me15b	Leaf	B73	T144	NA
