Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_Nonjunction	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRR650995	24821690	22902703	34158	0	0	0	0	0	0	0	1553111	0	331718	92.26891077924186
SRR650996	23770271	21840316	35013	0	0	0	0	0	0	0	1579611	0	315331	91.88080354658136
SRR650997	21488795	19788953	33080	0	0	0	0	0	0	0	1385685	0	281077	92.08963555192369
SRR650998	24762761	22856992	37838	0	0	0	0	0	0	0	1542490	0	325441	92.3038913148659
SRR650999	23727097	21823144	35425	0	0	0	0	0	0	0	1546412	0	322116	91.97561758187274
SRR651000	22290037	20530633	61282	0	0	0	0	0	0	0	1405335	0	292787	92.10676949526822
SRR651001	30444219	27988196	45945	0	0	0	0	0	0	0	2009401	0	400677	91.93271142872807
SRR651002	29467816	27183550	48176	0	0	0	0	0	0	0	1839421	0	396669	92.2482684159559
SRR651003	26348598	24360318	39793	0	0	0	0	0	0	0	1605902	0	342585	92.45394384930842
SRR651004	17920587	16503508	27659	0	0	0	0	0	0	0	1143677	0	245743	92.09245210550301
SRR651005	15394859	14245435	24951	0	0	0	0	0	0	0	921636	0	202837	92.53371531366412
SRR651006	27403161	25335471	42567	0	0	0	0	0	0	0	1665133	0	359990	92.45455661118804
SRR651007	23370818	21571619	35051	0	0	0	0	0	0	0	1456132	0	308016	92.30151464959421
SRR651008	23706427	21931145	36095	0	0	0	0	0	0	0	1428092	0	311095	92.51138942194873
SRR651009	25439219	23472960	37076	0	0	0	0	0	0	0	1603115	0	326068	92.27075721153231
SRR651010	23573725	21765616	50258	0	0	0	0	0	0	0	1456711	0	301140	92.32998179116792
