Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR650984	25514335.0	92.0	25049479.0	98.18	92.02	6668125.0	6465626.0	6593175.0	70705.0	1242.0	3003.0	0.33	0.03	2.75	0.02	2.1	421238.0	1.65	3109.0	0.01	0.0	0.16	0.0	0	40509	0
SRR650985	23323430.0	92.0	22912187.0	98.24	92.04	6030789.0	5845536.0	5963497.0	63410.0	1071.0	2811.0	0.31	0.02	2.61	0.02	2.07	373986.0	1.6	2024.0	0.01	0.0	0.15	0.0	0	35233	0
SRR650986	25445438.0	92.0	25004020.0	98.27	92.17	6572349.0	6370681.0	6499161.0	69666.0	1211.0	2311.0	0.29	0.02	2.69	0.01	2.0	402464.0	1.58	3165.0	0.01	0.0	0.14	0.0	0	35789	0
SRR650987	27248140.0	92.0	26775077.0	98.26	92.19	6986004.0	6772349.0	6907621.0	74322.0	1284.0	2777.0	0.3	0.02	2.61	0.02	2.02	430845.0	1.58	2755.0	0.01	0.0	0.14	0.0	0	39463	0
SRR650988	30453938.0	93.0	29931980.0	98.29	93.51	7892204.0	7647413.0	7804815.0	82594.0	1468.0	3327.0	0.28	0.02	2.71	0.02	2.03	474183.0	1.56	3421.0	0.01	0.0	0.14	0.0	0	44354	0
SRR650989	15093890.0	91.0	14826805.0	98.23	91.08	3660608.0	3543112.0	3619285.0	38929.0	604.0	1790.0	0.34	0.02	2.61	0.02	2.11	240835.0	1.6	1901.0	0.01	0.0	0.16	0.0	0	24349	0
SRR650990	23412429.0	93.0	23029549.0	98.36	93.33	6143927.0	5961541.0	6076632.0	63760.0	1124.0	2411.0	0.28	0.02	2.65	0.01	1.96	347982.0	1.49	2860.0	0.01	0.0	0.14	0.0	0	32038	0
SRR650991	23707325.0	94.0	23301331.0	98.29	94.12	6418617.0	6228099.0	6345914.0	68928.0	1311.0	2464.0	0.29	0.02	2.66	0.02	2.05	368831.0	1.56	3541.0	0.01	0.0	0.14	0.0	0	33622	0
SRR650992	27308728.0	93.0	26862185.0	98.36	93.51	7001816.0	6778267.0	6924789.0	73450.0	1135.0	2442.0	0.25	0.02	2.47	0.01	1.95	408064.0	1.49	2615.0	0.01	0.0	0.13	0.0	0	35864	0
SRR650993	24731043.0	92.0	24295896.0	98.24	92.21	6322750.0	6128776.0	6252610.0	65989.0	1292.0	2859.0	0.3	0.02	2.71	0.02	2.1	394349.0	1.59	3209.0	0.01	0.0	0.15	0.0	0	37589	0
SRR650994	22622791.0	93.0	22227584.0	98.25	93.45	5899840.0	5717956.0	5833147.0	62856.0	1035.0	2802.0	0.32	0.02	2.73	0.02	2.11	359417.0	1.59	2171.0	0.01	0.0	0.15	0.0	0	33619	0
SRR650995	25202346.0	92.0	24787532.0	98.35	92.33	6489629.0	6291155.0	6418856.0	67417.0	1118.0	2238.0	0.24	0.02	2.58	0.01	1.83	380656.0	1.51	1873.0	0.01	0.0	0.13	0.0	0	32285	0
SRR650996	24147788.0	92.0	23735258.0	98.29	92.49	6183995.0	5991863.0	6113381.0	66495.0	1095.0	3024.0	0.28	0.02	2.66	0.02	2.04	377517.0	1.56	2307.0	0.01	0.0	0.13	0.0	0	32706	0
