Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR611289	34783954.0	92.0	31936748.0	91.81	92.81	11421559.0	11041120.0	11252691.0	145686.0	10416.0	12766.0	0.31	0.02	2.62	0.02	1.97	1991529.0	5.73	317051.0	0.91	0.0	1.35	0.2	0	469126	69500
SRR611290	35349902.0	96.0	32600108.0	92.22	96.92	12087525.0	11673087.0	11906052.0	153177.0	10707.0	17589.0	0.36	0.03	2.67	0.02	2.11	1992384.0	5.64	284349.0	0.8	0.0	1.17	0.17	0	413046	60015
SRR611291	32854317.0	94.0	30280032.0	92.16	94.32	10755804.0	10384492.0	10597991.0	137222.0	9427.0	11164.0	0.25	0.02	2.51	0.01	1.94	1752550.0	5.33	398980.0	1.21	0.0	1.07	0.22	0	350657	72098
SRR611292	27790931.0	96.0	25184535.0	90.62	96.99	9451282.0	9129123.0	9308679.0	120023.0	8696.0	13884.0	0.38	0.03	2.74	0.02	2.11	1543347.0	5.55	427038.0	1.54	0.0	2.03	0.26	0	563800	72211
SRR611293	29069292.0	92.0	26791464.0	92.16	92.27	9472276.0	9154600.0	9334702.0	118995.0	8356.0	10223.0	0.3	0.02	2.53	0.02	1.94	1677790.0	5.77	247681.0	0.85	0.0	1.0	0.22	0	288817	63540
SRR611294	18345881.0	99.0	17036601.0	92.86	99.66	6492154.0	6270008.0	6394999.0	82033.0	6361.0	8761.0	0.34	0.03	2.77	0.02	2.16	981888.0	5.35	110990.0	0.6	0.0	1.03	0.14	0	190508	25894
SRR611295	35075501.0	92.0	32135293.0	91.62	92.04	11114928.0	10740592.0	10947056.0	140581.0	10349.0	16942.0	0.39	0.03	2.56	0.02	2.09	2068290.0	5.9	230258.0	0.66	0.0	1.65	0.18	0	578546	63114
SRR611296	35613620.0	92.0	32703694.0	91.83	92.29	11318132.0	10939895.0	11148793.0	143406.0	9846.0	16087.0	0.35	0.03	2.54	0.02	2.02	2002843.0	5.62	295856.0	0.83	0.0	1.52	0.2	0	540154	71073
SRR611297	28502146.0	94.0	26235408.0	92.05	94.58	9338004.0	9014631.0	9197062.0	120046.0	8131.0	12765.0	0.34	0.03	2.65	0.02	2.03	1596015.0	5.6	244699.0	0.86	0.0	1.3	0.2	0	369221	56803
SRR611298	32707013.0	92.0	30221437.0	92.4	92.41	10898738.0	10549149.0	10739648.0	137227.0	9861.0	12002.0	0.32	0.02	2.61	0.02	1.93	1867523.0	5.71	238193.0	0.73	0.0	0.98	0.18	0	320916	58944
SRR611299	28121321.0	94.0	25755614.0	91.59	94.47	9279824.0	8960912.0	9139994.0	117546.0	8216.0	14068.0	0.4	0.03	2.68	0.02	2.14	1590933.0	5.66	312778.0	1.11	0.0	1.42	0.22	0	400021	61975
SRR611300	29574490.0	96.0	27224114.0	92.05	96.98	10225067.0	9879986.0	10072867.0	129552.0	9346.0	13302.0	0.33	0.03	2.65	0.02	2.06	1616591.0	5.47	257102.0	0.87	0.0	1.44	0.17	0	426350	50333
SRR611301	31734294.0	96.0	28938889.0	91.19	97.0	10749360.0	10385469.0	10591814.0	135537.0	9754.0	12255.0	0.27	0.02	2.53	0.02	2.04	1677787.0	5.29	661283.0	2.08	0.0	1.11	0.33	0	351758	104577
SRR611302	38274619.0	92.0	35294867.0	92.21	92.42	12411950.0	11995628.0	12229581.0	157204.0	10628.0	14537.0	0.32	0.03	2.57	0.02	2.0	2203738.0	5.76	287277.0	0.75	0.0	1.09	0.18	0	419467	69270
SRR611303	32403618.0	94.0	29727621.0	91.74	94.0	10655848.0	10300708.0	10494433.0	136269.0	10238.0	14908.0	0.35	0.03	2.6	0.02	2.08	1828697.0	5.64	338208.0	1.04	0.0	1.35	0.22	0	437754	71338
SRR611304	33043146.0	93.0	30184387.0	91.35	93.88	10603750.0	10246862.0	10447186.0	134616.0	8992.0	12956.0	0.32	0.03	2.62	0.02	2.01	1761523.0	5.33	341356.0	1.03	0.0	2.09	0.19	0	692890	62990
SRR611305	31087316.0	93.0	27071743.0	87.08	93.97	9468980.0	9143276.0	9328655.0	120153.0	8010.0	12162.0	0.31	0.03	2.63	0.02	2.02	1711967.0	5.51	1470822.0	4.73	0.0	1.93	0.75	0	599729	233055
SRR611306	18757247.0	97.0	15417161.0	82.19	97.81	5761976.0	5558910.0	5675618.0	74063.0	5170.0	7125.0	0.35	0.03	2.7	0.02	2.11	1015540.0	5.41	1819935.0	9.7	0.0	1.5	1.19	0	281382	223229
SRR611307	37912884.0	92.0	34837524.0	91.89	92.56	12336396.0	11927255.0	12158027.0	155640.0	10204.0	12525.0	0.29	0.02	2.6	0.02	1.94	2171624.0	5.73	386013.0	1.02	0.0	1.14	0.23	0	430806	86917
SRR611308	33089463.0	92.0	30209989.0	91.3	92.54	10795691.0	10437514.0	10633365.0	136758.0	9713.0	15855.0	0.4	0.04	2.69	0.03	2.07	1949764.0	5.89	361549.0	1.09	0.0	1.47	0.25	0	485579	82582
SRR611309	29849374.0	92.0	27457391.0	91.99	92.54	9704252.0	9380348.0	9558206.0	122163.0	9058.0	14825.0	0.37	0.03	2.58	0.02	2.06	1713424.0	5.74	246398.0	0.83	0.0	1.26	0.18	0	378141	54020
SRR611310	32653973.0	92.0	29926674.0	91.65	92.69	10588459.0	10236743.0	10432427.0	134138.0	9365.0	12529.0	0.34	0.03	2.65	0.02	2.01	1883040.0	5.77	350725.0	1.07	0.0	1.27	0.24	0	415092	78442
SRR611311	39047447.0	94.0	35836125.0	91.78	94.0	12710480.0	12283100.0	12523275.0	159979.0	11653.0	15573.0	0.34	0.03	2.72	0.02	2.03	2210016.0	5.66	375685.0	0.96	0.0	1.39	0.21	0	543508	82113
SRR611312	19299037.0	91.0	17676656.0	91.59	91.59	5870988.0	5667788.0	5781169.0	76382.0	5221.0	8216.0	0.4	0.03	2.61	0.02	2.12	1117872.0	5.79	206012.0	1.07	0.0	1.32	0.23	0	254204	44293
SRR611313	29974709.0	93.0	27531837.0	91.85	93.84	9863990.0	9548087.0	9720022.0	123192.0	8788.0	11988.0	0.33	0.02	2.59	0.02	1.97	1592081.0	5.31	306530.0	1.02	0.0	1.62	0.19	0	487129	57132
SRR611314	30495971.0	94.0	27907962.0	91.51	94.56	10297504.0	9967650.0	10144247.0	130829.0	10119.0	12309.0	0.35	0.03	2.63	0.02	2.07	1744759.0	5.72	386054.0	1.27	0.0	1.26	0.24	0	384045	73151
SRR611315	34980218.0	93.0	31931733.0	91.29	94.01	11210386.0	10830561.0	11045695.0	141587.0	9806.0	13298.0	0.3	0.02	2.49	0.02	1.96	1931718.0	5.52	275952.0	0.79	0.0	2.22	0.18	0	777754	63061
SRR611316	31716544.0	92.0	29042317.0	91.57	92.74	10167915.0	9828361.0	10016368.0	128611.0	9006.0	13930.0	0.35	0.03	2.68	0.02	2.09	1812558.0	5.71	396349.0	1.25	0.0	1.22	0.25	0	386184	79136
SRR611317	29252390.0	93.0	26706169.0	91.3	93.92	9517514.0	9197721.0	9373844.0	121338.0	8463.0	13869.0	0.38	0.03	2.7	0.02	2.1	1628744.0	5.57	236030.0	0.81	0.0	2.15	0.18	0	628803	52644
SRR611318	31718045.0	92.0	29388640.0	92.66	92.85	10375909.0	10037957.0	10225937.0	130362.0	8997.0	10613.0	0.28	0.02	2.56	0.02	1.87	1758232.0	5.54	214319.0	0.68	0.0	0.96	0.16	0	305875	50979
SRR611319	30772707.0	93.0	28337639.0	92.09	93.01	9959460.0	9625221.0	9810277.0	127659.0	8925.0	12599.0	0.33	0.03	2.6	0.02	2.06	1757990.0	5.71	267024.0	0.87	0.0	1.13	0.2	0	348392	61662
SRR611320	27795780.0	92.0	25633275.0	92.22	92.86	8963281.0	8655454.0	8829951.0	114140.0	7620.0	11570.0	0.33	0.03	2.66	0.02	2.03	1583322.0	5.7	207940.0	0.75	0.0	1.16	0.17	0	323791	47452
SRR611321	32068050.0	92.0	29571500.0	92.21	92.81	10425448.0	10075172.0	10269670.0	131509.0	9468.0	14801.0	0.34	0.03	2.6	0.02	2.05	1822975.0	5.68	224930.0	0.7	0.0	1.23	0.16	0	397002	51643
SRR611322	30755422.0	92.0	28294465.0	92.0	92.81	9846266.0	9509761.0	9698983.0	125497.0	8463.0	13323.0	0.33	0.03	2.67	0.02	2.0	1759127.0	5.72	267030.0	0.87	0.0	1.21	0.21	0	370499	64301
SRR611323	31203846.0	97.0	26786690.0	85.84	97.25	10022966.0	9674382.0	9874480.0	127473.0	8832.0	12181.0	0.34	0.03	2.68	0.02	2.12	1654869.0	5.3	2053237.0	6.58	0.0	1.42	0.85	0	443547	265503
SRR611324	39221747.0	92.0	36215157.0	92.33	92.85	12650965.0	12219821.0	12463308.0	161379.0	10822.0	15456.0	0.3	0.02	2.57	0.02	2.03	2202383.0	5.62	278077.0	0.71	0.0	1.16	0.19	0	452082	74048
SRR611325	38617581.0	93.0	35162766.0	91.05	93.68	12628396.0	12194915.0	12439491.0	158877.0	10611.0	19417.0	0.35	0.03	2.57	0.02	2.05	2153734.0	5.58	372296.0	0.96	0.0	2.21	0.19	0	855256	73529
SRR611326	34671407.0	97.0	31852656.0	91.87	97.37	12001292.0	11595997.0	11823564.0	150329.0	10819.0	16580.0	0.36	0.03	2.7	0.02	2.08	1875490.0	5.41	277288.0	0.8	0.0	1.77	0.15	0	613944	52029
SRR611327	23238924.0	92.0	21413587.0	92.15	92.98	7505273.0	7245252.0	7390201.0	96109.0	6914.0	12049.0	0.35	0.03	2.71	0.02	2.1	1322352.0	5.69	160103.0	0.69	0.0	1.32	0.16	0	305814	37068
SRR611328	19915952.0	91.0	18308968.0	91.93	91.96	6183121.0	5969347.0	6088578.0	79976.0	5393.0	9174.0	0.37	0.03	2.69	0.02	2.13	1125415.0	5.65	191943.0	0.96	0.0	1.25	0.2	0	249678	39948
SRR611329	35543807.0	92.0	32788122.0	92.25	92.76	11792770.0	11406708.0	11619892.0	147465.0	10523.0	14890.0	0.34	0.03	2.69	0.02	2.03	2011610.0	5.66	260597.0	0.73	0.0	1.19	0.17	0	423043	60435
SRR611330	30258852.0	92.0	27922083.0	92.28	92.59	9911937.0	9582886.0	9763914.0	126788.0	9122.0	12113.0	0.32	0.03	2.62	0.02	1.98	1709670.0	5.65	206601.0	0.68	0.0	1.22	0.17	0	369070	51428
SRR611331	31161694.0	96.0	28642410.0	91.92	96.69	10671382.0	10315779.0	10512603.0	134614.0	10035.0	14130.0	0.35	0.03	2.71	0.02	2.09	1678466.0	5.39	259190.0	0.83	0.0	1.71	0.16	0	531863	49765
SRR611332	32926093.0	92.0	30339173.0	92.14	92.95	10942744.0	10577890.0	10782101.0	138555.0	9945.0	12143.0	0.29	0.02	2.59	0.02	1.95	1868952.0	5.68	273847.0	0.83	0.0	1.16	0.19	0	381615	62506
SRR611333	27046542.0	92.0	24668851.0	91.21	92.09	8423712.0	8139619.0	8298492.0	105338.0	7519.0	12363.0	0.39	0.03	2.62	0.02	2.05	1530756.0	5.66	348451.0	1.29	0.0	1.58	0.26	0	428046	70438
SRR611334	34842388.0	92.0	32065177.0	92.03	92.7	11259580.0	10887082.0	11093527.0	142600.0	9621.0	13832.0	0.36	0.03	2.56	0.02	2.02	1977515.0	5.68	297040.0	0.85	0.0	1.24	0.2	0	432843	69813
SRR611335	32362645.0	92.0	29785325.0	92.04	92.65	10572807.0	10223709.0	10418690.0	131273.0	9304.0	13540.0	0.31	0.02	2.58	0.02	2.0	1816068.0	5.61	301718.0	0.93	0.0	1.21	0.21	0	391575	67959
SRR611336	23215966.0	94.0	21310002.0	91.79	93.99	7677873.0	7418499.0	7562346.0	98066.0	6972.0	10489.0	0.38	0.03	2.73	0.02	2.12	1332415.0	5.74	226748.0	0.98	0.0	1.3	0.19	0	302578	44223
SRR611337	18899309.0	94.0	17487934.0	92.53	94.02	6189026.0	5986985.0	6099503.0	78027.0	5144.0	6352.0	0.26	0.02	2.61	0.02	1.94	987411.0	5.22	149405.0	0.79	0.0	1.29	0.17	0	242590	31969
SRR611338	28810098.0	92.0	26819660.0	93.09	92.78	9564007.0	9266131.0	9430795.0	120198.0	8393.0	4621.0	0.12	0.0	1.6	0.01	1.24	1499441.0	5.2	234817.0	0.82	0.0	0.71	0.18	0	204368	51812
SRR611339	31857617.0	96.0	29002650.0	91.04	96.54	10800517.0	10425935.0	10630769.0	135882.0	10125.0	23741.0	0.6	0.06	2.82	0.04	2.32	1940895.0	6.09	273491.0	0.86	0.0	1.82	0.19	0	580029	60552
SRR650904	21604947.0	96.0	21244269.0	98.33	96.36	5788880.0	5611904.0	5723031.0	62048.0	867.0	2934.0	0.27	0.02	2.61	0.02	2.06	329482.0	1.53	1750.0	0.01	0.0	0.14	0.0	0	29446	0
SRR650905	24788179.0	95.0	24368966.0	98.31	95.91	6466888.0	6258780.0	6394446.0	68531.0	1034.0	2877.0	0.29	0.02	2.7	0.02	2.13	381047.0	1.54	2131.0	0.01	0.0	0.14	0.0	0	36035	0
SRR650906	33144772.0	95.0	32562974.0	98.24	95.94	8888445.0	8614201.0	8789118.0	94046.0	1551.0	3730.0	0.3	0.02	2.8	0.02	2.06	532665.0	1.61	2561.0	0.01	0.0	0.14	0.0	0	46572	0
SRR650907	26276149.0	96.0	25822682.0	98.27	96.0	6996676.0	6777522.0	6919055.0	73185.0	1194.0	3242.0	0.31	0.02	2.77	0.02	2.15	412059.0	1.57	1815.0	0.01	0.0	0.15	0.0	0	39593	0
SRR650908	23741308.0	95.0	23315633.0	98.21	95.81	6263065.0	6061838.0	6192108.0	67073.0	1083.0	2801.0	0.3	0.02	2.67	0.02	2.13	388672.0	1.64	2230.0	0.01	0.0	0.15	0.0	0	34773	0
SRR650909	23166471.0	92.0	22831751.0	98.56	92.15	6011899.0	5831660.0	5946244.0	63655.0	946.0	1054.0	0.1	0.0	1.59	0.01	1.23	311209.0	1.34	2068.0	0.01	0.0	0.09	0.0	0	21443	0
SRR650910	23283719.0	95.0	22869119.0	98.22	95.99	6221641.0	6026627.0	6152500.0	65148.0	1036.0	2957.0	0.31	0.02	2.77	0.02	2.1	378655.0	1.63	1907.0	0.01	0.0	0.15	0.0	0	34038	0
SRR650911	22709788.0	96.0	22321306.0	98.29	96.43	6045665.0	5851519.0	5977871.0	63698.0	1056.0	3040.0	0.29	0.02	2.82	0.02	2.1	353148.0	1.56	2518.0	0.01	0.0	0.14	0.0	0	32816	0
SRR650912	22951519.0	99.0	22561404.0	98.3	99.35	6319879.0	6119781.0	6248168.0	67601.0	940.0	3170.0	0.34	0.02	2.76	0.02	2.15	356220.0	1.55	2367.0	0.01	0.0	0.14	0.0	0	31528	0
SRR650913	24841559.0	99.0	24423120.0	98.32	99.51	6834026.0	6612756.0	6757152.0	72501.0	1117.0	3256.0	0.32	0.02	2.72	0.02	2.09	382069.0	1.54	2608.0	0.01	0.0	0.13	0.0	0	33762	0
SRR650914	20899267.0	100.0	20557480.0	98.36	100.49	5744283.0	5559364.0	5679915.0	60889.0	894.0	2585.0	0.29	0.02	2.8	0.02	2.12	311507.0	1.49	2159.0	0.01	0.0	0.13	0.0	0	28121	0
SRR650915	23524017.0	100.0	23147727.0	98.4	100.39	6178320.0	5963718.0	6110073.0	64811.0	883.0	2553.0	0.28	0.02	2.82	0.02	2.05	342327.0	1.46	1542.0	0.01	0.0	0.14	0.0	0	32421	0
SRR650916	21135379.0	100.0	20773385.0	98.29	100.5	5675725.0	5496495.0	5611925.0	60102.0	887.0	2811.0	0.33	0.03	2.79	0.02	2.19	329542.0	1.56	2436.0	0.01	0.0	0.14	0.0	0	30016	0
SRR650917	22717541.0	100.0	22340105.0	98.34	100.16	6243506.0	6047970.0	6174836.0	65084.0	1047.0	2539.0	0.29	0.02	2.78	0.02	2.08	345335.0	1.52	2262.0	0.01	0.0	0.13	0.0	0	29839	0
SRR650918	21446668.0	100.0	21105336.0	98.41	100.07	5861318.0	5673888.0	5795231.0	62530.0	953.0	2604.0	0.26	0.02	2.79	0.01	2.01	312324.0	1.46	2080.0	0.01	0.0	0.12	0.0	0	26928	0
SRR650919	32001599.0	98.0	31453783.0	98.29	98.3	8483194.0	8149676.0	8393964.0	83518.0	1372.0	4340.0	0.31	0.03	3.01	0.02	2.17	491693.0	1.54	4484.0	0.01	0.0	0.16	0.0	0	51639	0
SRR650920	26571620.0	91.0	26119369.0	98.3	91.97	6887314.0	6673375.0	6810808.0	72432.0	1200.0	2874.0	0.26	0.02	2.6	0.02	1.95	413853.0	1.56	2411.0	0.01	0.0	0.13	0.0	0	35987	0
SRR650921	22086149.0	99.0	21715207.0	98.32	99.78	6059769.0	5870596.0	5991214.0	64904.0	994.0	2657.0	0.33	0.02	2.8	0.02	2.19	336663.0	1.52	2487.0	0.01	0.0	0.14	0.0	0	31792	0
SRR650922	22342437.0	99.0	21970655.0	98.34	99.84	6128803.0	5928738.0	6059099.0	66107.0	896.0	2701.0	0.3	0.02	2.62	0.02	2.09	338244.0	1.51	2887.0	0.01	0.0	0.14	0.0	0	30651	0
SRR650923	24876168.0	99.0	24456794.0	98.31	99.8	6846158.0	6628556.0	6770253.0	71487.0	1031.0	3387.0	0.3	0.02	2.75	0.02	2.1	382362.0	1.54	2849.0	0.01	0.0	0.14	0.0	0	34163	0
SRR650924	27312608.0	96.0	26860146.0	98.34	96.11	7373880.0	7144159.0	7291875.0	78156.0	1160.0	2689.0	0.25	0.02	2.57	0.01	1.91	413742.0	1.51	3719.0	0.01	0.0	0.13	0.0	0	35001	0
SRR650925	32322425.0	91.0	31740417.0	98.2	91.17	8350081.0	8095371.0	8256862.0	87720.0	1456.0	4043.0	0.32	0.02	2.72	0.02	2.13	527828.0	1.63	2982.0	0.01	0.0	0.16	0.0	0	51198	0
SRR650926	25722624.0	98.0	25290572.0	98.32	98.05	6907076.0	6696909.0	6828191.0	74475.0	1119.0	3291.0	0.31	0.02	2.77	0.02	2.1	392560.0	1.53	4871.0	0.02	0.0	0.13	0.0	0	34621	0
SRR650927	34041703.0	91.0	33424654.0	98.19	91.41	8864253.0	8591176.0	8763778.0	94619.0	1586.0	4270.0	0.31	0.02	2.7	0.02	2.12	559678.0	1.64	3180.0	0.01	0.0	0.16	0.0	0	54191	0
SRR650928	27895171.0	91.0	27436139.0	98.35	91.4	7115779.0	6900510.0	7036946.0	75081.0	1090.0	2662.0	0.21	0.01	2.57	0.01	1.92	420627.0	1.51	2087.0	0.01	0.0	0.13	0.0	0	36318	0
SRR650929	21486750.0	98.0	21116750.0	98.28	98.84	5843155.0	5656723.0	5777078.0	62143.0	948.0	2986.0	0.33	0.02	2.81	0.02	2.19	334559.0	1.56	3203.0	0.01	0.0	0.15	0.0	0	32238	0
SRR650930	19712536.0	98.0	19373089.0	98.28	98.68	5264029.0	5094528.0	5204350.0	56219.0	890.0	2570.0	0.33	0.02	2.75	0.02	2.16	307644.0	1.56	2122.0	0.01	0.0	0.15	0.0	0	29681	0
SRR650931	20816588.0	91.0	20447295.0	98.23	91.57	5181409.0	5021974.0	5123996.0	53885.0	921.0	2607.0	0.32	0.02	2.68	0.02	2.06	332875.0	1.6	3247.0	0.02	0.0	0.16	0.0	0	33171	0
SRR650932	20765715.0	99.0	20412618.0	98.3	99.29	5620342.0	5440059.0	5557400.0	59291.0	903.0	2748.0	0.29	0.02	2.73	0.02	2.12	322479.0	1.55	2416.0	0.01	0.0	0.13	0.0	0	28202	0
SRR650933	26398137.0	99.0	25947192.0	98.29	99.39	7207337.0	6978594.0	7128108.0	74665.0	1044.0	3520.0	0.3	0.03	2.74	0.02	2.19	412283.0	1.56	2312.0	0.01	0.0	0.14	0.0	0	36350	0
SRR650934	22965400.0	98.0	22573590.0	98.29	98.18	6301408.0	6105330.0	6231456.0	66009.0	1051.0	2892.0	0.3	0.02	2.83	0.02	2.12	358322.0	1.56	2158.0	0.01	0.0	0.14	0.0	0	31330	0
SRR650935	27301404.0	98.0	26851211.0	98.35	98.18	7396995.0	7169695.0	7316007.0	77123.0	1086.0	2779.0	0.24	0.02	2.78	0.01	1.98	412783.0	1.51	2275.0	0.01	0.0	0.13	0.0	0	35135	0
SRR650936	28079769.0	98.0	27605862.0	98.31	98.33	7656865.0	7415817.0	7571950.0	80426.0	1153.0	3336.0	0.27	0.02	2.72	0.02	2.02	433846.0	1.55	2159.0	0.01	0.0	0.13	0.0	0	37902	0
SRR650937	25492305.0	92.0	25060025.0	98.3	92.19	6743839.0	6543970.0	6668892.0	71426.0	1206.0	2315.0	0.27	0.02	2.61	0.02	1.97	394285.0	1.55	2360.0	0.01	0.0	0.14	0.0	0	35635	0
SRR650938	23807923.0	98.0	23421098.0	98.38	98.42	6516363.0	6314678.0	6445062.0	67987.0	1025.0	2289.0	0.24	0.02	2.71	0.01	2.01	354620.0	1.49	2188.0	0.01	0.0	0.13	0.0	0	30017	0
SRR650939	26047222.0	98.0	25622537.0	98.37	98.62	7176100.0	6953632.0	7097096.0	75062.0	1153.0	2789.0	0.25	0.02	2.71	0.01	2.0	389512.0	1.5	2264.0	0.01	0.0	0.13	0.0	0	32909	0
SRR650940	28942959.0	98.0	28445970.0	98.28	98.24	7853057.0	7605273.0	7764083.0	84086.0	1213.0	3675.0	0.29	0.02	2.81	0.02	2.13	456382.0	1.58	2353.0	0.01	0.0	0.13	0.0	0	38254	0
SRR650941	24836142.0	98.0	24426157.0	98.35	98.16	6751155.0	6539084.0	6675913.0	71363.0	1008.0	2871.0	0.27	0.02	2.7	0.02	2.08	376077.0	1.51	2499.0	0.01	0.0	0.13	0.0	0	31409	0
SRR650942	18391279.0	98.0	18090572.0	98.36	98.24	4985388.0	4830986.0	4929420.0	53074.0	784.0	2110.0	0.27	0.02	2.65	0.02	2.05	275169.0	1.5	1731.0	0.01	0.0	0.13	0.0	0	23807	0
SRR650943	29604413.0	98.0	29125908.0	98.38	98.22	8073487.0	7815804.0	7984442.0	84666.0	1255.0	3124.0	0.23	0.02	2.7	0.01	1.91	439597.0	1.48	2440.0	0.01	0.0	0.12	0.0	0	36468	0
SRR650944	23327558.0	98.0	22955603.0	98.41	98.27	6236891.0	6040784.0	6166035.0	67525.0	926.0	2405.0	0.23	0.02	2.63	0.01	1.96	339730.0	1.46	3058.0	0.01	0.0	0.12	0.0	0	29167	0
SRR650945	23210227.0	98.0	22794359.0	98.21	98.37	6428617.0	6224749.0	6356570.0	67612.0	1043.0	3392.0	0.34	0.03	2.86	0.02	2.2	378636.0	1.63	2644.0	0.01	0.0	0.15	0.0	0	34588	0
SRR650946	25270063.0	98.0	24862335.0	98.39	98.39	6926649.0	6711591.0	6848630.0	74633.0	1036.0	2350.0	0.22	0.02	2.63	0.01	2.03	375581.0	1.49	1620.0	0.01	0.0	0.12	0.0	0	30527	0
SRR650947	23332387.0	98.0	22938824.0	98.31	98.46	6418636.0	6224630.0	6345959.0	69027.0	1016.0	2634.0	0.27	0.02	2.67	0.02	2.04	360618.0	1.55	2012.0	0.01	0.0	0.13	0.0	0	30933	0
SRR650948	21062674.0	98.0	20698174.0	98.27	98.45	5697312.0	5514128.0	5633639.0	60002.0	965.0	2706.0	0.31	0.03	2.76	0.02	2.15	332215.0	1.58	1688.0	0.01	0.0	0.14	0.0	0	30597	0
SRR650949	24605343.0	98.0	24195391.0	98.33	98.56	6632335.0	6424299.0	6556883.0	71481.0	1172.0	2799.0	0.28	0.02	2.76	0.02	2.09	374687.0	1.52	1909.0	0.01	0.0	0.13	0.0	0	33356	0
SRR650950	28467395.0	92.0	27974385.0	98.27	92.05	7425077.0	7204288.0	7342483.0	78561.0	1159.0	2874.0	0.27	0.02	2.61	0.02	1.94	450344.0	1.58	2513.0	0.01	0.0	0.14	0.0	0	40153	0
SRR650951	21924668.0	92.0	21531442.0	98.21	92.27	5704631.0	5531516.0	5640992.0	59933.0	1067.0	2639.0	0.32	0.02	2.68	0.02	2.13	358259.0	1.63	1827.0	0.01	0.0	0.15	0.0	0	33140	0
SRR650952	24256596.0	96.0	23819215.0	98.2	95.98	6580683.0	6378464.0	6507919.0	68379.0	1062.0	3323.0	0.36	0.03	2.82	0.02	2.16	396805.0	1.64	2815.0	0.01	0.0	0.15	0.0	0	37761	0
SRR650953	32429550.0	92.0	31863699.0	98.26	92.28	8523871.0	8262928.0	8430324.0	89107.0	1570.0	2870.0	0.27	0.02	2.61	0.02	2.03	514621.0	1.59	3488.0	0.01	0.0	0.15	0.0	0	47742	0
SRR650954	29342211.0	96.0	28858530.0	98.35	96.43	7884035.0	7639607.0	7797587.0	81837.0	1229.0	3382.0	0.26	0.02	2.66	0.01	2.03	440980.0	1.5	3561.0	0.01	0.0	0.13	0.0	0	39140	0
SRR650955	28030356.0	92.0	27551696.0	98.29	92.1	7249484.0	7023995.0	7167338.0	77914.0	1386.0	2846.0	0.27	0.02	2.56	0.02	1.97	434891.0	1.55	3705.0	0.01	0.0	0.14	0.0	0	40064	0
SRR650956	16715157.0	91.0	16424444.0	98.26	91.38	4226494.0	4093345.0	4179187.0	44825.0	691.0	1791.0	0.29	0.02	2.7	0.02	2.11	265405.0	1.59	1640.0	0.01	0.0	0.14	0.0	0	23668	0
SRR650957	23357033.0	92.0	22968694.0	98.34	92.2	6038903.0	5853630.0	5972064.0	63649.0	1056.0	2134.0	0.25	0.02	2.68	0.01	1.92	355783.0	1.52	1744.0	0.01	0.0	0.13	0.0	0	30812	0
SRR650958	24415850.0	92.0	23986231.0	98.24	92.05	6227278.0	6030489.0	6158128.0	65730.0	1053.0	2367.0	0.29	0.02	2.71	0.02	2.03	387654.0	1.59	4205.0	0.02	0.0	0.15	0.0	0	37760	0
SRR650959	24528571.0	98.0	24126939.0	98.36	98.55	6742420.0	6531385.0	6666440.0	72671.0	1072.0	2237.0	0.24	0.02	2.63	0.01	2.04	368073.0	1.5	2139.0	0.01	0.0	0.13	0.0	0	31420	0
SRR650960	21828757.0	98.0	21460192.0	98.31	98.85	5859571.0	5672714.0	5792491.0	63087.0	1028.0	2965.0	0.29	0.02	2.8	0.02	2.14	336012.0	1.54	1989.0	0.01	0.0	0.14	0.0	0	30564	0
SRR650961	24114696.0	96.0	23708250.0	98.31	96.23	6293168.0	6096184.0	6222215.0	66824.0	1018.0	3111.0	0.27	0.02	2.71	0.02	2.05	371644.0	1.54	2490.0	0.01	0.0	0.13	0.0	0	32312	0
SRR650962	20551024.0	96.0	20213124.0	98.36	96.56	5574147.0	5400411.0	5509083.0	61898.0	846.0	2320.0	0.25	0.02	2.7	0.01	1.96	307512.0	1.5	3290.0	0.02	0.0	0.13	0.0	0	27098	0
