Sample	Surviving Reads	Dropped
SRR650981	23038015.0	336899.0
SRR650982	13009550.0	148191.0
SRR650983	29682190.0	610251.0
SRR650984	25514335.0	501156.0
SRR650985	23323430.0	466860.0
SRR650986	25445438.0	492019.0
SRR650987	27248140.0	526569.0
SRR650988	30453938.0	452917.0
SRR650989	15093890.0	292107.0
SRR650990	23412429.0	335520.0
SRR650991	23707325.0	326154.0
SRR650992	27308728.0	381210.0
SRR650993	24731043.0	439885.0
SRR650994	22622791.0	333141.0
SRR650995	25202346.0	446066.0
SRR650996	24147788.0	428491.0
SRR650997	21826342.0	379401.0
SRR650998	25152866.0	425600.0
SRR650999	24105730.0	420343.0
SRR651000	22649956.0	326534.0
SRR651001	30921374.0	544616.0
SRR651002	29930498.0	465498.0
SRR651003	26768923.0	385270.0
SRR651004	18205830.0	312199.0
SRR651005	15640256.0	273793.0
SRR651006	27847801.0	544602.0
SRR651007	23741503.0	482147.0
SRR651008	24079444.0	360772.0
SRR651009	25832153.0	486623.0
SRR651010	24011261.0	360709.0
