Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
SRR611328	18308968.0	1125415.0	191943.0	249678.0	39948.0
SRR611329	32788122.0	2011610.0	260597.0	423043.0	60435.0
SRR611330	27922083.0	1709670.0	206601.0	369070.0	51428.0
SRR611331	28642410.0	1678466.0	259190.0	531863.0	49765.0
SRR611332	30339173.0	1868952.0	273847.0	381615.0	62506.0
SRR611333	24668851.0	1530756.0	348451.0	428046.0	70438.0
SRR611334	32065177.0	1977515.0	297040.0	432843.0	69813.0
SRR611335	29785325.0	1816068.0	301718.0	391575.0	67959.0
SRR611336	21310002.0	1332415.0	226748.0	302578.0	44223.0
SRR611337	17487934.0	987411.0	149405.0	242590.0	31969.0
SRR611338	26819660.0	1499441.0	234817.0	204368.0	51812.0
SRR611339	29002650.0	1940895.0	273491.0	580029.0	60552.0
SRR650904	21244269.0	329482.0	1750.0	29446.0	0.0
SRR650905	24368966.0	381047.0	2131.0	36035.0	0.0
SRR650906	32562974.0	532665.0	2561.0	46572.0	0.0
SRR650907	25822682.0	412059.0	1815.0	39593.0	0.0
SRR650908	23315633.0	388672.0	2230.0	34773.0	0.0
SRR650909	22831751.0	311209.0	2068.0	21443.0	0.0
SRR650910	22869119.0	378655.0	1907.0	34038.0	0.0
SRR650911	22321306.0	353148.0	2518.0	32816.0	0.0
SRR650912	22561404.0	356220.0	2367.0	31528.0	0.0
SRR650913	24423120.0	382069.0	2608.0	33762.0	0.0
SRR650914	20557480.0	311507.0	2159.0	28121.0	0.0
SRR650915	23147727.0	342327.0	1542.0	32421.0	0.0
SRR650916	20773385.0	329542.0	2436.0	30016.0	0.0
SRR650917	22340105.0	345335.0	2262.0	29839.0	0.0
SRR650918	21105336.0	312324.0	2080.0	26928.0	0.0
SRR650919	31453783.0	491693.0	4484.0	51639.0	0.0
SRR650920	26119369.0	413853.0	2411.0	35987.0	0.0
SRR650921	21715207.0	336663.0	2487.0	31792.0	0.0
SRR650922	21970655.0	338244.0	2887.0	30651.0	0.0
SRR650923	24456794.0	382362.0	2849.0	34163.0	0.0
SRR650924	26860146.0	413742.0	3719.0	35001.0	0.0
SRR650925	31740417.0	527828.0	2982.0	51198.0	0.0
SRR650926	25290572.0	392560.0	4871.0	34621.0	0.0
SRR650927	33424654.0	559678.0	3180.0	54191.0	0.0
SRR650928	27436139.0	420627.0	2087.0	36318.0	0.0
SRR650929	21116750.0	334559.0	3203.0	32238.0	0.0
SRR650930	19373089.0	307644.0	2122.0	29681.0	0.0
SRR650931	20447295.0	332875.0	3247.0	33171.0	0.0
SRR650932	20412618.0	322479.0	2416.0	28202.0	0.0
SRR650933	25947192.0	412283.0	2312.0	36350.0	0.0
SRR650934	22573590.0	358322.0	2158.0	31330.0	0.0
SRR650935	26851211.0	412783.0	2275.0	35135.0	0.0
SRR650936	27605862.0	433846.0	2159.0	37902.0	0.0
SRR650937	25060025.0	394285.0	2360.0	35635.0	0.0
SRR650938	23421098.0	354620.0	2188.0	30017.0	0.0
SRR650939	25622537.0	389512.0	2264.0	32909.0	0.0
SRR650940	28445970.0	456382.0	2353.0	38254.0	0.0
SRR650941	24426157.0	376077.0	2499.0	31409.0	0.0
SRR650942	18090572.0	275169.0	1731.0	23807.0	0.0
SRR650943	29125908.0	439597.0	2440.0	36468.0	0.0
SRR650944	22955603.0	339730.0	3058.0	29167.0	0.0
SRR650945	22794359.0	378636.0	2644.0	34588.0	0.0
SRR650946	24862335.0	375581.0	1620.0	30527.0	0.0
SRR650947	22938824.0	360618.0	2012.0	30933.0	0.0
SRR650948	20698174.0	332215.0	1688.0	30597.0	0.0
SRR650949	24195391.0	374687.0	1909.0	33356.0	0.0
SRR650950	27974385.0	450344.0	2513.0	40153.0	0.0
SRR650951	21531442.0	358259.0	1827.0	33140.0	0.0
SRR650952	23819215.0	396805.0	2815.0	37761.0	0.0
SRR650953	31863699.0	514621.0	3488.0	47742.0	0.0
SRR650954	28858530.0	440980.0	3561.0	39140.0	0.0
SRR650955	27551696.0	434891.0	3705.0	40064.0	0.0
SRR650956	16424444.0	265405.0	1640.0	23668.0	0.0
SRR650957	22968694.0	355783.0	1744.0	30812.0	0.0
SRR650958	23986231.0	387654.0	4205.0	37760.0	0.0
SRR650959	24126939.0	368073.0	2139.0	31420.0	0.0
SRR650960	21460192.0	336012.0	1989.0	30564.0	0.0
SRR650961	23708250.0	371644.0	2490.0	32312.0	0.0
SRR650962	20213124.0	307512.0	3290.0	27098.0	0.0
SRR650963	20507039.0	331621.0	1406.0	27480.0	0.0
SRR650964	28324699.0	443998.0	2140.0	37351.0	0.0
SRR650965	26806546.0	426420.0	2734.0	35740.0	0.0
SRR650966	27038886.0	431682.0	2735.0	39796.0	0.0
SRR650967	25546400.0	376532.0	3793.0	31875.0	0.0
SRR650968	20915081.0	338633.0	3941.0	32434.0	0.0
SRR650969	22569054.0	360324.0	2077.0	32239.0	0.0
SRR650970	14203641.0	220836.0	879.0	19132.0	0.0
SRR650971	26559180.0	446041.0	2094.0	41141.0	0.0
SRR650972	27146080.0	439115.0	2655.0	38973.0	0.0
