Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct
SRR650971	92.11618945122088	24505131	98.19	26559180.0	1.95
SRR650972	92.04743555433213	25025588	98.26	27146080.0	1.85
SRR650973	91.65918906468339	20177413	98.33	21979598.0	1.29
SRR650974	92.55938879688748	23486583	98.3	25337689.0	1.87
SRR650975	92.11855600743495	19805566	98.27	21464613.0	1.3
SRR650976	92.29110120372923	20891309	98.29	22602908.0	1.51
SRR650977	92.06310523125588	22261727	98.33	24142382.0	1.51
SRR650978	92.07811991671218	27295369	98.28	29597710.0	1.91
SRR650979	92.19534889113692	22900860	98.29	24800549.0	1.44
SRR650980	92.23310969722867	23347514	98.38	25275741.0	1.45
SRR650981	91.97310572639066	20864489	98.25	22635885.0	1.44
SRR650982	92.01410369127876	11787510	98.13	12765681.0	1.13
SRR650983	92.06023055340742	26906346	98.32	29183663.0	2.01
SRR650984	92.14762530109375	23122693	98.18	25049479.0	1.93
SRR650985	92.32759625897691	21188670	98.24	22912187.0	1.96
SRR650986	91.9991531357258	23039324	98.27	25004020.0	1.9
SRR650987	92.08619661304394	24695027	98.26	26775077.0	1.9
SRR650988	91.96177553819236	27569915	98.29	29931980.0	1.47
SRR650989	92.06115509570253	13673894	98.23	14826805.0	1.9
SRR650990	92.42713688301306	21317808	98.36	23029549.0	1.41
SRR650991	92.49225764096003	21586300	98.29	23301331.0	1.36
SRR650992	91.94306876588622	24733296	98.36	26862185.0	1.38
SRR650993	92.09097587371564	22411899	98.24	24295896.0	1.75
SRR650994	92.21415406308137	20529982	98.25	22227584.0	1.45
SRR650995	92.26891077924186	22902703	98.35	24787532.0	1.74
SRR650996	91.88080354658136	21840316	98.29	23735258.0	1.74
SRR650997	92.08963555192369	19788953	98.3	21455715.0	1.71
SRR650998	92.3038913148659	22856992	98.3	24724923.0	1.66
SRR650999	91.97561758187274	21823144	98.28	23691672.0	1.71
SRR651000	92.10676949526822	20530633	98.14	22228755.0	1.42
SRR651001	91.93271142872807	27988196	98.31	30398274.0	1.73
SRR651002	92.2482684159559	27183550	98.29	29419640.0	1.53
SRR651003	92.45394384930842	24360318	98.28	26308805.0	1.42
SRR651004	92.09245210550301	16503508	98.28	17892928.0	1.69
SRR651005	92.53371531366412	14245435	98.27	15369908.0	1.72
SRR651006	92.45455661118804	25335471	98.25	27360594.0	1.92
SRR651007	92.30151464959421	21571619	98.29	23335767.0	1.99
SRR651008	92.51138942194873	21931145	98.3	23670332.0	1.48
SRR651009	92.27075721153231	23472960	98.34	25402143.0	1.85
SRR651010	92.32998179116792	21765616	97.97	23523467.0	1.48
