Sample	Assigned	Unassigned_Unmapped	Unassigned_NoFeatures	Unassigned_Ambiguity
SRR650909	21098850.0	23511.0	1422019.0	310882.0
SRR650910	21165869.0	35945.0	1403560.0	299690.0
SRR650911	20599169.0	35334.0	1423989.0	298148.0
SRR650912	20886931.0	33895.0	1373101.0	301372.0
SRR650913	22502526.0	36370.0	1580662.0	339932.0
SRR650914	19006439.0	30280.0	1282680.0	268361.0
SRR650915	21362500.0	33963.0	1422299.0	362928.0
SRR650916	19097915.0	32452.0	1393612.0	281858.0
SRR650917	20615788.0	32101.0	1422042.0	302275.0
SRR650918	19469349.0	29008.0	1354294.0	281693.0
SRR650919	28678628.0	56123.0	2385014.0	390141.0
SRR650920	24080564.0	38398.0	1704850.0	333955.0
SRR650921	20081649.0	34279.0	1340864.0	292694.0
SRR650922	20316745.0	33538.0	1347392.0	306518.0
SRR650923	22617341.0	37012.0	1501343.0	338110.0
SRR650924	24919788.0	38720.0	1581137.0	359221.0
SRR650925	29399396.0	54180.0	1928961.0	412060.0
SRR650926	23585081.0	39492.0	1376687.0	328804.0
SRR650927	30885897.0	57371.0	2092381.0	446376.0
SRR650928	25347541.0	38405.0	1710414.0	378184.0
SRR650929	19502002.0	35441.0	1331652.0	283096.0
SRR650930	17910294.0	31803.0	1200700.0	262095.0
SRR650931	18844032.0	36418.0	1313473.0	289790.0
SRR650932	18833917.0	30618.0	1296627.0	282074.0
SRR650933	24039121.0	38662.0	1537514.0	370557.0
SRR650934	20887679.0	33488.0	1383726.0	302185.0
SRR650935	24852534.0	37410.0	1635034.0	363643.0
SRR650936	25526625.0	40061.0	1712139.0	367098.0
SRR650937	23147178.0	37995.0	1591740.0	321107.0
SRR650938	21645739.0	32205.0	1455284.0	320075.0
SRR650939	23719072.0	35173.0	1556491.0	346974.0
SRR650940	26316328.0	40607.0	1743407.0	386235.0
SRR650941	22629047.0	33908.0	1468290.0	328820.0
SRR650942	16757571.0	25538.0	1082866.0	250135.0
SRR650943	26967111.0	38908.0	1771588.0	387209.0
SRR650944	21061974.0	32225.0	1572427.0	321202.0
SRR650945	21081858.0	37232.0	1402056.0	310445.0
SRR650946	22956694.0	32147.0	1580956.0	324685.0
SRR650947	21189628.0	32945.0	1446447.0	302749.0
SRR650948	19077839.0	32285.0	1358083.0	262252.0
SRR650949	22334427.0	35265.0	1542056.0	318908.0
SRR650950	25827145.0	42666.0	1783083.0	364157.0
SRR650951	19864194.0	34967.0	1387649.0	279599.0
