Sample	input_reads	surviving	surviving_pct	dropped	dropped_pct
SRR611333	28074632.0	27046542.0	96.34	1028090.0	3.66
SRR611334	36172662.0	34842388.0	96.32	1330274.0	3.68
SRR611335	33478329.0	32362645.0	96.67	1115684.0	3.33
SRR611336	23819908.0	23215966.0	97.46	603942.0	2.54
SRR611337	19407389.0	18899309.0	97.38	508080.0	2.62
SRR611338	29818090.0	28810098.0	96.62	1007992.0	3.38
SRR611339	32807242.0	31857617.0	97.11	949625.0	2.89
SRR650904	21910626.0	21604947.0	98.6	305679.0	1.4
SRR650905	25154413.0	24788179.0	98.54	366234.0	1.46
SRR650906	33724422.0	33144772.0	98.28	579650.0	1.72
SRR650907	26650860.0	26276149.0	98.59	374711.0	1.41
SRR650908	24159316.0	23741308.0	98.27	418008.0	1.73
SRR650909	23584307.0	23166471.0	98.23	417836.0	1.77
SRR650910	23688403.0	23283719.0	98.29	404684.0	1.71
SRR650911	23044987.0	22709788.0	98.55	335199.0	1.45
SRR650912	23301097.0	22951519.0	98.5	349578.0	1.5
SRR650913	25213665.0	24841559.0	98.52	372106.0	1.48
SRR650914	21165990.0	20899267.0	98.74	266723.0	1.26
SRR650915	23827002.0	23524017.0	98.73	302985.0	1.27
SRR650916	21386349.0	21135379.0	98.83	250970.0	1.17
SRR650917	23020395.0	22717541.0	98.68	302854.0	1.32
SRR650918	21737372.0	21446668.0	98.66	290704.0	1.34
SRR650919	32434269.0	32001599.0	98.67	432670.0	1.33
SRR650920	27090375.0	26571620.0	98.09	518755.0	1.91
SRR650921	22373836.0	22086149.0	98.71	287687.0	1.29
SRR650922	22633294.0	22342437.0	98.71	290857.0	1.29
SRR650923	25206431.0	24876168.0	98.69	330263.0	1.31
SRR650924	27735290.0	27312608.0	98.48	422682.0	1.52
SRR650925	33307718.0	32322425.0	97.04	985293.0	2.96
SRR650926	26148733.0	25722624.0	98.37	426109.0	1.63
SRR650927	35051500.0	34041703.0	97.12	1009797.0	2.88
SRR650928	28741253.0	27895171.0	97.06	846082.0	2.94
SRR650929	21816445.0	21486750.0	98.49	329695.0	1.51
SRR650930	19997929.0	19712536.0	98.57	285393.0	1.43
SRR650931	21217518.0	20816588.0	98.11	400930.0	1.89
SRR650932	21087941.0	20765715.0	98.47	322226.0	1.53
SRR650933	26788813.0	26398137.0	98.54	390676.0	1.46
SRR650934	23374972.0	22965400.0	98.25	409572.0	1.75
SRR650935	27784700.0	27301404.0	98.26	483296.0	1.74
SRR650936	28578911.0	28079769.0	98.25	499142.0	1.75
SRR650937	25959558.0	25492305.0	98.2	467253.0	1.8
SRR650938	24172470.0	23807923.0	98.49	364547.0	1.51
SRR650939	26446829.0	26047222.0	98.49	399607.0	1.51
SRR650940	29403793.0	28942959.0	98.43	460834.0	1.57
SRR650941	25231537.0	24836142.0	98.43	395395.0	1.57
SRR650942	18652149.0	18391279.0	98.6	260870.0	1.4
SRR650943	30076964.0	29604413.0	98.43	472551.0	1.57
SRR650944	23701918.0	23327558.0	98.42	374360.0	1.58
SRR650945	23564650.0	23210227.0	98.5	354423.0	1.5
SRR650946	25663226.0	25270063.0	98.47	393163.0	1.53
SRR650947	23685743.0	23332387.0	98.51	353356.0	1.49
SRR650948	21388347.0	21062674.0	98.48	325673.0	1.52
SRR650949	24962856.0	24605343.0	98.57	357513.0	1.43
SRR650950	29016427.0	28467395.0	98.11	549032.0	1.89
SRR650951	22310395.0	21924668.0	98.27	385727.0	1.73
SRR650952	24617928.0	24256596.0	98.53	361332.0	1.47
SRR650953	33010897.0	32429550.0	98.24	581347.0	1.76
SRR650954	29782140.0	29342211.0	98.52	439929.0	1.48
SRR650955	28520305.0	28030356.0	98.28	489949.0	1.72
SRR650956	16999268.0	16715157.0	98.33	284111.0	1.67
SRR650957	23744740.0	23357033.0	98.37	387707.0	1.63
SRR650958	24834804.0	24415850.0	98.31	418954.0	1.69
SRR650959	24879497.0	24528571.0	98.59	350926.0	1.41
SRR650960	22134387.0	21828757.0	98.62	305630.0	1.38
SRR650961	24478362.0	24114696.0	98.51	363666.0	1.49
SRR650962	20847932.0	20551024.0	98.58	296908.0	1.42
SRR650963	21133728.0	20867546.0	98.74	266182.0	1.26
SRR650964	29180659.0	28808188.0	98.72	372471.0	1.28
SRR650965	27712031.0	27271440.0	98.41	440591.0	1.59
SRR650966	27936617.0	27513099.0	98.48	423518.0	1.52
SRR650967	26311319.0	25958600.0	98.66	352719.0	1.34
SRR650968	21610159.0	21290089.0	98.52	320070.0	1.48
SRR650969	23405931.0	22963694.0	98.11	442237.0	1.89
SRR650970	14609442.0	14444488.0	98.87	164954.0	1.13
SRR650971	27586451.0	27048456.0	98.05	537995.0	1.95
SRR650972	28146642.0	27626823.0	98.15	519819.0	1.85
SRR650973	22645150.0	22353724.0	98.71	291426.0	1.29
SRR650974	26267248.0	25774931.0	98.13	492317.0	1.87
SRR650975	22130239.0	21842656.0	98.7	287583.0	1.3
SRR650976	23349802.0	22997080.0	98.49	352722.0	1.51
SRR650977	24927492.0	24551333.0	98.49	376159.0	1.51
SRR650978	30703781.0	30117177.0	98.09	586604.0	1.91
SRR650979	25598751.0	25231111.0	98.56	367640.0	1.44
SRR650980	26070703.0	25691838.0	98.55	378865.0	1.45
SRR650981	23374914.0	23038015.0	98.56	336899.0	1.44
SRR650982	13157741.0	13009550.0	98.87	148191.0	1.13
SRR650983	30292441.0	29682190.0	97.99	610251.0	2.01
SRR650984	26015491.0	25514335.0	98.07	501156.0	1.93
SRR650985	23790290.0	23323430.0	98.04	466860.0	1.96
SRR650986	25937457.0	25445438.0	98.1	492019.0	1.9
SRR650987	27774709.0	27248140.0	98.1	526569.0	1.9
SRR650988	30906855.0	30453938.0	98.53	452917.0	1.47
SRR650989	15385997.0	15093890.0	98.1	292107.0	1.9
SRR650990	23747949.0	23412429.0	98.59	335520.0	1.41
SRR650991	24033479.0	23707325.0	98.64	326154.0	1.36
SRR650992	27689938.0	27308728.0	98.62	381210.0	1.38
SRR650993	25170928.0	24731043.0	98.25	439885.0	1.75
SRR650994	22955932.0	22622791.0	98.55	333141.0	1.45
SRR650995	25648412.0	25202346.0	98.26	446066.0	1.74
SRR650996	24576279.0	24147788.0	98.26	428491.0	1.74
SRR650997	22205743.0	21826342.0	98.29	379401.0	1.71
SRR650998	25578466.0	25152866.0	98.34	425600.0	1.66
SRR650999	24526073.0	24105730.0	98.29	420343.0	1.71
SRR651000	22976490.0	22649956.0	98.58	326534.0	1.42
SRR651001	31465990.0	30921374.0	98.27	544616.0	1.73
SRR651002	30395996.0	29930498.0	98.47	465498.0	1.53
SRR651003	27154193.0	26768923.0	98.58	385270.0	1.42
SRR651004	18518029.0	18205830.0	98.31	312199.0	1.69
SRR651005	15914049.0	15640256.0	98.28	273793.0	1.72
SRR651006	28392403.0	27847801.0	98.08	544602.0	1.92
SRR651007	24223650.0	23741503.0	98.01	482147.0	1.99
SRR651008	24440216.0	24079444.0	98.52	360772.0	1.48
SRR651009	26318776.0	25832153.0	98.15	486623.0	1.85
SRR651010	24371970.0	24011261.0	98.52	360709.0	1.48
