SampleID	Tissue	Genotype	Treatment	Replicate	paired
SRR6827625	seedling	B70		1	TRUE
SRR6827626	seedling	DK78004		1	TRUE
SRR6827627	seedling	4F-306 108		1	TRUE
SRR6827628	seedling	ICI 893		1	TRUE
SRR6827629	seedling	N192		1	TRUE
SRR6827630	seedling	NC348		1	TRUE
SRR6827631	seedling	PHVA9		1	TRUE
SRR6827632	seedling	B65		1	TRUE
SRR6827633	seedling	L 139		1	TRUE
SRR6827634	seedling	Va26		1	TRUE
SRR6827635	seedling	CML 504		1	TRUE
SRR6827638	seedling	DKIBB15		1	TRUE
SRR6827639	seedling	LH156		1	TRUE
SRR6827640	seedling	LH172		1	TRUE
SRR6827641	seedling	LH159		1	TRUE
SRR6827642	seedling	LH163		1	TRUE
SRR6827643	seedling	LH208		1	TRUE
SRR6827644	seedling	DKAQA3		1	TRUE
SRR6827645	seedling	LH212Ht		1	TRUE
SRR6827646	seedling	Lp215D		1	TRUE
SRR6827647	seedling	NK907		1	TRUE
SRR6827648	seedling	LH74		1	TRUE
SRR6827649	seedling	DKMBWZ		1	TRUE
SRR6827650	seedling	PHM49		1	TRUE
SRR6827651	seedling	PHW51		1	TRUE
SRR6827652	seedling	PHTM9		1	TRUE
SRR6827653	seedling	INBRED 321		1	TRUE
SRR6827654	seedling	PHN66		1	TRUE
SRR6827655	seedling	PHR03		1	TRUE
SRR6827656	seedling	NC230		1	TRUE
SRR6827657	seedling	S8326		1	TRUE
SRR6827658	seedling	DKIBB14		1	TRUE
SRR6827659	seedling	CI 82B		1	TRUE
SRR6827660	seedling	BSSSC0_048		1	TRUE
SRR6827661	seedling	DE2		1	TRUE
SRR6827662	seedling	NORTH 7		1	TRUE
SRR6827663	seedling	A619		1	TRUE
SRR6827664	seedling	PHM57		1	TRUE
SRR6827665	seedling	LH222		1	TRUE
SRR6827666	seedling	LH213		1	TRUE
SRR6827667	seedling	PHEM7		1	TRUE
SRR6827668	seedling	LH52		1	TRUE
SRR6827669	seedling	DK91IFC2		1	TRUE
SRR6827670	seedling	NS501		1	TRUE
SRR6827671	seedling	PHK05		1	TRUE
SRR6827672	seedling	BSSSC0_020		1	TRUE
SRR6827673	seedling	OQ403		1	TRUE
SRR6827674	seedling	LH132		1	TRUE
SRR6827675	seedling	Mo18W		1	TRUE
SRR6827676	seedling	W10001_0007		1	TRUE
SRR6827677	seedling	LH202		1	TRUE
SRR6827678	seedling	Va22		1	TRUE
SRR6827679	seedling	WIL900		1	TRUE
SRR6827680	seedling	NC304		1	TRUE
SRR6827681	seedling	E8501		1	TRUE
SRR6827682	seedling	PHV53		1	TRUE
SRR6827683	seedling	NC326		1	TRUE
SRR6827684	seedling	A641		1	TRUE
SRR6827685	seedling	DKIBC2		1	TRUE
SRR6827686	seedling	PHGG7		1	TRUE
SRR6827687	seedling	W182B		1	TRUE
SRR6827688	seedling	Mo46		1	TRUE
SRR6827689	seedling	CML 387		1	TRUE
SRR6827690	seedling	LH160		1	TRUE
SRR6827691	seedling	J47		1	TRUE
SRR6827693	seedling	Seagull Seventeen		1	TRUE
SRR6827694	seedling	Oh43E		1	TRUE
SRR6827695	seedling	LH146Ht		1	TRUE
SRR6827696	seedling	NC298		1	TRUE
SRR6827697	seedling	PHJ33		1	TRUE
SRR6827698	seedling	PHT47		1	TRUE
SRR6827699	seedling	BSSSC0_052		1	TRUE
SRR6827700	seedling	PHN47		1	TRUE
SRR6827701	seedling	LH194		1	TRUE
SRR6827702	seedling	PHP76		1	TRUE
SRR6827703	seedling	PHV78		1	TRUE
SRR6827704	seedling	Oh3167B		1	TRUE
SRR6827705	seedling	LH184		1	TRUE
SRR6827706	seedling	PHAA0		1	TRUE
SRR6827707	seedling	B73		1	TRUE
SRR6827708	seedling	AH83		1	TRUE
SRR6827709	seedling	PHKM5		1	TRUE
SRR6827710	seedling	DKFBLL		1	TRUE
SRR6827711	seedling	PHN18		1	TRUE
SRR6827712	seedling	LH186		1	TRUE
SRR6827713	seedling	Mo13		1	TRUE
SRR6827714	seedling	LH217		1	TRUE
SRR6827715	seedling	LH175		1	TRUE
SRR6827716	seedling	LH225		1	TRUE
SRR6827717	seedling	NC338		1	TRUE
SRR6827718	seedling	B46		1	TRUE
SRR6827719	seedling	DK8F196		1	TRUE
SRR6827720	seedling	PHN34		1	TRUE
SRR6827721	seedling	DK6F545		1	TRUE
SRR6827722	seedling	B121		1	TRUE
SRR6827723	seedling	PHN41		1	TRUE
SRR6827724	seedling	PHK42		1	TRUE
SRR6827725	seedling	DK84BRQ4		1	TRUE
SRR6827726	seedling	PHJ75		1	TRUE
SRR6827727	seedling	PHJ89		1	TRUE
SRR6827728	seedling	Il 101T		1	TRUE
SRR6827729	seedling	LH164		1	TRUE
SRR6827730	seedling	B73Htrhm		1	TRUE
SRR6827731	seedling	LH57		1	TRUE
SRR6827732	seedling	DKF274		1	TRUE
SRR6827733	seedling	LH204		1	TRUE
SRR6827734	seedling	BSSSC0_062		1	TRUE
SRR6827735	seedling	PHEG9		1	TRUE
SRR6827736	seedling	BSSSC0_024		1	TRUE
SRR6827737	seedling	DK8M129		1	TRUE
SRR6827738	seedling	787		1	TRUE
SRR6827739	seedling	PHJ90		1	TRUE
SRR6827740	seedling	H105W		1	TRUE
SRR6827741	seedling	DKWDAD1		1	TRUE
SRR6827742	seedling	LH162		1	TRUE
SRR6827743	seedling	Oh1EP		1	TRUE
SRR6827744	seedling	CQ806		1	TRUE
SRR6827745	seedling	W64A		1	TRUE
SRR6827746	seedling	PHJ70		1	TRUE
SRR6827747	seedling	PHW80		1	TRUE
SRR6827748	seedling	W182E		1	TRUE
SRR6827749	seedling	PHK76		1	TRUE
SRR6827750	seedling	LH165		1	TRUE
SRR6827751	seedling	NK740		1	TRUE
SRR6827752	seedling	PHN46		1	TRUE
SRR6827753	seedling	LH119		1	TRUE
SRR6827754	seedling	LH82		1	TRUE
SRR6827755	seedling	W10001_0018		1	TRUE
SRR6827756	seedling	PHEM9		1	TRUE
SRR6827757	seedling	PHP85		1	TRUE
SRR6827758	seedling	ZS1791		1	TRUE
SRR6827759	seedling	W10001_0009		1	TRUE
SRR6827760	seedling	4F-234 BX 4		1	TRUE
SRR6827762	seedling	PHT60		1	TRUE
SRR6827763	seedling	PHP02		1	TRUE
SRR6827764	seedling	ND249		1	TRUE
SRR6827765	seedling	DK3IIH6		1	TRUE
SRR6827766	seedling	PHG39		1	TRUE
SRR6827767	seedling	PHG47		1	TRUE
SRR6827768	seedling	Mo16W		1	TRUE
SRR6827769	seedling	BSSSC0_014		1	TRUE
SRR6827770	seedling	DE1		1	TRUE
SRR6827771	seedling	LH192		1	TRUE
SRR6827772	seedling	LH215		1	TRUE
SRR6827773	seedling	BSSSC0_001		1	TRUE
SRR6827774	seedling	LH195		1	TRUE
SRR6827775	seedling	A654		1	TRUE
SRR6827776	seedling	NS701		1	TRUE
SRR6827777	seedling	LH143 CMS		1	TRUE
SRR6827778	seedling	F42		1	TRUE
SRR6827779	seedling	2369		1	TRUE
SRR6827780	seedling	CM48		1	TRUE
SRR6827781	seedling	Wf9		1	TRUE
SRR6827782	seedling	DK83IBI3		1	TRUE
SRR6827783	seedling	DKF118		1	TRUE
SRR6827784	seedling	KO679Y		1	TRUE
SRR6827785	seedling	PHJ65		1	TRUE
SRR6827786	seedling	W10001_0040		1	TRUE
SRR6827787	seedling	NKNP901		1	TRUE
SRR6827788	seedling	LH218		1	TRUE
SRR6827789	seedling	PHK46		1	TRUE
SRR6827790	seedling	LH260		1	TRUE
SRR6827791	seedling	I11.12E		1	TRUE
SRR6827792	seedling	I224		1	TRUE
SRR6827793	seedling	A3G-3-3-1-313		1	TRUE
SRR6827794	seedling	W10002_0001		1	TRUE
SRR6827795	seedling	W10001_0031		1	TRUE
SRR6827796	seedling	PHT69		1	TRUE
SRR6827797	seedling	BSSSC0_034		1	TRUE
SRR6827798	seedling	AS6103		1	TRUE
SRR6827799	seedling	DK3IJI1		1	TRUE
SRR6827800	seedling	LH224		1	TRUE
SRR6827801	seedling	BSSSC0_016		1	TRUE
SRR6827802	seedling	PH207		1	TRUE
SRR6827803	seedling	A441-5		1	TRUE
SRR6827804	seedling	WIL901		1	TRUE
SRR6827805	seedling	ZS01250		1	TRUE
SRR6827806	seedling	NC324		1	TRUE
SRR6827807	seedling	PHW03		1	TRUE
SRR6827808	seedling	PHT22		1	TRUE
SRR6827810	seedling	NC294		1	TRUE
SRR6827811	seedling	PHW65		1	TRUE
SRR6827812	seedling	NC306		1	TRUE
SRR6827813	seedling	ICI 441		1	TRUE
SRR6827814	seedling	PHBB3		1	TRUE
