SampleID	Tissue	Genotype	Treatment	Replicate	paired
SRR1515288	seedling_v2	GH001		1	FALSE
SRR1515289	seedling_v2	GH002		1	FALSE
SRR1515290	seedling_v2	GH003		1	FALSE
SRR1515291	seedling_v2	GH004		1	FALSE
SRR1515292	seedling_v2	GH005		1	FALSE
SRR1515293	seedling_v2	GH006		1	FALSE
SRR1515294	seedling_v2	GH008		1	FALSE
SRR1515295	seedling_v2	GH010		1	FALSE
SRR1515296	seedling_v2	GH012		1	FALSE
SRR1515297	seedling_v2	GH013		1	FALSE
SRR1515298	seedling_v2	GH014		1	FALSE
SRR1515300	seedling_v2	GH016		1	FALSE
SRR1515301	seedling_v2	GH017		1	FALSE
SRR1515302	seedling_v2	GH018		1	FALSE
SRR1515304	seedling_v2	GH020		1	FALSE
SRR1515305	seedling_v2	GH021		1	FALSE
SRR1515306	seedling_v2	GH022		1	FALSE
SRR1515307	seedling_v2	GH024		1	FALSE
SRR1515308	seedling_v2	GH027		1	FALSE
SRR1515309	seedling_v2	GH028		1	FALSE
SRR1515310	seedling_v2	GH030		1	FALSE
SRR1515311	seedling_v2	GH032		1	FALSE
SRR1515312	seedling_v2	GH033		1	FALSE
SRR1515313	seedling_v2	GH034		1	FALSE
SRR1515314	seedling_v2	GH035		1	FALSE
SRR1515315	seedling_v2	GH036		1	FALSE
SRR1515316	seedling_v2	GH037		1	FALSE
SRR1515317	seedling_v2	GH038		1	FALSE
SRR1515318	seedling_v2	GH039		1	FALSE
SRR1515319	seedling_v2	GH040		1	FALSE
SRR1515321	seedling_v2	GH043		1	FALSE
SRR1515322	seedling_v2	GH046		1	FALSE
SRR1515323	seedling_v2	GH048		1	FALSE
SRR1515324	seedling_v2	GH050		1	FALSE
SRR1515325	seedling_v2	GH051		1	FALSE
SRR1515326	seedling_v2	GH052		1	FALSE
SRR1515327	seedling_v2	GH054		1	FALSE
SRR1515328	seedling_v2	GH056		1	FALSE
SRR1515329	seedling_v2	GH057		1	FALSE
SRR1515330	seedling_v2	GH059		1	FALSE
SRR1515331	seedling_v2	GH060		1	FALSE
SRR1515333	seedling_v2	GH062		1	FALSE
SRR1515334	seedling_v2	GH064		1	FALSE
SRR1515335	seedling_v2	GH065		1	FALSE
SRR1515336	seedling_v2	GH066		1	FALSE
SRR1515337	seedling_v2	GH069		1	FALSE
SRR1515338	seedling_v2	GH070		1	FALSE
SRR1515339	seedling_v2	GH071		1	FALSE
SRR1515340	seedling_v2	GH072		1	FALSE
SRR1515341	seedling_v2	GH077		1	FALSE
SRR1515342	seedling_v2	GH078		1	FALSE
SRR1515343	seedling_v2	GH079		1	FALSE
SRR1515344	seedling_v2	GH081		1	FALSE
SRR1515345	seedling_v2	GH082		1	FALSE
SRR1515346	seedling_v2	GH083		1	FALSE
SRR1515347	seedling_v2	GH084		1	FALSE
SRR1515348	seedling_v2	GH087		1	FALSE
SRR1515349	seedling_v2	GH090		1	FALSE
SRR1515350	seedling_v2	GH092		1	FALSE
SRR1515351	seedling_v2	GH093		1	FALSE
SRR1515352	seedling_v2	GH094		1	FALSE
SRR1515353	seedling_v2	GH095		1	FALSE
SRR1515354	seedling_v2	GH096		1	FALSE
SRR1515355	seedling_v2	GH097		1	FALSE
SRR1515356	seedling_v2	GH099		1	FALSE
SRR1515357	seedling_v2	GH102		1	FALSE
SRR1515358	seedling_v2	GH103		1	FALSE
SRR1515359	seedling_v2	GH106		1	FALSE
SRR1515360	seedling_v2	GH107		1	FALSE
SRR1515361	seedling_v2	GH108		1	FALSE
SRR1515362	seedling_v2	GH109		1	FALSE
