SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	Timepoint	grp	tis	lab
C06	leaf_2	Mo17	control	7	m4	149	Mo17_control	""	Mo17_control_149_
C07	leaf_3	Mo17	control	1	m6	149	Mo17_control	leaf_3	Mo17_control_149_leaf_3
C08	leaf_2	B73	control	12	m1	1	B73_control	""	B73_control_1_
C09	leaf_2	Mo17	cold	2	m5	53	Mo17_cold	""	Mo17_cold_53_
C10	leaf_2	B73	cold	7	m2	48	B73_cold	""	B73_cold_48_
C11	leaf_2	B73	cold	8	m2	53	B73_cold	""	B73_cold_53_
C12	leaf_2	B73	control	13	m1	149	B73_control	""	B73_control_149_
D01	leaf_2	Mo17	control	8	m4	0	Mo17_control	""	Mo17_control_0_
D02	leaf_2	Mo17	control	9	m4	29	Mo17_control	""	Mo17_control_29_
D04	leaf_2	Mo17	cold	3	m5	48	Mo17_cold	""	Mo17_cold_48_
D05	leaf_2	Mo17	control	10	m4	77	Mo17_control	""	Mo17_control_77_
D06	leaf_2	Mo17	control	11	m4	149	Mo17_control	""	Mo17_control_149_
D07	leaf_3	Mo17	control	2	m6	149	Mo17_control	leaf_3	Mo17_control_149_leaf_3
D08	leaf_2	B73	cold	9	m2	1	B73_cold	""	B73_cold_1_
D09	leaf_2	Mo17	cold	4	m5	53	Mo17_cold	""	Mo17_cold_53_
D10	leaf_2	Mo17	cold	5	m5	48	Mo17_cold	""	Mo17_cold_48_
D11	leaf_2	Mo17	cold	6	m5	53	Mo17_cold	""	Mo17_cold_53_
D12	leaf_2	Mo17	control	12	m4	149	Mo17_control	""	Mo17_control_149_
E01	leaf_2	B73	control	14	m1	5	B73_control	""	B73_control_5_
E02	leaf_2	B73	cold	10	m2	29	B73_cold	""	B73_cold_29_
E03	leaf_2	B73	control	15	m1	29	B73_control	""	B73_control_29_
E04	leaf_2	B73	control	16	m1	53	B73_control	""	B73_control_53_
E05	leaf_2	B73	cold	11	m2	77	B73_cold	""	B73_cold_77_
E07	leaf_3	B73	cold	1	m7	149	B73_cold	leaf_3	B73_cold_149_leaf_3
E08	leaf_2	B73	control	17	m1	3	B73_control	""	B73_control_3_
E09	leaf_2	B73	control	18	m1	48	B73_control	""	B73_control_48_
E10	leaf_2	B73	control	19	m1	49	B73_control	""	B73_control_49_
E11	leaf_2	B73	control	20	m1	77	B73_control	""	B73_control_77_
E12	leaf_2	B73	cold	12	m2	149	B73_cold	""	B73_cold_149_
F01	leaf_2	B73	control	21	m1	5	B73_control	""	B73_control_5_
F02	leaf_2	B73	cold	13	m2	29	B73_cold	""	B73_cold_29_
F03	leaf_2	Mo17	control	13	m4	29	Mo17_control	""	Mo17_control_29_
F04	leaf_2	B73	control	22	m1	53	B73_control	""	B73_control_53_
F05	leaf_2	B73	cold	14	m2	77	B73_cold	""	B73_cold_77_
F06	leaf_2	B73	cold	15	m2	149	B73_cold	""	B73_cold_149_
F07	leaf_3	B73	cold	2	m7	149	B73_cold	leaf_3	B73_cold_149_leaf_3
F08	leaf_2	B73	cold	16	m2	3	B73_cold	""	B73_cold_3_
F09	leaf_2	B73	control	23	m1	48	B73_control	""	B73_control_48_
F10	leaf_2	B73	cold	17	m2	49	B73_cold	""	B73_cold_49_
F11	leaf_2	Mo17	control	14	m4	77	Mo17_control	""	Mo17_control_77_
F12	leaf_2	Mo17	cold	7	m5	149	Mo17_cold	""	Mo17_cold_149_
G01	leaf_2	Mo17	control	15	m4	5	Mo17_control	""	Mo17_control_5_
G03	leaf_2	B73	cold	18	m2	29	B73_cold	""	B73_cold_29_
G04	leaf_2	Mo17	control	16	m4	53	Mo17_control	""	Mo17_control_53_
