SampleID	Tissue	Genotype	Treatment	Replicate	total	surviving	surviving_f	surviving_r	dropped	uniquely_mapped	multimapped	unmapped	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR242505	seedling	B73	NA	1	20182523	18671668	754048	492623	264184	9321606	4370053	6226680	8101506	14368672	674377	115735	6100302
SRR248565	seedling	B73	NA	2	32460408	28102016	2236564	1274454	847374	8790523	11059178	11763333	6869110	37175225	1152095	113952	11940876
SRR250415	seedling	B73	NA	3	14127449	10855512	938680	1792322	540935	3207602	2316859	8062053	2575404	7003755	262097	30976	6536403
SRR250416	pollen	B73	NA	1	24885231	19997633	1729906	2173650	984042	12249490	3174381	8477318	9832045	8548676	965530	81685	7510092
SRR252662	pollen	B73	NA	2	38147844	24147373	10843689	1070046	2086736	16047756	5016802	14996550	22470524	0	3290231	248056	28832901
SRR254169	embryosac	B73	NA	1	14847590	13231140	826925	550649	238876	5668447	1588991	7351276	2458519	5945977	2785858	36423	6626780
SRR254170	embryosac	B73	NA	2	16741404	9863466	5147309	773099	957530	8199130	1284196	6300548	3901864	4126753	647920	57201	4616705
SRR254171	ovule	B73	NA	1	42323839	38906778	1591419	928405	897237	30240133	2963610	8222859	25652055	8339730	2535195	485661	7623591
SRR254172	ovule	B73	NA	2	38345755	35152468	1507645	937789	747853	20225833	2295419	15076650	17169771	6214594	1523141	281471	14135554
SRR254175	ovule	B73	NA	3	18305557	18238147	64705	2638	67	10223694	909781	7172015	8787164	2265222	1247128	164307	7257098
SRR254176	embryosac	B73	NA	3	17853952	17749202	104075	590	85	9365412	742744	7745711	8263714	2112668	936295	114837	7752631
SRR255405	pollen	B73	NA	3	37064206	32365684	1729497	2029418	939607	16592274	5957444	13574881	14353783	11232760	962391	172471	14117094
