SampleID	Tissue	Genotype	Treatment	Replicate	total	passed	failed	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR1168421	embryo	B73	12DAP	1	7546433	7445455	100978	7445455	0	0	6657273	6432861	5398974	5580640	0	0	0	0	788182	0	0	0	0	0	0	0	0	5965687	741296	398106	69068	788182
SRR1168422	embryo	B73	14DAP	1	13094144	12535870	558274	12535870	0	0	12033249	11612374	9700477	10046193	0	0	0	0	502621	0	0	0	0	0	0	0	0	10670451	1176936	825360	116563	502621
SRR1168423	embryo	B73	16DAP	1	15694676	15186761	507915	15186761	0	0	14654562	14154068	10493476	10856456	0	0	0	0	532199	0	0	0	0	0	0	0	0	12918346	1436393	1063397	172325	532199
SRR1168424	embryo	B73	18DAP	1	5254129	5223253	30876	5223253	0	0	4872229	4700642	4226870	4376302	0	0	0	0	351024	0	0	0	0	0	0	0	0	4286556	510098	358378	55708	351024
SRR1168429	embryo	B73	24DAP	1	9233219	9079791	153428	9079791	0	0	8882269	8573821	7301522	7559391	0	0	0	0	197522	0	0	0	0	0	0	0	0	7672737	861221	779858	121226	197522
SRR1168430	embryo	B73	20DAP	1	9445342	9048958	396384	9048958	0	0	7817364	7517468	6428662	6674324	0	0	0	0	1231594	0	0	0	0	0	0	0	0	6843254	1058550	580163	94051	1231594
SRR1168431	embryo	B73	26DAP	1	10504326	10324938	179388	10324938	0	0	9527680	9209765	7640045	7897800	0	0	0	0	797258	0	0	0	0	0	0	0	0	8308237	965483	747513	154015	797258
SRR1168432	embryo	B73	28DAP	1	16952402	15557980	1394422	15557980	0	0	14578838	14054947	11457860	11874447	0	0	0	0	979142	0	0	0	0	0	0	0	0	12529472	1672452	1316192	209283	979142
SRR1168434	embryo	B73	30DAP	1	18239735	16916007	1323728	16916007	0	0	16251345	15679996	12760677	13215334	0	0	0	0	664662	0	0	0	0	0	0	0	0	14086491	1625908	1395737	197768	664662
SRR1168435	embryo	B73	32DAP	1	14376984	13683020	693964	13683020	0	0	12950135	12495170	10371599	10739785	0	0	0	0	732885	0	0	0	0	0	0	0	0	11320315	1314686	1028322	146533	732885
