SampleID	Tissue	Genotype	Treatment	Replicate	total	surviving	surviving_f	surviving_r	dropped	uniquely_mapped	multimapped	unmapped	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR957462	root_primary	B73	NA	3	27748895	27278810	0	0	470085	22137239	3494943	1646628	20643330	0	1161868	332041	4052617
SRR957463	root_secondary	B73	NA	1	25434710	25056885	0	0	377825	21729219	1140377	2187289	20383899	0	1036531	308789	2388345
SRR957464	root_secondary	B73	NA	2	27693928	27284280	0	0	409648	23300888	1160012	2823380	21883873	0	1083424	333591	2975421
SRR957465	root_secondary	B73	NA	3	29520529	29062776	0	0	457753	21737878	3686741	3638157	20349533	0	1086782	301563	6246982
SRR957466	pollen	B73	NA	1	30662732	30138687	0	0	524045	24777213	3998640	1362834	22444503	0	2112944	219766	3274811
SRR957467	pollen	B73	NA	2	29911225	29382895	0	0	528330	25063358	2589237	1730300	22357051	0	2449998	256309	2317782
SRR957468	pollen	B73	NA	3	30484162	29964528	0	0	519634	23530061	4501064	1933403	21004016	0	2362352	163693	3847761
SRR957469	silk	B73	NA	1	26033855	25601735	0	0	432120	21775352	2531245	1295138	19542045	0	1938671	294636	2870101
SRR957470	silk	B73	NA	2	21843496	21441899	0	0	401597	11764147	6549657	3128095	10479170	0	1032184	252793	8804852
SRR957471	silk	B73	NA	3	14416283	14013295	0	0	402988	6880862	767891	6364542	6176273	0	564114	140475	6858044
SRR957472	spikelet	B73	NA	1	17739708	17280685	0	0	459023	7536364	427383	9316938	6873904	0	478023	184437	9447595
SRR957473	spikelet	B73	NA	2	20637844	20236249	0	0	401595	10455866	4450265	5330118	9506167	0	709444	240255	9157672
SRR957474	spikelet	B73	NA	3	23132075	22673993	0	0	458082	14057056	5870521	2746416	12816071	0	975258	265727	7772406
SRR957475	internode_6-7	B73	NA	1	25545711	25147298	0	0	398413	18708246	3506580	2932472	17324342	0	1086289	297615	5490696
SRR957476	internode_6-7	B73	NA	2	24580159	24223165	0	0	356994	19121140	3359967	1742058	17652788	0	1132361	335991	4131067
SRR957477	internode_6-7	B73	NA	3	26940355	26573463	0	0	366892	22826358	2019826	1727279	21126589	0	1313188	386581	2712532
SRR957478	internode_7-8	B73	NA	1	24874762	24505785	0	0	368977	19685775	2766859	2053151	18238355	0	1122113	325307	3870934
SRR957479	internode_7-8	B73	NA	2	22424620	22042167	0	0	382453	16590856	3867094	1584217	15284922	0	1010661	295273	4561456
SRR957480	internode_7-8	B73	NA	3	27739041	27310921	0	0	428120	21071265	3867914	2371742	19506059	0	1193082	372124	5201299
SRR957481	meristem	B73	NA	1	27898523	27411120	0	0	487403	14608031	7529482	5273607	13025621	0	1301616	280794	11764591
SRR957482	meristem	B73	NA	2	28074423	27522532	0	0	551891	12926564	10720158	3875810	11642997	0	1048630	234937	13472429
