mid	gid	funcat	opt
trans-eQTL.hs01	Zm00001d022391		trans-eQTL
trans-eQTL.hs01	Zm00001d050735		trans-eQTL
trans-eQTL.hs01	Zm00001d010840		trans-eQTL
trans-eQTL.hs01	Zm00001d011796		trans-eQTL
trans-eQTL.hs01	Zm00001d017708		trans-eQTL
trans-eQTL.hs01	Zm00001d016034		trans-eQTL
trans-eQTL.hs01	Zm00001d008903		trans-eQTL
trans-eQTL.hs01	Zm00001d013259		trans-eQTL
trans-eQTL.hs01	Zm00001d044757		trans-eQTL
trans-eQTL.hs01	Zm00001d039180		trans-eQTL
trans-eQTL.hs01	Zm00001d004672		trans-eQTL
trans-eQTL.hs01	Zm00001d011704		trans-eQTL
trans-eQTL.hs01	Zm00001d011454		trans-eQTL
trans-eQTL.hs01	Zm00001d039904		trans-eQTL
trans-eQTL.hs01	Zm00001d016741		trans-eQTL
trans-eQTL.hs01	Zm00001d008597		trans-eQTL
trans-eQTL.hs01	Zm00001d052072		trans-eQTL
trans-eQTL.hs01	Zm00001d022190		trans-eQTL
trans-eQTL.hs01	Zm00001d010678		trans-eQTL
trans-eQTL.hs01	Zm00001d012765		trans-eQTL
trans-eQTL.hs01	Zm00001d015627		trans-eQTL
trans-eQTL.hs01	Zm00001d053585		trans-eQTL
trans-eQTL.hs01	Zm00001d012869		trans-eQTL
trans-eQTL.hs01	Zm00001d035975		trans-eQTL
trans-eQTL.hs01	Zm00001d040760		trans-eQTL
trans-eQTL.hs01	Zm00001d031572		trans-eQTL
trans-eQTL.hs01	Zm00001d031227		trans-eQTL
trans-eQTL.hs01	Zm00001d021557		trans-eQTL
trans-eQTL.hs01	Zm00001d039684		trans-eQTL
trans-eQTL.hs01	Zm00001d053109		trans-eQTL
trans-eQTL.hs01	Zm00001d032112		trans-eQTL
trans-eQTL.hs01	Zm00001d015460		trans-eQTL
trans-eQTL.hs01	Zm00001d006066		trans-eQTL
trans-eQTL.hs01	Zm00001d011945		trans-eQTL
trans-eQTL.hs01	Zm00001d008640		trans-eQTL
trans-eQTL.hs01	Zm00001d038504		trans-eQTL
trans-eQTL.hs01	Zm00001d040383		trans-eQTL
trans-eQTL.hs01	Zm00001d024567		trans-eQTL
trans-eQTL.hs01	Zm00001d002814		trans-eQTL
trans-eQTL.hs01	Zm00001d049800		trans-eQTL
trans-eQTL.hs01	Zm00001d005140		trans-eQTL
trans-eQTL.hs01	Zm00001d038688		trans-eQTL
trans-eQTL.hs01	Zm00001d014138		trans-eQTL
trans-eQTL.hs01	Zm00001d015948		trans-eQTL
trans-eQTL.hs01	Zm00001d021871		trans-eQTL
trans-eQTL.hs01	Zm00001d033657		trans-eQTL
trans-eQTL.hs01	Zm00001d042872		trans-eQTL
trans-eQTL.hs01	Zm00001d046719		trans-eQTL
trans-eQTL.hs01	Zm00001d047679		trans-eQTL
trans-eQTL.hs01	Zm00001d045017		trans-eQTL
trans-eQTL.hs01	Zm00001d014581		trans-eQTL
trans-eQTL.hs01	Zm00001d023246		trans-eQTL
trans-eQTL.hs01	Zm00001d026691		trans-eQTL
trans-eQTL.hs01	Zm00001d013494		trans-eQTL
trans-eQTL.hs01	Zm00001d002058		trans-eQTL
trans-eQTL.hs01	Zm00001d030744		trans-eQTL
trans-eQTL.hs01	Zm00001d021799		trans-eQTL
trans-eQTL.hs01	Zm00001d002980		trans-eQTL
trans-eQTL.hs01	Zm00001d007139		trans-eQTL
trans-eQTL.hs01	Zm00001d004215		trans-eQTL
trans-eQTL.hs01	Zm00001d029123		trans-eQTL
trans-eQTL.hs01	Zm00001d046348		trans-eQTL
trans-eQTL.hs01	Zm00001d006291		trans-eQTL
trans-eQTL.hs01	Zm00001d049717		trans-eQTL
trans-eQTL.hs01	Zm00001d040689		trans-eQTL
trans-eQTL.hs01	Zm00001d025941		trans-eQTL
trans-eQTL.hs01	Zm00001d025921		trans-eQTL
trans-eQTL.hs01	Zm00001d052107		trans-eQTL
trans-eQTL.hs01	Zm00001d010639		trans-eQTL
trans-eQTL.hs01	Zm00001d019215		trans-eQTL
trans-eQTL.hs01	Zm00001d035044		trans-eQTL
trans-eQTL.hs01	Zm00001d035721		trans-eQTL
trans-eQTL.hs01	Zm00001d030697		trans-eQTL
trans-eQTL.hs01	Zm00001d013092		trans-eQTL
trans-eQTL.hs01	Zm00001d003836		trans-eQTL
trans-eQTL.hs01	Zm00001d052462		trans-eQTL
trans-eQTL.hs01	Zm00001d049657		trans-eQTL
trans-eQTL.hs01	Zm00001d024934		trans-eQTL
trans-eQTL.hs01	Zm00001d025673		trans-eQTL
trans-eQTL.hs01	Zm00001d018515		trans-eQTL
trans-eQTL.hs01	Zm00001d051633		trans-eQTL
trans-eQTL.hs01	Zm00001d035974		trans-eQTL
trans-eQTL.hs01	Zm00001d035088		trans-eQTL
trans-eQTL.hs01	Zm00001d044780		trans-eQTL
trans-eQTL.hs01	Zm00001d001809		trans-eQTL
trans-eQTL.hs02	Zm00001d026651		trans-eQTL
trans-eQTL.hs02	Zm00001d012654		trans-eQTL
trans-eQTL.hs02	Zm00001d008737		trans-eQTL
trans-eQTL.hs02	Zm00001d042438		trans-eQTL
trans-eQTL.hs02	Zm00001d018260		trans-eQTL
trans-eQTL.hs02	Zm00001d014816		trans-eQTL
trans-eQTL.hs02	Zm00001d013644		trans-eQTL
trans-eQTL.hs02	Zm00001d002278		trans-eQTL
trans-eQTL.hs02	Zm00001d052690		trans-eQTL
trans-eQTL.hs02	Zm00001d014690		trans-eQTL
trans-eQTL.hs02	Zm00001d003161		trans-eQTL
trans-eQTL.hs02	Zm00001d038510		trans-eQTL
trans-eQTL.hs02	Zm00001d004036		trans-eQTL
trans-eQTL.hs02	Zm00001d013720		trans-eQTL
trans-eQTL.hs02	Zm00001d002919		trans-eQTL
trans-eQTL.hs02	Zm00001d041714		trans-eQTL
trans-eQTL.hs02	Zm00001d052081		trans-eQTL
trans-eQTL.hs02	Zm00001d011769		trans-eQTL
trans-eQTL.hs02	Zm00001d018781		trans-eQTL
trans-eQTL.hs02	Zm00001d001937		trans-eQTL
trans-eQTL.hs02	Zm00001d037167		trans-eQTL
trans-eQTL.hs02	Zm00001d010884		trans-eQTL
trans-eQTL.hs02	Zm00001d038699		trans-eQTL
trans-eQTL.hs02	Zm00001d025740		trans-eQTL
trans-eQTL.hs02	Zm00001d048463		trans-eQTL
trans-eQTL.hs02	Zm00001d016134		trans-eQTL
