SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength	lab
SRR6176025	kernel	CIMBL152		1	m001	TRUE	17858365	250	CIMBL152
SRR6176026	kernel	GY1007		1	m002	TRUE	13390936	250	GY1007
SRR6176027	kernel	GL178		1	m003	TRUE	17968132	250	GL178
SRR6176028	kernel	GEMS66		1	m004	TRUE	3919370	250	GEMS66
SRR6176029	kernel	GEMS65		1	m005	TRUE	15216311	250	GEMS65
SRR6176030	kernel	GEMS9		1	m006	TRUE	18458052	250	GEMS9
SRR6176031	kernel	GEMS6		1	m007	TRUE	29956753	250	GEMS6
SRR6176032	kernel	GEMS62		1	m008	TRUE	20543061	250	GEMS62
SRR6176033	kernel	GEMS61		1	m009	TRUE	15577216	250	GEMS61
SRR6176034	kernel	GEMS64		1	m010	TRUE	14122125	250	GEMS64
SRR6176035	kernel	GEMS63		1	m011	TRUE	17090041	250	GEMS63
SRR6176036	kernel	ZHENG30		1	m012	TRUE	17628283	250	ZHENG30
SRR6176037	kernel	CIMBL96		1	m013	TRUE	19653677	250	CIMBL96
SRR6176038	kernel	CIMBL98		1	m014	TRUE	17841122	250	CIMBL98
SRR6176039	kernel	CIMBL40		1	m015	TRUE	16814575	250	CIMBL40
SRR6176040	kernel	CIMBL90		1	m016	TRUE	15829339	250	CIMBL90
SRR6176041	kernel	CIMBL91		1	m017	TRUE	20347311	250	CIMBL91
SRR6176042	kernel	CIMBL88		1	m018	TRUE	15846077	250	CIMBL88
SRR6176043	kernel	CIMBL89		1	m019	TRUE	18511852	250	CIMBL89
SRR6176044	kernel	CIMBL94		1	m020	TRUE	20039273	250	CIMBL94
SRR6176045	kernel	CIMBL95		1	m021	TRUE	19358253	250	CIMBL95
SRR6176046	kernel	CIMBL92		1	m022	TRUE	17170330	250	CIMBL92
SRR6176047	kernel	CIMBL93		1	m023	TRUE	13246343	250	CIMBL93
SRR6176048	kernel	YE478		1	m024	TRUE	38092763	250	YE478
SRR6176049	kernel	CIMBL122		1	m025	TRUE	17769252	250	CIMBL122
SRR6176050	kernel	CIMBL123		1	m026	TRUE	16240975	250	CIMBL123
SRR6176051	kernel	Y2348		1	m027	TRUE	19984753	250	Y2348
SRR6176052	kernel	CIMBL119		1	m028	TRUE	21387299	250	CIMBL119
SRR6176053	kernel	CIMBL11		1	m029	TRUE	2124395	250	CIMBL11
SRR6176054	kernel	CIMBL120		1	m030	TRUE	17202563	250	CIMBL120
SRR6176055	kernel	CIMBL121		1	m031	TRUE	34756344	250	CIMBL121
SRR6176056	kernel	CIMBL113		1	m032	TRUE	17893094	250	CIMBL113
SRR6176057	kernel	CIMBL114		1	m033	TRUE	18973722	250	CIMBL114
SRR6176058	kernel	ZHENG58		1	m034	TRUE	16412202	250	ZHENG58
SRR6176059	kernel	CIMBL116		1	m035	TRUE	18272628	250	CIMBL116
SRR6176060	kernel	JI63		1	m036	TRUE	3540049	250	JI63
SRR6176061	kernel	JI846		1	m037	TRUE	17854211	250	JI846
SRR6176062	kernel	U8112		1	m038	TRUE	18510341	250	U8112
SRR6176063	kernel	GY386		1	m039	TRUE	32983227	250	GY386
SRR6176064	kernel	GY462		1	m040	TRUE	14354275	250	GY462
SRR6176065	kernel	HUA83-2		1	m041	TRUE	15053393	250	HUA83-2
SRR6176066	kernel	HYS		1	m042	TRUE	3988831	250	HYS
SRR6176067	kernel	HZ4		1	m043	TRUE	17692905	250	HZ4
SRR6176068	kernel	J4112		1	m044	TRUE	16355908	250	J4112
SRR6176069	kernel	JH59		1	m045	TRUE	19121099	250	JH59
SRR6176070	kernel	JH96C		1	m046	TRUE	17527627	250	JH96C
SRR6176071	kernel	CIMBL86		1	m047	TRUE	15561254	250	CIMBL86
SRR6176072	kernel	CIMBL84		1	m048	TRUE	19233982	250	CIMBL84
SRR6176073	kernel	CIMBL43		1	m049	TRUE	19731467	250	CIMBL43
SRR6176074	kernel	CIMBL145		1	m050	TRUE	22361081	250	CIMBL145
SRR6176075	kernel	CIMBL75		1	m051	TRUE	17186890	250	CIMBL75
SRR6176076	kernel	CIMBL74		1	m052	TRUE	4216754	250	CIMBL74
SRR6176077	kernel	CIMBL79		1	m053	TRUE	19109319	250	CIMBL79
SRR6176078	kernel	CIMBL77		1	m054	TRUE	29287035	250	CIMBL77
SRR6176079	kernel	CIMBL81		1	m055	TRUE	18218272	250	CIMBL81
SRR6176080	kernel	CIMBL7		1	m056	TRUE	19332530	250	CIMBL7
SRR6176081	kernel	CIMBL83		1	m057	TRUE	16653170	250	CIMBL83
SRR6176082	kernel	CIMBL82		1	m058	TRUE	16117253	250	CIMBL82
SRR6176083	kernel	CIMBL142		1	m059	TRUE	19442171	250	CIMBL142
SRR6176084	kernel	CIMBL141		1	m060	TRUE	16340240	250	CIMBL141
SRR6176085	kernel	CIMBL157		1	m061	TRUE	19275266	250	CIMBL157
SRR6176086	kernel	CIMBL125		1	m062	TRUE	17497212	250	CIMBL125
SRR6176087	kernel	CIMBL124		1	m063	TRUE	3797613	250	CIMBL124
SRR6176089	kernel	CIMBL127		1	m065	TRUE	15661917	250	CIMBL127
SRR6176090	kernel	CIMBL139		1	m066	TRUE	16861656	250	CIMBL139
SRR6176091	kernel	CIMBL133		1	m067	TRUE	16782435	250	CIMBL133
SRR6176092	kernel	CIMBL140		1	m068	TRUE	19542813	250	CIMBL140
SRR6176093	kernel	CIMBL13		1	m069	TRUE	16610480	250	CIMBL13
SRR6176094	kernel	CIMBL38		1	m070	TRUE	5001595	250	CIMBL38
SRR6176095	kernel	ZHENG29		1	m071	TRUE	18965622	250	ZHENG29
SRR6176096	kernel	LG001		1	m072	TRUE	15804447	250	LG001
SRR6176097	kernel	L3180		1	m073	TRUE	22285982	250	L3180
SRR6176098	kernel	K22		1	m074	TRUE	21363503	250	K22
SRR6176099	kernel	K12		1	m075	TRUE	18385999	250	K12
SRR6176100	kernel	K10		1	m076	TRUE	19384122	250	K10
SRR6176101	kernel	JY01		1	m077	TRUE	16386164	250	JY01
SRR6176102	kernel	JIAO51		1	m078	TRUE	19007765	250	JIAO51
SRR6176103	kernel	JI853		1	m079	TRUE	15787628	250	JI853
SRR6176104	kernel	ZZ01		1	m080	TRUE	17181249	250	ZZ01
SRR6176105	kernel	ZZ03		1	m081	TRUE	20134995	250	ZZ03
SRR6176106	kernel	ZHONG69		1	m082	TRUE	19233395	250	ZHONG69
SRR6176107	kernel	ZI330		1	m083	TRUE	18276523	250	ZI330
SRR6176108	kernel	ZHENG653		1	m084	TRUE	17300161	250	ZHENG653
SRR6176109	kernel	ZHI41		1	m085	TRUE	15656018	250	ZHI41
SRR6176110	kernel	LIAO159		1	m086	TRUE	21553159	250	LIAO159
SRR6176111	kernel	LIAO138		1	m087	TRUE	17868086	250	LIAO138
SRR6176112	kernel	ZHENG28		1	m088	TRUE	15880195	250	ZHENG28
SRR6176113	kernel	CIMBL15		1	m089	TRUE	27012899	250	CIMBL15
SRR6176114	kernel	CIMBL153		1	m090	TRUE	17490540	250	CIMBL153
SRR6176115	kernel	177		1	m091	TRUE	17630607	250	177
SRR6176116	kernel	335F		1	m092	TRUE	19593032	250	335F
SRR6176117	kernel	CIMBL16		1	m093	TRUE	16881399	250	CIMBL16
SRR6176118	kernel	CML290		1	m094	TRUE	18521018	250	CML290
SRR6176119	kernel	CML298		1	m095	TRUE	4906139	250	CML298
SRR6176120	kernel	CML189		1	m096	TRUE	18697034	250	CML189
SRR6176122	kernel	CML192		1	m098	TRUE	15421875	250	CML192
SRR6176123	kernel	CML20		1	m099	TRUE	18806773	250	CML20
SRR6176124	kernel	CML165		1	m100	TRUE	6826493	250	CML165
