SampleID	Tissue	Genotype	Treatment	Replicate	total	surviving	surviving_f	surviving_r	dropped	uniquely_mapped	multimapped	unmapped	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR189760	cob_pre-emerg	B73	NA	1	18335228	14960597	0	0	3374631	12616611	2181278	162708	11460528	0	1006562	149521	194806
SRR189761	leaf_20d_field	B73	NA	1	17146213	13505099	0	0	3641114	11345748	1907421	251930	10377553	0	846316	121879	286089
SRR189762	tassel_pre-emerg	B73	NA	1	19781766	15448609	0	0	4333157	12676070	2462287	310252	11377024	0	1163192	135854	354784
SRR189763	cob_post-emerg	B73	NA	1	18271450	14560296	0	0	3711154	12199195	2111708	249393	11124355	0	925958	148882	304870
SRR189768	endosperm_25DAP	B73	NA	1	23574401	21027881	0	0	2546520	16784400	3725166	518315	15138168	0	1424790	221442	629067
SRR189769	anther	B73	NA	1	27012847	23204141	0	0	3808706	18436727	4285579	481835	16322205	0	1951425	163097	564074
SRR189770	ovule	B73	NA	1	29905169	26073707	0	0	3831462	21690334	3826906	556467	19673670	0	1696690	319974	654329
SRR189771	pollen	B73	NA	1	27922147	24652949	0	0	3269198	19800172	4479284	373493	17541364	0	2085731	173077	433984
SRR189772	silk	B73	NA	1	18933801	17912043	0	0	1021758	14542884	2785521	583638	12574079	0	1789284	179521	685733
SRR189773	seed_10DAP	B73	NA	1	26418648	25370024	0	0	1048624	19605918	4233790	1530316	17569596	0	1791004	245318	1849047
SRR189774	leaf_20d_gc	B73	NA	1	32709218	31011573	0	0	1697645	24022621	5405125	1583827	21868121	0	1902342	252158	1698692
SRR393016	tassel_post-emerg	B73	NA	1	18552700	14093298	0	0	4459402	11478423	2424806	190069	10232998	0	1121812	123613	221654
SRR393017	seed_5DAP	B73	NA	1	19173177	14193785	0	0	4979392	11910134	2124814	158837	10832440	0	910231	167463	182024
SRR393018	embryo_25DAP	B73	NA	1	19890604	14649126	0	0	5241478	12086649	2325760	236717	11129057	0	830074	127518	271891
