SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	Timepoint	Experiment	paired	spots	avgLength
HY1	leaf	B73	Control	1	m01	0	HY	TRUE	29622860	302
HY10	leaf	B73xMo17	Control	1	m02	0	HY	TRUE	28660166	302
HY100	leaf	B73xMo17	Cold	1	m03	25	HY	TRUE	35274653	302
HY101	leaf	W22xB73	Cold	1	m04	25	HY	TRUE	35576544	302
HY102	leaf	W22xMo17	Cold	1	m05	25	HY	TRUE	30315714	302
HY103	leaf	B73	Cold	1	m06	25	HY	TRUE	34832600	302
HY104	leaf	Mo17	Cold	1	m07	25	HY	TRUE	35721199	302
HY105	leaf	W22	Cold	1	m08	25	HY	TRUE	31260141	302
HY106	leaf	B73xMo17	Cold	2	m03	25	HY	TRUE	34818337	302
HY107	leaf	W22xB73	Cold	2	m04	25	HY	TRUE	33315886	302
HY108	leaf	W22xMo17	Cold	2	m05	25	HY	TRUE	31574706	302
HY109	leaf	B73	Heat	1	m09	25	HY	TRUE	31505974	302
HY11	leaf	W22xB73	Control	1	m10	0	HY	TRUE	28554418	302
HY110	leaf	Mo17	Heat	1	m11	25	HY	TRUE	28799042	302
HY111	leaf	W22	Heat	1	m12	25	HY	TRUE	27501744	302
HY112	leaf	B73xMo17	Heat	1	m13	25	HY	TRUE	48118060	302
HY113	leaf	W22xB73	Heat	1	m14	25	HY	TRUE	33896681	302
HY114	leaf	W22xMo17	Heat	1	m15	25	HY	TRUE	24728500	302
HY115	leaf	B73	Heat	2	m09	25	HY	TRUE	30185452	302
HY116	leaf	Mo17	Heat	2	m11	25	HY	TRUE	32677624	302
HY117	leaf	W22	Heat	2	m12	25	HY	TRUE	29424661	302
HY118	leaf	B73xMo17	Heat	2	m13	25	HY	TRUE	31806348	302
HY119	leaf	W22xB73	Heat	2	m14	25	HY	TRUE	26336716	302
HY12	leaf	W22xMo17	Control	1	m16	0	HY	TRUE	37914637	302
HY120	leaf	W22xMo17	Heat	2	m15	25	HY	TRUE	31298905	302
HY121	leaf	B73	Heat	3	m09	25	HY	TRUE	34362822	302
HY122	leaf	Mo17	Heat	3	m11	25	HY	TRUE	31218093	302
HY123	leaf	W22	Heat	3	m12	25	HY	TRUE	29412556	302
HY124	leaf	B73xMo17	Heat	3	m13	25	HY	TRUE	27870760	302
HY125	leaf	W22xB73	Heat	3	m14	25	HY	TRUE	31521148	302
HY126	leaf	W22xMo17	Heat	3	m15	25	HY	TRUE	30736192	302
HY13	leaf	B73	Control	2	m01	0	HY	TRUE	36747972	302
HY14	leaf	Mo17	Control	1	m17	0	HY	TRUE	32961920	302
HY15	leaf	W22	Control	1	m18	0	HY	TRUE	29896958	302
HY16	leaf	B73xMo17	Control	2	m02	0	HY	TRUE	28017048	302
HY17	leaf	W22xB73	Control	2	m10	0	HY	TRUE	29363673	302
HY18	leaf	W22xMo17	Control	2	m16	0	HY	TRUE	30945373	302
HY19	leaf	B73	Control	3	m01	1	HY	TRUE	32268568	302
HY2	leaf	Mo17	Control	2	m17	0	HY	TRUE	38365200	302
HY20	leaf	Mo17	Control	3	m17	1	HY	TRUE	28114205	302
HY21	leaf	W22	Control	2	m18	1	HY	TRUE	27588445	302
HY22	leaf	B73xMo17	Control	3	m02	1	HY	TRUE	30224173	302
HY23	leaf	W22xB73	Control	3	m10	1	HY	TRUE	32962051	302
HY24	leaf	W22xMo17	Control	3	m16	1	HY	TRUE	32223179	302
HY25	leaf	B73	Control	4	m01	1	HY	TRUE	35227417	302
HY26	leaf	Mo17	Control	4	m17	1	HY	TRUE	32137882	302
HY27	leaf	W22	Control	3	m18	1	HY	TRUE	30069873	302
HY28	leaf	B73xMo17	Control	4	m02	1	HY	TRUE	30025846	302
HY29	leaf	W22xB73	Control	4	m10	1	HY	TRUE	30580993	302
HY3	leaf	W22	Control	4	m18	0	HY	TRUE	31254147	302
HY30	leaf	W22xMo17	Control	4	m16	1	HY	TRUE	31603109	302
HY31	leaf	B73	Control	5	m01	1	HY	TRUE	34915623	302
HY32	leaf	Mo17	Control	5	m17	1	HY	TRUE	30929749	302
HY33	leaf	W22	Control	5	m18	1	HY	TRUE	39157947	302
HY34	leaf	B73xMo17	Control	5	m02	1	HY	TRUE	27296215	302
HY35	leaf	W22xB73	Control	5	m10	1	HY	TRUE	32086106	302
HY36	leaf	W22xMo17	Control	5	m16	1	HY	TRUE	29569667	302
HY37	leaf	B73	Cold	2	m06	1	HY	TRUE	34950718	302
HY38	leaf	Mo17	Cold	2	m07	1	HY	TRUE	29069616	302
HY39	leaf	W22	Cold	2	m08	1	HY	TRUE	33037046	302
HY4	leaf	B73xMo17	Control	6	m02	0	HY	TRUE	28440373	302
HY40	leaf	B73xMo17	Cold	3	m03	1	HY	TRUE	31441140	302
HY41	leaf	W22xB73	Cold	3	m04	1	HY	TRUE	32010125	302
HY42	leaf	W22xMo17	Cold	3	m05	1	HY	TRUE	31734032	302
HY43	leaf	B73	Cold	3	m06	1	HY	TRUE	31141922	302
HY44	leaf	Mo17	Cold	3	m07	1	HY	TRUE	38262918	302
HY45	leaf	W22	Cold	3	m08	1	HY	TRUE	27988563	302
HY46	leaf	B73xMo17	Cold	4	m03	1	HY	TRUE	35056173	302
HY47	leaf	W22xB73	Cold	4	m04	1	HY	TRUE	28133885	302
HY48	leaf	W22xMo17	Cold	4	m05	1	HY	TRUE	30990885	302
HY49	leaf	B73	Cold	4	m06	1	HY	TRUE	33538691	302
HY5	leaf	W22xB73	Control	6	m10	0	HY	TRUE	33739421	302
HY50	leaf	Mo17	Cold	4	m07	1	HY	TRUE	33038762	302
HY51	leaf	W22	Cold	4	m08	1	HY	TRUE	33037571	302
HY52	leaf	B73xMo17	Cold	5	m03	1	HY	TRUE	34893143	302
HY53	leaf	W22xB73	Cold	5	m04	1	HY	TRUE	30729307	302
HY54	leaf	W22xMo17	Cold	5	m05	1	HY	TRUE	33642776	302
HY55	leaf	B73	Heat	4	m09	1	HY	TRUE	31992353	302
HY56	leaf	Mo17	Heat	4	m11	1	HY	TRUE	30620998	302
HY57	leaf	W22	Heat	4	m12	1	HY	TRUE	40083883	302
HY58	leaf	B73xMo17	Heat	4	m13	1	HY	TRUE	26563426	302
HY59	leaf	W22xB73	Heat	4	m14	1	HY	TRUE	33568499	302
HY6	leaf	W22xMo17	Control	6	m16	0	HY	TRUE	27214820	302
HY60	leaf	W22xMo17	Heat	4	m15	1	HY	TRUE	28003270	302
HY61	leaf	B73	Heat	5	m09	1	HY	TRUE	32557513	302
HY62	leaf	Mo17	Heat	5	m11	1	HY	TRUE	36681742	302
HY63	leaf	W22	Heat	5	m12	1	HY	TRUE	32599220	302
HY64	leaf	B73xMo17	Heat	5	m13	1	HY	TRUE	28777910	302
HY65	leaf	W22xB73	Heat	5	m14	1	HY	TRUE	26861700	302
HY66	leaf	W22xMo17	Heat	5	m15	1	HY	TRUE	37030280	302
HY67	leaf	B73	Heat	6	m09	1	HY	TRUE	31888595	302
HY68	leaf	Mo17	Heat	6	m11	1	HY	TRUE	32362887	302
HY69	leaf	W22	Heat	6	m12	1	HY	TRUE	28682009	302
HY7	leaf	B73	Control	6	m01	0	HY	TRUE	29776065	302
HY70	leaf	B73xMo17	Heat	6	m13	1	HY	TRUE	27969547	302
HY71	leaf	W22xB73	Heat	6	m14	1	HY	TRUE	31190820	302
HY72	leaf	W22xMo17	Heat	6	m15	1	HY	TRUE	29269078	302
HY73	leaf	B73	Control	7	m01	25	HY	TRUE	34194597	302
HY74	leaf	Mo17	Control	6	m17	25	HY	TRUE	31102448	302
HY75	leaf	W22	Control	6	m18	25	HY	TRUE	31940299	302
HY76	leaf	B73xMo17	Control	7	m02	25	HY	TRUE	39833315	302
HY77	leaf	W22xB73	Control	7	m10	25	HY	TRUE	29657026	302
HY78	leaf	W22xMo17	Control	7	m16	25	HY	TRUE	29432373	302
HY79	leaf	B73	Control	8	m01	25	HY	TRUE	28364986	302
HY8	leaf	Mo17	Control	7	m17	0	HY	TRUE	29776958	302
HY80	leaf	Mo17	Control	8	m17	25	HY	TRUE	36023362	302
HY81	leaf	W22	Control	7	m18	25	HY	TRUE	31388473	302
HY82	leaf	B73xMo17	Control	8	m02	25	HY	TRUE	33278076	302
HY83	leaf	W22xB73	Control	8	m10	25	HY	TRUE	26182586	302
HY84	leaf	W22xMo17	Control	8	m16	25	HY	TRUE	30107468	302
HY85	leaf	B73	Control	9	m01	25	HY	TRUE	29526452	302
HY86	leaf	Mo17	Control	9	m17	25	HY	TRUE	32332065	302
HY87	leaf	W22	Control	8	m18	25	HY	TRUE	28936732	302
HY88	leaf	B73xMo17	Control	9	m02	25	HY	TRUE	30866696	302
HY89	leaf	W22xB73	Control	9	m10	25	HY	TRUE	29919639	302
HY9	leaf	W22	Control	9	m18	0	HY	TRUE	35150195	302
HY90	leaf	W22xMo17	Control	9	m16	25	HY	TRUE	30727547	302
HY92	leaf	Mo17	Cold	5	m07	25	HY	TRUE	35012288	302
HY94	leaf	B73xMo17	Cold	6	m03	25	HY	TRUE	32319179	302
HY95	leaf	W22xB73	Cold	6	m04	25	HY	TRUE	31270168	302
HY96	leaf	W22xMo17	Cold	6	m05	25	HY	TRUE	31876173	302
HY97	leaf	B73	Cold	6	m06	25	HY	TRUE	32347780	302
HY98	leaf	Mo17	Cold	6	m07	25	HY	TRUE	35976851	302
HY99	leaf	W22	Cold	6	m08	25	HY	TRUE	35575517	302
NM1	leaf	B73	Cold	7	m06	1	NM	TRUE	31506564	302
NM10	leaf	Il14H	Cold	1	m19	1	NM	TRUE	35649334	302
NM100	leaf	W22	Cold	7	m08	25	NM	TRUE	26906448	302
NM12	leaf	Ki3	Cold	1	m20	1	NM	TRUE	34015630	302
NM13	leaf	M162W	Cold	1	m21	1	NM	TRUE	35529566	302
NM14	leaf	M37W	Cold	1	m22	1	NM	TRUE	22255713	302
NM15	leaf	Mo17	Cold	7	m07	1	NM	TRUE	28023836	302
NM16	leaf	Mo18W	Cold	1	m23	1	NM	TRUE	25584080	302
NM17	leaf	MS71	Cold	1	m24	1	NM	TRUE	28228581	302
NM18	leaf	NC350	Cold	1	m25	1	NM	TRUE	29320021	302
NM19	leaf	NC358	Cold	1	m26	1	NM	TRUE	30360732	302
NM2	leaf	B97	Cold	1	m27	1	NM	TRUE	34569815	302
NM20	leaf	Oh43	Cold	1	m28	1	NM	TRUE	35575350	302
NM21	leaf	Oh7B	Cold	1	m29	1	NM	TRUE	26996319	302
NM22	leaf	P39	Cold	1	m30	1	NM	TRUE	37307427	302
NM23	leaf	PH207	Cold	1	m31	1	NM	TRUE	31988601	302
NM24	leaf	Tx303	Cold	1	m32	1	NM	TRUE	33452607	302
NM25	leaf	W22	Cold	8	m08	1	NM	TRUE	31922285	302
NM26	leaf	B73	Control	10	m01	1	NM	TRUE	27032359	302
NM27	leaf	B97	Control	1	m33	1	NM	TRUE	29612538	302
NM28	leaf	CML322	Control	1	m34	1	NM	TRUE	30755055	302
NM29	leaf	CML333	Control	1	m35	1	NM	TRUE	35039047	302
NM3	leaf	CML322	Cold	1	m36	1	NM	TRUE	29339710	302
NM30	leaf	CML52	Control	1	m37	1	NM	TRUE	29672846	302
NM31	leaf	CML69	Control	1	m38	1	NM	TRUE	37227257	302
NM32	leaf	DK105	Control	1	m39	1	NM	TRUE	34001538	302
NM33	leaf	EP1	Control	1	m40	1	NM	TRUE	29922826	302
NM34	leaf	F7	Control	1	m41	1	NM	TRUE	36100210	302
NM35	leaf	Il14H	Control	1	m42	1	NM	TRUE	29067991	302
NM36	leaf	Ki11	Control	1	m43	1	NM	TRUE	31115524	302
NM37	leaf	Ki3	Control	1	m44	1	NM	TRUE	33536039	302
NM38	leaf	M162W	Control	1	m45	1	NM	TRUE	31640128	302
NM39	leaf	M37W	Control	1	m46	1	NM	TRUE	30598443	302
NM4	leaf	CML333	Cold	1	m47	1	NM	TRUE	33334940	302
NM40	leaf	Mo17	Control	10	m17	1	NM	TRUE	31186649	302
NM41	leaf	Mo18W	Control	1	m48	1	NM	TRUE	33868682	302
NM42	leaf	MS71	Control	1	m49	1	NM	TRUE	28248582	302
NM43	leaf	NC350	Control	1	m50	1	NM	TRUE	40062497	302
NM44	leaf	NC358	Control	1	m51	1	NM	TRUE	35164360	302
NM45	leaf	Oh43	Control	1	m52	1	NM	TRUE	27781218	302
NM46	leaf	Oh7B	Control	1	m53	1	NM	TRUE	28911026	302
NM47	leaf	P39	Control	1	m54	1	NM	TRUE	35011920	302
NM48	leaf	PH207	Control	1	m55	1	NM	TRUE	24650707	302
NM49	leaf	Tx303	Control	1	m56	1	NM	TRUE	32801913	302
NM5	leaf	CML52	Cold	1	m57	1	NM	TRUE	34025539	302
NM50	leaf	W22	Control	10	m18	1	NM	TRUE	32290231	302
NM51	leaf	B73	Control	11	m01	25	NM	TRUE	29205881	302
NM52	leaf	B97	Control	2	m33	25	NM	TRUE	30719775	302
NM53	leaf	CML322	Control	2	m34	25	NM	TRUE	29047733	302
NM54	leaf	CML333	Control	2	m35	25	NM	TRUE	33622309	302
NM55	leaf	CML52	Control	2	m37	25	NM	TRUE	36994934	302
NM56	leaf	CML69	Control	2	m38	25	NM	TRUE	29138215	302
NM57	leaf	DK105	Control	2	m39	25	NM	TRUE	25839958	302
NM58	leaf	EP1	Control	2	m40	25	NM	TRUE	32860568	302
NM59	leaf	F7	Control	2	m41	25	NM	TRUE	30525385	302
NM6	leaf	CML69	Cold	1	m58	1	NM	TRUE	30247293	302
NM60	leaf	Il14H	Control	2	m42	25	NM	TRUE	27846481	302
NM61	leaf	Ki11	Control	2	m43	25	NM	TRUE	31512890	302
NM62	leaf	Ki3	Control	2	m44	25	NM	TRUE	31003529	302
NM63	leaf	M162W	Control	2	m45	25	NM	TRUE	34218686	302
NM64	leaf	M37W	Control	2	m46	25	NM	TRUE	28355175	302
NM65	leaf	Mo17	Control	11	m17	25	NM	TRUE	31981792	302
NM66	leaf	Mo18W	Control	2	m48	25	NM	TRUE	30565153	302
NM67	leaf	MS71	Control	2	m49	25	NM	TRUE	34068849	302
NM68	leaf	NC350	Control	2	m50	25	NM	TRUE	35512504	302
NM69	leaf	NC358	Control	2	m51	25	NM	TRUE	31546273	302
NM7	leaf	DK105	Cold	1	m59	1	NM	TRUE	32229621	302
NM70	leaf	Oh43	Control	2	m52	25	NM	TRUE	29137119	302
NM71	leaf	Oh7B	Control	2	m53	25	NM	TRUE	31765547	302
NM72	leaf	P39	Control	2	m54	25	NM	TRUE	28276070	302
NM73	leaf	PH207	Control	2	m55	25	NM	TRUE	28937111	302
NM74	leaf	Tx303	Control	2	m56	25	NM	TRUE	37111525	302
NM75	leaf	W22	Control	11	m18	25	NM	TRUE	26596408	302
NM76	leaf	B73	Cold	8	m06	25	NM	TRUE	27279924	302
NM77	leaf	B97	Cold	2	m27	25	NM	TRUE	30014004	302
NM78	leaf	CML322	Cold	2	m36	25	NM	TRUE	27230613	302
NM79	leaf	CML333	Cold	2	m47	25	NM	TRUE	31445344	302
NM8	leaf	EP1	Cold	1	m60	1	NM	TRUE	31010662	302
NM80	leaf	CML52	Cold	2	m57	25	NM	TRUE	28682793	302
NM81	leaf	CML69	Cold	2	m58	25	NM	TRUE	29106129	302
NM82	leaf	DK105	Cold	2	m59	25	NM	TRUE	28739098	302
NM83	leaf	EP1	Cold	2	m60	25	NM	TRUE	27590985	302
NM84	leaf	F7	Cold	1	m61	25	NM	TRUE	35716462	302
NM85	leaf	Il14H	Cold	2	m19	25	NM	TRUE	37490683	302
NM86	leaf	Ki11	Cold	1	m62	25	NM	TRUE	30026065	302
NM87	leaf	Ki3	Cold	2	m20	25	NM	TRUE	27321267	302
NM88	leaf	M162W	Cold	2	m21	25	NM	TRUE	46452244	302
NM89	leaf	M37W	Cold	2	m22	25	NM	TRUE	44206725	302
NM9	leaf	F7	Cold	2	m61	1	NM	TRUE	33941239	302
NM90	leaf	Mo17	Cold	8	m07	25	NM	TRUE	29499382	302
NM91	leaf	Mo18W	Cold	2	m23	25	NM	TRUE	33595760	302
