SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	Timepoint	lab	batch	coord	ExpID	paired	spots	avgLength	Experiment
batch3-D8	leaf	B73	Heat	16	m02	1	b3_B73_Heat_1	b3	D8	HY61	FALSE	9159449	92	HY
batch3-D9	leaf	W22	Heat	13	m03	1	b3_W22_Heat_1	b3	D9	HY69	FALSE	5177737	92	HY
batch3-E1	leaf	BxM	Control	13	m10	0	b3_BxM_Control_0	b3	E1	HY4	FALSE	3847289	92	HY
batch3-E10	leaf	BxM	Control	14	m10	25	b3_BxM_Control_25	b3	E10	HY76	FALSE	8440929	92	HY
batch3-E11	leaf	WxM	Control	14	m11	25	b3_WxM_Control_25	b3	E11	HY84	FALSE	8932469	92	HY
batch3-E12	leaf	Mo17	Cold	16	m09	25	b3_Mo17_Cold_25	b3	E12	HY92	FALSE	8036292	92	HY
batch3-E2	leaf	WxM	Control	15	m11	0	b3_WxM_Control_0	b3	E2	HY12	FALSE	164757	92	HY
batch3-E3	leaf	Mo17	Control	24	m06	1	b3_Mo17_Control_1	b3	E3	HY20	FALSE	9940929	92	HY
batch3-E4	leaf	BxM	Control	15	m10	1	b3_BxM_Control_1	b3	E4	HY28	FALSE	6114710	92	HY
batch3-E5	leaf	WxM	Control	16	m11	1	b3_WxM_Control_1	b3	E5	HY36	FALSE	4553808	92	HY
batch3-E6	leaf	Mo17	Cold	17	m09	1	b3_Mo17_Cold_1	b3	E6	HY44	FALSE	6623137	92	HY
batch3-E7	leaf	BxM	Cold	10	m12	1	b3_BxM_Cold_1	b3	E7	HY52	FALSE	8310446	92	HY
batch3-E8	leaf	WxM	Heat	8	m17	1	b3_WxM_Heat_1	b3	E8	HY60	FALSE	8405251	92	HY
batch3-E9	leaf	Mo17	Heat	17	m01	1	b3_Mo17_Heat_1	b3	E9	HY68	FALSE	7589632	92	HY
batch3-F1	leaf	W22	Control	19	m05	0	b3_W22_Control_0	b3	F1	HY3	FALSE	6405258	92	HY
batch3-F10	leaf	W22	Control	20	m05	25	b3_W22_Control_25	b3	F10	HY75	FALSE	7123255	92	HY
batch3-F11	leaf	WxB	Control	14	m15	25	b3_WxB_Control_25	b3	F11	HY83	FALSE	3990129	92	HY
batch3-F12	leaf	B73	Cold	16	m04	25	b3_B73_Cold_25	b3	F12	HY91	FALSE	3727808	92	HY
batch3-F2	leaf	WxB	Control	15	m15	0	b3_WxB_Control_0	b3	F2	HY11	FALSE	6781576	92	HY
batch3-F3	leaf	B73	Control	24	m07	1	b3_B73_Control_1	b3	F3	HY19	FALSE	5595545	92	HY
batch3-F4	leaf	W22	Control	21	m05	1	b3_W22_Control_1	b3	F4	HY27	FALSE	8617375	92	HY
batch3-F5	leaf	WxB	Control	16	m15	1	b3_WxB_Control_1	b3	F5	HY35	FALSE	7347794	92	HY
batch3-F6	leaf	B73	Cold	17	m04	1	b3_B73_Cold_1	b3	F6	HY43	FALSE	7532764	92	HY
batch3-F7	leaf	W22	Cold	15	m08	1	b3_W22_Cold_1	b3	F7	HY51	FALSE	7173096	92	HY
batch3-F8	leaf	WxB	Heat	8	m18	1	b3_WxB_Heat_1	b3	F8	HY59	FALSE	7572507	92	HY
batch3-F9	leaf	B73	Heat	17	m02	1	b3_B73_Heat_1	b3	F9	HY67	FALSE	7185573	92	HY
batch3-G1	leaf	Mo17	Control	25	m06	0	b3_Mo17_Control_0	b3	G1	HY2	FALSE	4632258	92	HY
batch3-G10	leaf	Mo17	Control	26	m06	25	b3_Mo17_Control_25	b3	G10	HY74	FALSE	6779933	92	HY
batch3-G11	leaf	BxM	Control	16	m10	25	b3_BxM_Control_25	b3	G11	HY82	FALSE	6526996	92	HY
batch3-G12	leaf	WxM	Control	17	m11	25	b3_WxM_Control_25	b3	G12	HY90	FALSE	10353777	92	HY
batch3-G2	leaf	BxM	Control	17	m10	0	b3_BxM_Control_0	b3	G2	HY10	FALSE	3884948	92	HY
batch3-G3	leaf	WxM	Control	18	m11	0	b3_WxM_Control_0	b3	G3	HY18	FALSE	6838828	92	HY
batch3-G4	leaf	Mo17	Control	27	m06	1	b3_Mo17_Control_1	b3	G4	HY26	FALSE	7088782	92	HY
batch3-G5	leaf	BxM	Control	18	m10	1	b3_BxM_Control_1	b3	G5	HY34	FALSE	7469638	92	HY
batch3-G6	leaf	WxM	Cold	10	m13	1	b3_WxM_Cold_1	b3	G6	HY42	FALSE	7300971	92	HY
batch3-G7	leaf	Mo17	Cold	18	m09	1	b3_Mo17_Cold_1	b3	G7	HY50	FALSE	6220469	92	HY
batch3-G8	leaf	BxM	Heat	9	m14	1	b3_BxM_Heat_1	b3	G8	HY58	FALSE	7264711	92	HY
batch3-G9	leaf	WxM	Heat	9	m17	1	b3_WxM_Heat_1	b3	G9	HY66	FALSE	5399599	92	HY
batch3-H1	leaf	B73	Control	25	m07	0	b3_B73_Control_0	b3	H1	HY1	FALSE	5339355	92	HY
batch3-H10	leaf	B73	Control	26	m07	25	b3_B73_Control_25	b3	H10	HY73	FALSE	6471445	92	HY
batch3-H11	leaf	W22	Control	22	m05	25	b3_W22_Control_25	b3	H11	HY81	FALSE	4360712	92	HY
batch3-H12	leaf	WxB	Control	17	m15	25	b3_WxB_Control_25	b3	H12	HY89	FALSE	6265972	92	HY
batch3-H2	leaf	W22	Control	23	m05	0	b3_W22_Control_0	b3	H2	HY9	FALSE	5645616	92	HY
batch3-H3	leaf	WxB	Control	18	m15	0	b3_WxB_Control_0	b3	H3	HY17	FALSE	4976318	92	HY
batch3-H4	leaf	B73	Control	27	m07	1	b3_B73_Control_1	b3	H4	HY25	FALSE	5493195	92	HY
batch3-H5	leaf	W22	Control	24	m05	1	b3_W22_Control_1	b3	H5	HY33	FALSE	6092190	92	HY
batch3-H6	leaf	WxB	Cold	10	m16	1	b3_WxB_Cold_1	b3	H6	HY41	FALSE	6474963	92	HY
batch3-H7	leaf	B73	Cold	18	m04	1	b3_B73_Cold_1	b3	H7	HY49	FALSE	5516621	92	HY
batch3-H8	leaf	W22	Heat	14	m03	1	b3_W22_Heat_1	b3	H8	HY57	FALSE	4365056	92	HY
batch3-H9	leaf	WxB	Heat	9	m18	1	b3_WxB_Heat_1	b3	H9	HY65	FALSE	5189073	92	HY
