stat	n	q0	q5	q25	q50	q75	q95	q100	avg
total	94	0.01263	1.5196874	3.49033325	4.328314499999999	5.7896807500000005	7.772622049999999	8.53142	4.538625957446809
passed	94	0.011559	1.4953986499999998	3.45959075	4.2967604999999995	5.6859815000000005	7.709336099999999	8.454199	4.487474468085106
mapped	94	0.010302	1.3490018000000001	3.1476815	4.0219024999999995	5.16090925	7.076372099999999	8.173067	4.140151478723404
mappedu	94	0.009303	1.12468915	2.8268795	3.6788875	4.7143195	6.411710699999997	7.623464	3.770028489361702
p.passed	94	0.9152019002375297	0.9733648766593982	0.9845139490154848	0.9897884398575608	0.9921751046191201	0.9932670815651783	0.9941477360272932	0.9867348116489882
p.mapped	94	0.5440207275409478	0.8125160730285053	0.8825502147813704	0.8995475600358218	0.9466945446963574	0.9679087737598375	0.9706789345218904	0.90029478366603
p.mappedu	94	0.2764852651788496	0.6703943644653401	0.7878806743468547	0.8163027606764146	0.8795134229907509	0.9108382009892146	0.9279894475350111	0.8120433324484233
