SampleID	Tissue	Genotype	Treatment	Replicate	total	passed	failed	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
C06	leaf_2	Mo17	day15_4pm_control	1	4014333	3903843	110490	0	0	0	0	0	0	0	0	0	0	0	0	3903843	0	0	3542108	3229056	1445743	1609254	361735	2395746	0	760970	72340	361735
C07	leaf_3	Mo17	day15_4pm_control	1	5817331	5705250	112081	0	0	0	0	0	0	0	0	0	0	0	0	5705250	0	0	5211434	4745009	2155173	2396346	493816	3484049	0	1162672	98288	493816
C08	leaf_2	B73	day9_12pm_control	1	4963085	4928482	34603	0	0	0	0	0	0	0	0	0	0	0	0	4928482	0	0	4696366	4235070	2982001	3276265	232116	3083161	0	1076895	75014	232116
C09	leaf_2	Mo17	day11_4pm_cold	1	3380876	3353930	26946	0	0	0	0	0	0	0	0	0	0	0	0	3353930	0	0	2998947	2758016	1273521	1388505	354983	2061612	0	632634	63770	354983
C10	leaf_2	B73	day11_11am_cold	3	4440669	4409604	31065	0	0	0	0	0	0	0	0	0	0	0	0	4409604	0	0	4229413	3910139	2720102	2933049	180191	2881222	0	954904	74013	180191
C11	leaf_2	B73	day11_4pm_cold	3	8404865	8340323	64542	0	0	0	0	0	0	0	0	0	0	0	0	8340323	0	0	8091807	7623464	5350581	5664010	248516	5851535	0	1611162	160767	248516
C12	leaf_2	B73	day15_4pm_control	3	4349542	4315602	33940	0	0	0	0	0	0	0	0	0	0	0	0	4315602	0	0	4091787	3987619	2759533	2827145	223815	3104802	0	786829	95988	223815
D01	leaf_2	Mo17	day9_11am_control	3	3340530	3309006	31524	0	0	0	0	0	0	0	0	0	0	0	0	3309006	0	0	2859978	2527078	1179909	1343664	449028	1849955	0	626395	50728	449028
D02	leaf_2	Mo17	day10_4pm_control	2	3606988	3545624	61364	0	0	0	0	0	0	0	0	0	0	0	0	3545624	0	0	3096990	2777192	1289335	1444865	448634	2004559	0	720550	52083	448634
D03	leaf_2	Mo17	day9_4pm_cold	3	375539	361653	13886	0	0	0	0	0	0	0	0	0	0	0	0	361653	0	0	204301	103831	50894	102076	157352	73122	0	28643	2066	157352
D04	leaf_2	Mo17	day11_11am_cold	2	3091189	3070057	21132	0	0	0	0	0	0	0	0	0	0	0	0	3070057	0	0	2743224	2452005	1137305	1289236	326833	1787862	0	620543	43600	326833
D05	leaf_2	Mo17	day12_4pm_control	2	6016519	5947383	69136	0	0	0	0	0	0	0	0	0	0	0	0	5947383	0	0	5368473	4914021	2224765	2441228	578910	3541289	0	1282956	89776	578910
D06	leaf_2	Mo17	day15_4pm_control	2	3450487	3393991	56496	0	0	0	0	0	0	0	0	0	0	0	0	3393991	0	0	3097431	2797633	1244481	1403993	296560	2124269	0	614344	59020	296560
D07	leaf_3	Mo17	day15_4pm_control	2	2948319	2915500	32819	0	0	0	0	0	0	0	0	0	0	0	0	2915500	0	0	2620714	2388493	1097869	1214726	294786	1734209	0	603772	50512	294786
D08	leaf_2	B73	day9_12pm_cold	1	3889598	3862459	27139	0	0	0	0	0	0	0	0	0	0	0	0	3862459	0	0	3729857	3353944	2362928	2615813	132602	2513739	0	783023	57182	132602
D09	leaf_2	Mo17	day11_4pm_cold	2	3841380	3792729	48651	0	0	0	0	0	0	0	0	0	0	0	0	3792729	0	0	3400606	3090526	1414345	1568710	392123	2307065	0	709914	73547	392123
D10	leaf_2	Mo17	day11_11am_cold	3	5819246	5778990	40256	0	0	0	0	0	0	0	0	0	0	0	0	5778990	0	0	5168130	4550127	2113741	2432589	610860	3282337	0	1174082	93708	610860
D11	leaf_2	Mo17	day11_4pm_cold	3	7712596	7658430	54166	0	0	0	0	0	0	0	0	0	0	0	0	7658430	0	0	6938645	6256492	2883350	3243167	719785	4709795	0	1413304	133393	719785
D12	leaf_2	Mo17	day15_4pm_control	3	3256337	3218233	38104	0	0	0	0	0	0	0	0	0	0	0	0	3218233	0	0	2876501	2681137	1183829	1276825	341732	2028607	0	598392	54138	341732
E01	leaf_2	B73	day9_4pm_control	1	3856322	3765327	90995	0	0	0	0	0	0	0	0	0	0	0	0	3765327	0	0	3468546	3126620	2138755	2346017	296781	2233461	0	840499	52660	296781
E02	leaf_2	B73	day10_4pm_cold	1	4255911	4189337	66574	0	0	0	0	0	0	0	0	0	0	0	0	4189337	0	0	3676187	2778616	1880897	2416171	513150	2036310	0	693941	48365	513150
E03	leaf_2	B73	day10_4pm_control	3	4307087	4277919	29168	0	0	0	0	0	0	0	0	0	0	0	0	4277919	0	0	4161555	3850923	2695600	2908241	116364	2849351	0	941420	60152	116364
E04	leaf_2	B73	day11_4pm_control	3	2772689	2749042	23647	0	0	0	0	0	0	0	0	0	0	0	0	2749042	0	0	2660635	2473447	1719028	1844015	88407	1864089	0	571075	38283	88407
E05	leaf_2	B73	day12_4pm_cold	1	4659906	4632635	27271	0	0	0	0	0	0	0	0	0	0	0	0	4632635	0	0	4485133	4172873	2909073	3118295	147502	3084741	0	1018958	69174	147502
E06	leaf_2	B73	day15_4pm_cold	1	1545614	1528131	17483	0	0	0	0	0	0	0	0	0	0	0	0	1528131	0	0	1411179	1218248	833180	950496	116952	916231	0	278299	23718	116952
E07	leaf_3	B73	day15_4pm_cold	1	6067208	6023853	43355	0	0	0	0	0	0	0	0	0	0	0	0	6023853	0	0	5844684	5630305	3951654	4099056	179169	4175764	0	1352780	101761	179169
E08	leaf_2	B73	day9_2pm_control	1	3568454	3545135	23319	0	0	0	0	0	0	0	0	0	0	0	0	3545135	0	0	3453809	3070674	2162965	2425272	91326	2256317	0	768339	46018	91326
E09	leaf_2	B73	day11_11am_control	2	4857996	4821105	36891	0	0	0	0	0	0	0	0	0	0	0	0	4821105	0	0	4687475	4348209	3052085	3281397	133630	3344032	0	928001	76176	133630
E10	leaf_2	B73	day11_12pm_control	1	4146377	4119434	26943	0	0	0	0	0	0	0	0	0	0	0	0	4119434	0	0	4017320	3707862	2600026	2811050	102114	2820110	0	833425	54327	102114
