SampleID	Tissue	Genotype	Treatment	Replicate	paired	r0	r1	r2
mBR547	coleoptile	B84	m	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR547_S5_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR547_S5_R2_001.fastq.gz
mBR548	coleoptile	B84	m	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR548_S6_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR548_S6_R2_001.fastq.gz
mBR550	coleoptile	Mo17	m	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR550_S7_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR550_S7_R2_001.fastq.gz
mBR551	coleoptile	Mo17	m	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR551_S8_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR551_S8_R2_001.fastq.gz
mBR552	coleoptile	Mo17	m	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR552_S9_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR552_S9_R2_001.fastq.gz
mBR554	coleoptile	A682	m	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR554_S10_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR554_S10_R2_001.fastq.gz
mBR555	coleoptile	A682	m	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR555_S11_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR555_S11_R2_001.fastq.gz
mBR556	coleoptile	A682	m	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR556_S12_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR556_S12_R2_001.fastq.gz
mBR558	coleoptile	B73xMo17	m	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR558_S13_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR558_S13_R2_001.fastq.gz
mBR559	coleoptile	B73xMo17	m	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR559_S14_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool7/mBR559_S14_R2_001.fastq.gz
