SampleID	Tissue	Genotype	Treatment	Replicate	paired	r0	r1	r2
mBR612	leaf_V2	B84xMo17	m	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR612_S54_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR612_S54_R2_001.fastq.gz
mBR614	leaf_V2	A682xB73	m	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR614_S55_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR614_S55_R2_001.fastq.gz
mBR615	leaf_V2	A682xB73	m	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR615_S56_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR615_S56_R2_001.fastq.gz
mBR616	leaf_V2	A682xB73	m	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR616_S57_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR616_S57_R2_001.fastq.gz
mBR618	leaf_V2	A682xMo17	m	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR618_S58_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR618_S58_R2_001.fastq.gz
mBR619	leaf_V2	A682xMo17	m	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR619_S59_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR619_S59_R2_001.fastq.gz
mBR620	leaf_V2	A682xMo17	m	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR620_S60_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR620_S60_R2_001.fastq.gz
tBR502	seedling_root	B73	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR502_S1_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR502_S1_R2_001.fastq.gz
tBR503	seedling_root	B73	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR503_S2_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR503_S2_R2_001.fastq.gz
tBR504	seedling_root	B73	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR504_S3_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR504_S3_R2_001.fastq.gz
tBR506	seedling_root	B84	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR506_S4_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR506_S4_R2_001.fastq.gz
tBR507	seedling_root	B84	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR507_S19_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR507_S19_R2_001.fastq.gz
tBR508	seedling_root	B84	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR508_S20_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR508_S20_R2_001.fastq.gz
tBR510	seedling_root	Mo17	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR510_S21_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR510_S21_R2_001.fastq.gz
tBR511	seedling_root	Mo17	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR511_S22_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR511_S22_R2_001.fastq.gz
tBR512	seedling_root	Mo17	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR512_S5_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR512_S5_R2_001.fastq.gz
tBR514	seedling_root	A682	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR514_S6_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR514_S6_R2_001.fastq.gz
tBR515	seedling_root	A682	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR515_S7_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR515_S7_R2_001.fastq.gz
tBR516	seedling_root	A682	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR516_S8_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR516_S8_R2_001.fastq.gz
tBR518	seedling_root	B73xMo17	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR518_S23_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR518_S23_R2_001.fastq.gz
tBR519	seedling_root	B73xMo17	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR519_S24_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR519_S24_R2_001.fastq.gz
tBR520	seedling_root	B73xMo17	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR520_S25_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR520_S25_R2_001.fastq.gz
tBR522	seedling_root	Mo17xB73	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR522_S26_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR522_S26_R2_001.fastq.gz
tBR523	seedling_root	Mo17xB73	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR523_S9_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR523_S9_R2_001.fastq.gz
tBR524	seedling_root	Mo17xB73	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR524_S10_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR524_S10_R2_001.fastq.gz
tBR526	seedling_root	B84xB73	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR526_S11_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR526_S11_R2_001.fastq.gz
tBR527	seedling_root	B84xB73	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR527_S12_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR527_S12_R2_001.fastq.gz
tBR528	seedling_root	B84xB73	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR528_S27_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR528_S27_R2_001.fastq.gz
tBR530	seedling_root	B84xMo17	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR530_S28_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR530_S28_R2_001.fastq.gz
tBR531	seedling_root	B84xMo17	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR531_S29_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR531_S29_R2_001.fastq.gz
tBR532	seedling_root	B84xMo17	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR532_S30_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR532_S30_R2_001.fastq.gz
tBR534	seedling_root	A682xB73	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR534_S13_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR534_S13_R2_001.fastq.gz
tBR535	seedling_root	A682xB73	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR535_S14_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR535_S14_R2_001.fastq.gz
tBR536	seedling_root	A682xB73	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR536_S15_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR536_S15_R2_001.fastq.gz
tBR538	seedling_root	A682xMo17	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR538_S16_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR538_S16_R2_001.fastq.gz
tBR539	seedling_root	A682xMo17	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR539_S31_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR539_S31_R2_001.fastq.gz
tBR540	seedling_root	A682xMo17	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR540_S32_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR540_S32_R2_001.fastq.gz
tBR542	coleoptile	B73	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR542_S33_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR542_S33_R2_001.fastq.gz
tBR543	coleoptile	B73	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR543_S34_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR543_S34_R2_001.fastq.gz
tBR544	coleoptile	B73	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR544_S17_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR544_S17_R2_001.fastq.gz
tBR546	coleoptile	B84	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR546_S18_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool1/tBR546_S18_R2_001.fastq.gz
tBR547	coleoptile	B84	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR547_S1_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR547_S1_R2_001.fastq.gz
tBR548	coleoptile	B84	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR548_S2_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR548_S2_R2_001.fastq.gz
tBR550	coleoptile	Mo17	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR550_S35_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR550_S35_R2_001.fastq.gz
tBR551	coleoptile	Mo17	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR551_S36_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191010_A00223_0227_AHG3TVDRXX/Springer_Project_065_Pool2/tBR551_S36_R2_001.fastq.gz
tBR552	coleoptile	Mo17	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR552_S19_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR552_S19_R2_001.fastq.gz
tBR554	coleoptile	A682	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR554_S20_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR554_S20_R2_001.fastq.gz
tBR555	coleoptile	A682	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR555_S3_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR555_S3_R2_001.fastq.gz
tBR556	coleoptile	A682	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR556_S4_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR556_S4_R2_001.fastq.gz
tBR558	coleoptile	B73xMo17	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR558_S5_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR558_S5_R2_001.fastq.gz
tBR559	coleoptile	B73xMo17	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR559_S6_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR559_S6_R2_001.fastq.gz
tBR560	coleoptile	B73xMo17	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR560_S21_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR560_S21_R2_001.fastq.gz
tBR562	coleoptile	Mo17xB73	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR562_S22_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR562_S22_R2_001.fastq.gz
tBR563	coleoptile	Mo17xB73	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR563_S23_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR563_S23_R2_001.fastq.gz
tBR564	coleoptile	Mo17xB73	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR564_S24_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR564_S24_R2_001.fastq.gz
tBR566	coleoptile	B84xB73	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR566_S7_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR566_S7_R2_001.fastq.gz
tBR567	coleoptile	B84xB73	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR567_S8_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR567_S8_R2_001.fastq.gz
tBR568	coleoptile	B84xB73	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR568_S9_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR568_S9_R2_001.fastq.gz
tBR570	coleoptile	B84xMo17	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR570_S10_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR570_S10_R2_001.fastq.gz
tBR571	coleoptile	B84xMo17	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR571_S25_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR571_S25_R2_001.fastq.gz
tBR572	coleoptile	B84xMo17	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR572_S26_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR572_S26_R2_001.fastq.gz
tBR574	coleoptile	A682xB73	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR574_S27_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR574_S27_R2_001.fastq.gz
tBR575	coleoptile	A682xB73	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR575_S28_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR575_S28_R2_001.fastq.gz
tBR576	coleoptile	A682xB73	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR576_S11_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR576_S11_R2_001.fastq.gz
tBR578	coleoptile	A682xMo17	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR578_S12_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR578_S12_R2_001.fastq.gz
tBR579	coleoptile	A682xMo17	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR579_S13_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR579_S13_R2_001.fastq.gz
tBR580	coleoptile	A682xMo17	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR580_S14_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR580_S14_R2_001.fastq.gz
tBR582	leaf_V2	B73	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR582_S29_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR582_S29_R2_001.fastq.gz
tBR583	leaf_V2	B73	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR583_S30_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR583_S30_R2_001.fastq.gz
